Year	tas
1850	-0.02026612881672918
1851	0.014398215894914301
1852	0.01980363055440648
1853	-0.02170889730206227
1854	0.1213443646437895
1855	0.06014677647573308
1856	-0.00294869734113945
1857	0.025149403698435435
1858	0.007674513366453084
1859	-0.015923379807929905
1860	0.002728492328287757
1861	0.055899135968104474
1862	0.02469458796605295
1863	-0.03178186289954965
1864	-0.001737785744296616
1865	-0.07662574888297513
1866	0.0164053890734408
1867	0.05141880465947679
1868	-0.0496232117423574
1869	0.010502991198052314
1870	-0.005263663986454503
1871	-0.006471370512201702
1872	0.09395491227712682
1873	0.03799587039804919
1874	-0.010693087090089648
1875	0.06419870006686779
1876	-0.025926387045842603
1877	0.011040061924575184
1878	-0.01613135345809269
1879	-0.05800748127768429
1880	-0.011161093874022754
1881	0.0017839767460259282
1882	-0.04751457027549577
1883	-0.055789184294383176
1884	-0.05398183443116977
1885	0.005071396020696284
1886	-0.020724710660260826
1887	-0.02192164792620588
1888	-0.005766283753871448
1889	0.013296085174204109
1890	0.010215958653304824
1891	0.044172991995708344
1892	-0.02137702654493978
1893	0.019752809570434238
1894	0.029542860814444794
1895	-0.001260059405865377
1896	0.024835955742275928
1897	0.011697119555321933
1898	-0.02108823936691806
1899	-0.0393437380001842
1900	0.04258982413125523
1901	0.11241117326676431
1902	0.009396329541971227
1903	-0.0656466525362589
1904	-0.021219489819316095
1905	-0.05802520803223388
1906	-0.019463842403695253
1907	0.013491975231374909
1908	0.036390032633107694
1909	-0.002278138548831521
1910	0.0295783192771637
1911	0.04863904676591346
1912	-0.07311199630464671
1913	-0.0693882377441355
1914	-0.02542785676519088
1915	-0.022145642732937176
1916	0.008079025654922134
1917	-0.011037292253661235
1918	0.04556032761803408
1919	0.06211351386895103
1920	-0.008055662435879185
1921	0.03306181887353432
1922	0.010153606835388018
1923	0.08008975192547041
1924	0.0531920813861575
1925	0.0007999129044833353
1926	0.00959554773447735
1927	-0.053686008123861484
1928	0.014354344445052902
1929	0.05529445201790395
1930	0.049887020857283915
1931	-0.023355300225546216
1932	0.06597506726404845
1933	0.04461395241065702
1934	0.048389085657788655
1935	0.025498012371258483
1936	0.050943172125357705
1937	0.08855795022083157
1938	0.02014460123103845
1939	0.02739773734862183
1940	-0.01694945924964486
1941	-0.003588756796546022
1942	0.01681892832579024
1943	-0.004648207874140553
1944	0.0004514341785011311
1945	0.06496576958062406
1946	0.015539499963267644
1947	0.021582915773251443
1948	0.0056394498878376
1949	-0.019896416731398858
1950	-0.05727744942998925
1951	0.0025585528371152577
1952	-0.10230227167136263
1953	-0.009430478067883996
1954	0.0714979140297487
1955	0.10232073300113598
1956	0.02378828594760307
1957	-0.009689541927798473
1958	-0.04503379409698027
1959	0.0015015556734283564
1960	0.03067230964762757
1961	0.02901534917322124
1962	0.04809537779397033
1963	-0.015022183071721429
1964	0.017743130023916365
1965	-0.010129923018951104
1966	-0.03243972167871334
1967	0.08199483578783884
1968	0.1400913426168131
1969	-0.00433825751048289
1970	-0.035769928055174205
1971	-0.04714788099619227
1972	0.06528667925800846
1973	0.07093643040713005
1974	0.0340986480765082
1975	0.01586063112614511
1976	0.06415605196195884
1977	0.026856118373245863
1978	-0.029116919699561095
1979	0.07714068189659429
1980	0.08098796421046472
1981	0.021208672731177103
1982	0.043918306627574566
1983	-0.007464103650704601
1984	0.013584612544207175
1985	0.04091255690747175
1986	0.09682356641923207
1987	0.06976362129074687
1988	0.09467428853156434
1989	0.028581017816918575
1990	0.06718515060009622
1991	0.02562122027592295
1992	0.02047615301012229
1993	0.07318203220978603
1994	0.09276807913698804
1995	0.04390369677787476
1996	0.10198181827979624
1997	0.009321399317457235
1998	0.06732415422118265
1999	0.11182897085387822
2000	0.10713116825525049
2001	0.15906732477378682
2002	0.09068245149416043
2003	0.10159063961867787
2004	0.08296622297115164
2005	0.04564277647943982
2006	0.05157293074893232
2007	0.15727309412517343
2008	0.08458029946274337
2009	0.0438857563387387
2010	0.1279630341388156
2011	0.06643706252384618
2012	0.07991913393163941
2013	0.09879626120158491
2014	0.13146956398338716
2015	0.10572936119825727
2016	0.09789959650987612
2017	0.13170548501869916
2018	0.11447501350261291
2019	0.14204104158528708
2020	0.20805788336127762
2021	0.1819451614327363
2022	0.1731889147772563
2023	0.22546253122851567
2024	0.18208068003877997
2025	0.13002448185613957
2026	0.2350408173552978
2027	0.21813035851204177
2028	0.10458401858403477
2029	0.11866446823086108
2030	0.14707582462705204
2031	0.18667216692580269
2032	0.2540878001862552
