Year	tas
1850	0.024861355003508834
1851	0.055954705917201863
1852	-0.08204262718135169
1853	0.03423959432336687
1854	-0.041675692847661594
1855	-0.01566229946280373
1856	0.006955242609706147
1857	-0.00589928959863073
1858	0.0154336164587221
1859	0.008607206855629101
1860	-0.06418701699124085
1861	-0.023541452596589352
1862	-0.004650900357603405
1863	0.04099494742126808
1864	0.03164994390976972
1865	0.05475933094436414
1866	4.76146169603453e-05
1867	0.028384513213779883
1868	0.035216593787538386
1869	0.02384524334507887
1870	-0.01676575743539388
1871	0.03843741556062241
1872	-0.017816951376062207
1873	0.0210898267232551
1874	-0.02222172985062798
1875	0.0053000569913024265
1876	-0.03725486702745684
1877	0.005541662653911317
1878	0.04280790330102491
1879	-0.04240784904357042
1880	-0.034688023219757724
1881	-0.07206405905361635
1882	-0.00436098279936914
1883	0.011424492292348987
1884	-0.0792976289455396
1885	-0.08184374509767167
1886	0.004860842192897508
1887	-0.017164563415235534
1888	-0.007056768621566789
1889	0.003724542009592824
1890	-0.006936773651716521
1891	0.02033302030207551
1892	-0.030208149399754802
1893	-0.018460132847280875
1894	-0.023985109851651032
1895	-0.030662395210754312
1896	-0.04577218051292675
1897	0.012828632670277784
1898	0.05612642466286388
1899	0.0005332859354325592
1900	-0.012254821603960409
1901	-0.019088043432873292
1902	-0.03781731770669694
1903	-0.07867796055694498
1904	-0.03497132089040633
1905	-0.043109876922187595
1906	-0.042213810979035316
1907	-0.03282069458288106
1908	-0.03988265229276067
1909	-0.024183432602853827
1910	-0.006884421759423276
1911	0.03891728356438762
1912	0.017329450735871887
1913	-0.016898179966347016
1914	0.0008608980139683808
1915	-0.05470700085487579
1916	0.010947479955802919
1917	-0.0449463285656293
1918	-0.056850551082959555
1919	-0.021057383404411212
1920	0.04184222342155408
1921	0.03324270872440138
1922	-0.010282153149944406
1923	0.011073139676227584
1924	0.060388845638044586
1925	0.024171225282259456
1926	0.05330015343247396
1927	0.020870417510423067
1928	0.022754964840657976
1929	0.02463977323174049
1930	-0.05828035932768216
1931	0.003504606395154042
1932	-0.06533694951434654
1933	-0.007391495618037425
1934	-0.02710527314081901
1935	-0.008962078480237778
1936	-0.0007730300655452993
1937	-0.055804866434982614
1938	0.014284764171691222
1939	0.04865899776899596
1940	-0.0035315806652533865
1941	0.020164460705814236
1942	-0.01444273232488058
1943	0.011405306819028738
1944	-0.06317361229173457
1945	0.08175547689324958
1946	0.0044125199311224605
1947	0.015378603154033499
1948	0.027069883311696685
1949	-0.020667453856162865
1950	-0.0015938991692792115
1951	-0.000577948524266958
1952	0.0061457715514734446
1953	-0.00751561045018434
1954	-0.036813932368545466
1955	-0.010005952178232747
1956	-0.00813212079845016
1957	0.01923304994352293
1958	0.0038075672579225284
1959	-0.013156296439035486
1960	-0.045642832521082255
1961	0.07364364149424318
1962	0.026651265231578236
1963	-0.02079194916416327
1964	-0.006574527920520268
1965	0.04576559412265624
1966	-0.05030825019451868
1967	-0.01985021563518785
1968	0.02230912579221922
1969	-0.09964586329465419
1970	-9.096121476659391e-05
1971	-0.006026666652928725
1972	0.017521676472995296
1973	0.004232328330431301
1974	0.00025305165974032207
1975	0.02280971128999454
1976	0.024400730492061484
1977	0.018579556958627563
1978	-0.018415355245053888
1979	-0.013666675043054965
1980	-0.0012926753981332695
1981	0.008893483887050024
1982	0.014372202330548589
1983	0.044904189252349624
1984	0.030681216017399038
1985	0.06494661053767459
1986	0.023582962237469474
1987	0.05411342199391811
1988	0.0409092764555794
1989	0.022833919821664495
1990	0.0014578506884390663
1991	0.031203728395780672
1992	0.04407228163580612
1993	0.0016523367978606984
1994	0.016448793426036445
1995	0.03489879871426638
1996	0.08312891278706047
1997	0.10857629518898193
1998	0.07154490627681298
1999	0.08353529243476032
2000	0.11421541700337912
2001	0.06691545212851224
2002	0.08814301493066523
2003	0.12181410719813357
2004	0.08115520144627908
2005	0.04081717303233745
2006	0.07486104434173058
2007	0.05523371327348059
2008	0.08987952684844913
2009	0.10058322224620042
2010	0.10883772998278118
2011	0.13744783309658715
2012	0.11589815364038714
2013	0.11152539847813614
2014	0.14739607318716708
2015	0.14201123296294327
2016	0.14467643642194616
2017	0.11282187652119546
2018	0.09863313488835956
2019	0.09547075888883683
2020	0.11413867924727583
2021	0.06526966996699457
2022	0.11615702594264121
2023	0.10295436374462952
2024	0.11236151706862074
2025	0.13529101721394454
2026	0.15948694778847994
2027	0.1645502519924662
2028	0.20780304813797557
2029	0.18960439148031583
2030	0.20897752298066052
2031	0.12886762089874537
2032	0.13328537514377103
2033	0.20914459688327725
2034	0.14965106842765863
2035	0.1839433641128494
2036	0.2072788303223092
2037	0.21568910423769694
2038	0.17787026173806453
2039	0.21141040667845346
2040	0.21791627459663232
2041	0.15377586552898492
2042	0.1862900104047185
2043	0.20205766475191922
2044	0.20361274545035712
2045	0.20888165482773502
2046	0.2580076510649292
2047	0.21148308129772886
2048	0.2402312969472291
2049	0.20161172902220414
2050	0.2864177084563835
2051	0.26942457597425573
2052	0.23915144893533125
2053	0.20806372319844968
2054	0.2237094819377603
2055	0.29166611582132873
2056	0.20325671638255471
2057	0.17189637687681625
2058	0.15785733695236104
2059	0.2608914186729976
2060	0.22170540270599304
2061	0.23800668873531095
2062	0.2664169018538587
2063	0.22013455949763738
2064	0.23661139859910918
2065	0.27064699530836833
2066	0.28571396875435084
2067	0.21048980151266505
2068	0.26582343620503934
2069	0.29067171273413805
2070	0.2737847684822441
2071	0.30625695651878004
2072	0.26948601686558504
2073	0.30629374605035764
2074	0.2515430639473948
2075	0.28681829041772744
2076	0.21540166610634515
2077	0.26394908343030465
2078	0.29630988609250153
2079	0.27621728262425904
2080	0.2582075025662789
2081	0.28306374262996314
2082	0.27622414200271805
2083	0.27415420732910434
2084	0.2926189226092788
2085	0.2865751135503274
2086	0.26033652304965926
2087	0.2724488881364664
2088	0.23222886989361768
2089	0.24871454575082907
2090	0.3049171002795674
2091	0.3405847582001229
2092	0.2804778433159072
2093	0.25279892413237803
2094	0.3242108568676372
2095	0.30762434349475143
2096	0.23140094409558287
2097	0.2639735408320689
2098	0.3094214839578058
2099	0.317800842204349
