	year	ACCESS1-0	ACCESS1-3	CanESM2	CCSM4	CNRM-CM5	CSIRO-Mk3-6-0	GFDL-CM3	GFDL-ESM2G	GFDL-ESM2M	GISS-E2-H	GISS-E2-R	HadGEM2-ES	inmcm4	IPSL-CM5A-LR	IPSL-CM5B-LR	MIROC-ESM	MIROC5	MPI-ESM-LR	MPI-ESM-MR	MRI-CGCM3	NorESM1-M
0	1850	-	-	-	0.26051294214206955	-	0.11675314128839155	-	-	-	0.2886744973960825	-0.12387680851948304	-	-	0.4330401323294185	-	0.00425269381369639	0.11385705636641408	-	-	-0.1514149716924107	0.04321980601397818
1	1851	-	-	-	-0.07717071198226656	-	0.35931386805322524	-	-	-	-0.0016128490968744108	0.5055731637478971	-	-	0.11260310219398	-	0.2566122284377826	0.04802539721661367	-	-	-0.3268332406891544	-0.2377702565187797
2	1852	-	-	-	0.30014749559492604	-	0.2630079342334766	-	-	-	0.2101488965949374	0.02435636750472434	-	-	0.31124460029832224	-	-0.4353274744269772	0.3623217738081255	-	-	0.3297798358303032	0.23444977185803934
3	1853	-	-	-	-0.05778956256276125	-	-0.03069376747623485	-	-	-	0.3213648720633885	0.2542750947499202	-	-	0.018138502081409824	-	0.4008378001529516	-0.2017297182680617	-	-	-0.3092820568190764	-0.3800173506643434
4	1854	-	-	-	-0.02400317002608832	-	0.12241338992811518	-	-	-	-0.3567002866595365	0.16932072751759988	-	-	0.12461741454437135	-	0.10882123320361096	-0.2000610095037652	-	-	-0.11870081541997593	0.2852372511046352
5	1855	-	-	-	0.5879582652392603	-	0.5548198732276445	-	-	-	0.05730033619797247	-0.002545230496709017	-	-	0.5305705548272481	-	-0.06460329520024455	0.2978370724286793	-	-	-0.03295301619357625	-0.32173153923420234
6	1856	-	-	-	-0.31387616870876395	-	-0.8942642617771125	-	-	-	-1.1346540865214436	-0.7948261238869411	-	-	-0.6989352049215387	-	-0.8105828682913833	-0.34117808117560144	-	-	-0.32249421783481536	0.23876176818746853
7	1857	-	-	-	-0.17803559385518294	-	-0.8230845079883907	-	-	-	-1.2882619316389896	-0.9730942858175148	-	-	-0.8823514355124523	-	-0.6263466126762803	-1.017657133173744	-	-	-0.07192914205174795	0.07507187233572955
8	1858	-	-	-	0.1792067572800683	-	-0.4835027651910181	-	-	-	-0.31194535472052964	-0.15164145384522185	-	-	-0.09246334581161124	-	-0.45006755167551615	-0.5223313188817896	-	-	-0.015250579386443015	-0.26324459746528706
9	1859	-	-	-	0.20541487663724087	-	0.0933985226714058	-	-	-	-0.1407579626885355	0.381785632397011	-	-	0.2662486911576621	-	0.11028505624043032	-0.3129641429177236	-	-	-0.027777443411621732	-0.5782124625751424
