,tas,rlut,rsut,rsdt
0,287.13982982783955,239.03134305159074,101.07926528449015,340.27084286407614
1,286.99981971246893,238.6258816064886,100.909622950165,340.26004533041356
2,287.11661702240906,238.60014774554944,101.18189433386772,340.25898035325974
3,287.323854689631,238.92861669389356,101.08550242654145,340.2394646272467
4,287.4801609102058,238.89989472249167,101.35161770536068,340.21215237871337
5,287.5601076841734,238.91247118670012,101.55895891439177,340.1954026317063
6,287.33078329096514,238.62164634996734,101.80348846540215,340.19062553003994
7,287.2030604458402,238.6175981527667,101.1899118693806,340.2025392634692
8,287.2148210346166,238.6446020743667,101.351207486631,340.2355709433169
9,287.4880491826246,238.5690521790431,101.54337526462916,340.26291055928385
10,287.4877497880151,238.9528527686214,101.53268870769237,340.2835130277574
11,287.3850300596377,238.73840303106917,102.05968961641457,340.2794993192946
12,287.1316453827348,238.53144312107403,101.5819960841405,340.2559043145331
13,287.02866322847694,238.06376621555341,101.03263206995258,340.24195007834686
14,287.2568345845458,238.35273175520516,101.30592090283939,340.2281184130523
15,287.48019247671624,238.9426696323945,101.50017783717804,340.21701956637816
16,287.4141578388181,238.9319168611239,101.38167511428037,340.2113046625452
17,287.1142654998203,238.47926848465337,101.31558363271807,340.2027345704953
18,287.1678550830458,238.413027332498,101.21142716608881,340.22183296236517
19,287.3670583904613,238.6807142430282,101.86412310486213,340.2564890324658
20,287.40720926909745,238.5282126793037,101.74001355367848,340.2589156010392
21,287.2151219714711,238.63637583301076,101.34590243099505,340.28004911435977
22,287.1558658479382,238.49057976267068,101.13426535731277,340.2686598306254
23,287.4600960063909,238.48951190763606,101.80800412338077,340.250319198605
24,287.63067604644914,238.8123715269704,101.78093742328802,340.2340860137509
25,287.3616926884463,238.85608713321793,101.63064153937033,340.2035515120435
26,287.12736485376104,238.287294744894,101.30356077846703,340.1896787601763
27,287.08762758742586,238.34507937556415,101.16400959399981,340.1806934399379
28,287.22941062447467,238.61080230692255,101.22676939752472,340.1692987674192
29,287.3361225004333,238.27767097590115,101.70501312911931,340.17174254019085
30,287.50682063436574,238.71857020378113,101.57060016958336,340.1989366078598
31,287.32692244099616,238.84638065910895,101.27644535704519,340.2368159279061
32,287.25126939144087,238.5134483136239,101.39094335635325,340.22859292416007
33,287.2492464639549,237.96079104059268,102.41788099889278,340.22272275695667
34,287.2431604955561,237.70198765089387,104.09400024084887,340.2682768358482
35,287.14711319055044,238.25961796057868,102.01446224027957,340.23967266054194
36,287.1170542259744,238.40282326539554,101.51240956533182,340.20826003505823
37,287.0617819316606,238.5343605756933,101.06582623251505,340.1881995287762
38,287.1071873950547,238.31778011537835,101.05747191675765,340.1803427895567
39,287.2908316235195,238.1529814495146,101.4514646379688,340.177555711027
40,287.48454891572715,238.38430139110463,102.0219663960786,340.1843534386108
41,287.41473446128083,238.77445482825487,101.84318221438025,340.2338933480045
42,287.16283687718845,238.72019171632783,101.38505308815876,340.27461554878545
43,287.24210477381865,238.6476596022264,101.11866683219604,340.3068037545421
44,287.3811402917551,238.28511020310273,101.5394795208918,340.34574310364695
45,287.61475796063627,238.96249517369287,101.50177934681875,340.30933268229103
46,287.2931059328064,238.6887970327903,101.52699609030621,340.25871556710194
47,287.06516904868147,238.0794074860352,101.19119089548407,340.22695751075156
48,287.24829686014954,237.86720638657167,101.7080040366339,340.21186463149337
49,287.61051360630677,238.7304458516251,101.59984129601348,340.1940605062312
50,287.5274621586189,238.64134531124918,101.74029607186922,340.18355956352434
51,287.2970368623191,238.4626821666486,101.50785559566354,340.1658312077587
52,287.31399541350703,238.11483069273916,102.02986912046181,340.1700155456372
53,287.1769453730719,237.73437321950158,103.01743162535827,340.2059677502632
54,287.1834522502166,238.12420424656884,101.84620474093772,340.27077902587695
55,287.42321231469145,238.53486603540034,101.35544307100162,340.2417196234231
56,287.58342522292065,238.77776541211244,101.48230257660585,340.28949836967456
57,287.4238794068214,238.87535939896475,101.4436007048887,340.26261804306495
58,287.2880341345705,238.22527277359893,101.29939772899291,340.2795405746728
59,287.4426111704983,238.53892367560772,101.45157048665715,340.2468849760265
60,287.46158540370993,238.4873800661314,101.58392708043347,340.2224611043155
61,287.3447509038215,238.41263341803335,101.66584353925424,340.1873002791439
62,287.41513867707846,238.12078081606046,102.4854544790444,340.1737676126076
63,287.3403055164731,238.45627290681762,102.01752168937013,340.1767846078546
64,287.1903955803245,238.25654783871855,101.7268535238929,340.20347887221163
65,287.17349409070687,238.00084106989695,101.38595421675318,340.28087485825
66,287.3676649949518,238.4292310493726,101.52769576215563,340.3437333931883
67,287.5637743005531,238.33036384508623,101.912068089606,340.38449603339035
68,287.5955305108188,238.56838283173872,101.9015465380707,340.3929642658555
69,287.27344339503776,238.5193571674503,101.35560800189857,340.328159576327
70,287.19587018679647,238.044847501283,101.16933467912934,340.26838843065315
71,287.38119539180497,238.21294910546726,101.57842406718608,340.23090285213783
72,287.4529688674547,238.09345635388965,101.99592156791961,340.196599227898
73,287.5322703723747,238.07551257971372,102.1577029405671,340.1885972802923
74,287.5677306486378,238.22949361215979,102.07118371140984,340.20353209381676
75,287.63716480291833,238.45744811444823,101.9769871672849,340.24513042407506
76,287.27485368494877,238.26155430530937,101.69041309686412,340.300370095155
77,287.1954445413235,238.12709555697134,101.39910743689632,340.34663637410694
78,287.37693609740336,238.2596704291984,101.51688802806164,340.31629674591227
79,287.60715747453526,238.24980941212766,101.99924061482722,340.30098715170806
80,287.63597590883626,238.68378619896612,101.7721639713547,340.30165164999244
