	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	rnorm
0	4.04585554110822	32.36402395147093	126.77487572463642	5000.0	3.5286564584374136	2.053458521171969	2.262968761252094	0.4799866906509793	3.987323768410331	1.4213187759895698	1.8920672368101328	0.4013166717260175	3.8510132264680252	4.162535215756228	1.9165484562328412
1	1.3473969678110487	11.927909690521783	80.72502667832107	5000.0	2.033793482613957	2.47227084319451	3.112873391772512	1.029914376025868	3.1581747123202066	2.264210117967141	2.1579847499861553	0.7139832680409093	4.147176424157206	4.324426046803423	1.8745935169942651
2	5.475686982405487	49.9136432074592	157.37890791425764	5000.0	4.042671813784057	2.1551108650676865	1.7183168348836046	0.3892428771882859	4.191037072663096	1.5109630143912827	1.46279737241362	0.33136115902647933	3.7480793092472386	4.152671195461817	2.1616016562259417
3	1.5673583969267977	12.714198855351876	108.9159961530541	5000.0	2.082566900364874	2.683684591265634	3.22145581472105	0.6601316947472196	3.207461741586278	2.36534807015295	2.2365458992227527	0.45830671589133853	4.13383121342666	4.323919500549389	1.8732873322027126
4	2.4238787707008314	17.329321088835282	94.08150797641181	5000.0	2.7145026903261886	2.1139092876881085	2.8955477947184574	0.8947268718108443	3.5421643596153594	1.768509200896577	2.042161439109181	0.6310297206903988	3.9919323601557584	4.3093433222718	1.8267755119825144
5	3.215312826828387	29.943696007064762	133.91806839727047	5000.0	3.244958269662612	2.4326208994170297	2.162059134353426	0.4898157808391055	3.8599659838339817	1.7191991665896635	1.8017076042834967	0.40817792770492023	3.8945253412060308	4.164727042136087	1.8352700930448338
6	1.3759098477265548	11.285909882990525	118.75358556255101	5000.0	1.8499654068288711	2.895257662865477	3.4221147817945328	0.4621047389246158	3.116783709235476	2.566421132640053	2.3997565195208037	0.32405074950592017	4.203506055451126	4.314721295206748	1.911619787839186
7	3.1888067217525795	26.222136153288538	91.96280794847522	5000.0	3.2170447477637296	1.9450508225597076	2.4313196352682427	0.9296471758399827	3.755236807153378	1.5054238210857693	1.8041095643019733	0.689825120905665	3.877297656723393	4.261531190715831	1.8405560563127377
8	1.311507962795141	12.623351775614035	81.94309473631166	5000.0	2.0738720758818423	2.49160724723908	3.053072496997519	1.0425429344418298	3.1834214571968973	2.272743935107436	2.107119649900241	0.7195252340674516	4.1414051381360135	4.330547377280135	1.8845822706154065
9	4.293480650966608	28.318575203103745	113.33303955862473	5000.0	3.5735597015179903	1.6503521276271054	2.629699399854911	0.5741256905622354	4.055625676092408	1.1466695450110078	2.058701374161277	0.44946329157126375	3.8552299434179784	4.213868459781121	1.962360842962637
10	2.3309561021031224	16.898449760772255	115.5637441737852	5000.0	2.6115432570489454	2.3596675443006356	3.0085168632015264	0.544624240203964	3.612901938145084	1.8424423821706746	2.2292942167367484	0.40356352454987476	4.04410103080119	4.262175952377536	1.83113844070497
11	2.4422629306860126	12.315093816344625	100.54532864059492	5000.0	2.391711290117287	2.231248793115771	3.302264312418952	0.7358703589082598	3.3200674275608324	1.9705894942339268	2.279102782100735	0.5078709708202513	4.038815337357873	4.330547377280135	1.8884907795654113
12	1.5246658098286645	13.960239113843224	85.25509255146513	5000.0	2.237857436787636	2.420919674209836	2.9829924105777876	1.019325232985011	3.250451084542393	2.1701830368695516	2.05875292185597	0.7035012205488433	4.0914441319083785	4.330547377280135	1.8693904551698874
13	1.1066158679352978	9.508131689386463	92.49082511117902	5000.0	1.620997296856054	2.8691089697868293	3.3518538247565566	0.8068920022074071	3.0106431678716907	2.686897040945128	2.3236568043934183	0.5593740626430943	4.290285537926666	4.324426046803423	1.9060991570583772
14	4.372897346927407	27.046367004410413	82.96370897785954	5000.0	3.6489489607609777	1.1168012494480066	2.83581361194978	1.0462751789400127	3.9954167078566325	0.9576402088468291	1.9688077904975216	0.7263928470549166	3.82412877712795	4.323919500549389	1.9709649987473
15	2.877942216854091	26.514852733835763	83.04176224367035	5000.0	3.1367092627841533	2.0044290064670913	2.3458232277829776	1.03610088439744	3.7704313139944303	1.5514854635584423	1.7406687545375228	0.7688168548504839	3.9157011934704395	4.261531190715831	1.8388875647271696
