,tas,rlut,rsut,rsdt
0,289.3038271559558,230.29896320039575,108.98295616254916,340.27986854364127
1,288.99129989555644,229.4169100437938,108.80883206876162,340.21004997636976
2,288.8670597007938,229.13172945954923,109.03282739125201,340.19092191580245
3,289.0553376196357,229.25585399383348,108.61328080869045,340.1823201224693
4,289.23298170836784,229.5256946853751,108.59860646072026,340.1816264382298
5,289.46813019277386,230.48587350761656,108.25349339391072,340.19185425332836
6,289.21891732800316,229.57125300645828,108.75128094940872,340.2616715688423
7,289.37925073247754,229.9452886997209,108.24833362512821,340.3383235092108
8,289.6026291154349,230.44096486522145,108.37970114957095,340.382460085011
9,289.34727108817174,230.14641236206668,108.41586262328163,340.3994868766124
10,289.14911486131217,229.51840981248202,108.56534824595899,340.35700354534964
11,289.141864655675,229.34195314547685,108.5641867072837,340.3073683652974
12,289.254612381171,229.62827379609587,108.60118080464129,340.2611757665805
13,289.5205039985945,229.9607693761866,108.33433173962241,340.23926782671384
14,289.5781408893536,230.43212781535456,108.66905269758765,340.20754482953754
15,289.2539963665788,229.48271604078454,108.57054639493823,340.1897508850271
16,289.1774754020671,229.18403222185182,108.46893952112221,340.1724077290684
17,289.51591281887335,229.70883497483274,108.00423568130343,340.1766006437443
18,289.73492851457746,230.51748652671935,108.37712025197987,340.2181693789167
19,289.54278831779897,229.70670861972962,108.2527708404508,340.29246659880914
20,289.4891609760511,229.75014745255635,108.30648659651115,340.3004277706694
21,289.5298359295421,229.90365917556412,108.61297044578919,340.33518474734814
22,289.62203796496533,229.8175109006637,107.96964899521119,340.29951109573227
23,289.81872498156986,230.69423040451093,108.01393758610647,340.2984560747939
24,289.5951980572201,229.83431275549142,108.03009000074012,340.25318126875123
25,289.5175204384862,229.43993147283695,108.45091759864597,340.2072595689078
26,289.7347510098222,229.90447182501146,107.5627773286024,340.1685435842132
27,290.03767526302255,230.72330267875017,107.77356938266924,340.15787669287727
28,289.78779532745585,230.17964607646863,107.82016480708806,340.16300975595516
29,289.5337365350271,229.8240408312505,108.2990958086006,340.1872718816381
30,289.6869032089033,229.76166654328736,107.57501523058642,340.2564671609358
31,289.9874947742492,230.53206859754815,107.37577501980262,340.3039320036175
32,289.95446605726426,230.71318590459427,108.12420588854137,340.3567665987146
33,289.7081879831898,230.15947501745168,107.94180966178476,340.3628835726942
34,289.72402370036485,229.81244393066058,107.84510208968292,340.3170382339162
35,289.94431959059415,230.06122599344042,107.48998220966651,340.25342680763714
36,290.16831815156047,230.75239797817332,107.20050852484356,340.2204018349894
37,290.0094333716591,230.6647537561929,107.6354599722431,340.1891829002756
38,289.846557197418,230.06281255071448,107.49004190725253,340.16757581558005
39,289.8817306207163,229.86347528434013,107.46093204285741,340.1762701211406
40,290.16327476926466,230.53266409474898,107.25550651162558,340.2168067815976
41,290.3578649047292,231.33675004253666,107.44557500073596,340.2650342468453
42,290.0498785328196,230.42895026261965,107.52629022774788,340.26851555464043
43,289.92283303111935,230.02759590396127,107.74535505253175,340.27607284957185
44,290.20194079724007,230.27509147421063,107.12836909157211,340.28230326325337
45,290.435599717737,231.18210970335454,107.68811805054885,340.24130735081434
46,290.11280852705175,230.57264767454603,107.38563782512067,340.2050055912216
47,289.9582791210498,229.85967924371752,107.7173126331283,340.17659829904125
48,290.08950229316105,230.144133053107,107.28494601777663,340.16623165093034
49,290.35297214480573,230.79698043761758,107.01177806156615,340.1626754091062
50,290.57577891077784,231.5895813584015,106.92936683190841,340.175263957005
51,290.16464394203666,230.7777242902953,107.28026677858234,340.2295104974001
52,290.0716854225363,230.22087466780613,107.15795965475034,340.2789060779881
53,290.18886330941024,230.36800112933267,107.07299087555066,340.3067728877228
54,290.5032104471705,231.37752713540297,107.23884308372338,340.2959595790712
55,290.29828103240175,230.77985280892497,107.28406732582395,340.2652750813725
56,290.0978773112308,230.2875211306966,107.2840009840926,340.221691162504
57,290.3649300426214,230.7904107056598,106.4360739879391,340.201257244225
58,290.58697616119565,231.46523518767523,107.21127784704713,340.1849199124733
59,290.28016932931274,230.78719648366646,107.07784816271449,340.1620910226754
60,290.0606857896626,230.0660241050446,107.089467649871,340.15282408822964
61,290.24506588815404,230.5102085034769,106.71492180422719,340.1435846182309
62,290.5484055534702,231.12545487441085,106.74846234104662,340.15591697470865
63,290.5436017450413,231.2237895990304,106.68907214271182,340.1901578635175
64,290.3598222156056,230.76183720100525,106.89563082209577,340.2289861088765
65,290.55889048722094,230.91399572485673,106.78687440998334,340.2547541945549
66,290.7423378036176,231.53568450910564,107.1494758062334,340.2560885010944
67,290.40916593759925,230.93577124988724,106.6951917563988,340.25576330223424
68,290.2482196533763,230.51226145001485,106.90573139987667,340.2283027908001
69,290.4335143715691,230.77755749943296,106.75233473256799,340.21403576319864
70,290.5659009739424,231.0601834894059,106.71046851139539,340.1729035896822
71,290.62918561319543,231.4178692994684,106.56618262124333,340.14984880969604
72,290.64941122139186,231.36242261436973,106.57158584599388,340.1479408148384
73,290.3001345093002,230.77209334652412,106.97913133065241,340.1512290546003
74,290.510635104504,230.8442113546487,106.36207697886782,340.1834394684832
75,290.6906597109252,231.16479545326203,106.27551906639393,340.2375843793249
76,290.9456752509173,231.80149036991642,106.55688799145018,340.275505805003
77,290.63003204063966,231.46175932597635,106.69707890847617,340.32737157652474
78,290.5363750649605,230.98027522099824,106.56687880633706,340.30616487641015
79,290.6343496473986,231.0499127968055,106.62277405141607,340.26392227481864
80,290.8478367343368,231.93427398775134,106.7790004617882,340.2288117590985
81,290.557546530901,231.10741646992025,106.83709619617247,340.18932072109703
82,290.505979420267,230.96154023283148,106.440057819188,340.17565219684917
83,290.6349978621622,230.94340978991622,106.41927719429974,340.1630878612982
84,290.9551369915163,232.01600417608734,106.42675052789038,340.1819423380036
85,290.7385662420649,231.64842830090038,106.75867036913989,340.24601520949267
