,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,GregoryF2x,GregoryT2x,GregoryF2x_1-20,GregoryT2x_1-20
CESM2,4.367445306770205,41.63637315535068,122.35897535310762,5000.0,1.951733245875768,0.0023204558686789,0.9293447076070076,0.8131046252855458,2.982945484893506,0.0035623874977177,0.8400935350572007,0.7350167633561764,4.561618170804602,3.696503034637,2.06371214814814,1.6765912603509223,,
CNRM-CM6-1,2.866740470103212,17.738580944864353,255.6832158053972,5000.0,2.0950110359170533,0.0,2.548182639637794,0.0106286965936778,2.5652464775730253,-0.0,1.6556662496320025,0.0069059312915782,4.227818658496605,4.653822372148525,1.739498477647654,2.1477837502293102,,
CanESM5,3.166763099387376,21.870554067036466,357.57805768854263,5000.0,1.4672132035303715,1.3448123052952612,1.8166398278014104,0.4226534557981635,1.349783535153752,1.092983637315991,1.0125371396688236,0.2355735653571713,3.690877877495738,5.051318792425207,1.7161155220879016,2.284685678230913,,
GISS-E2-1-G,1.2753297633366016,6.500716873120685,197.20550313268257,5000.0,0.9969532906955766,0.6270640010400246,1.113543984187561,0.0063995542401189,1.487298234322863,1.005191636512694,1.422988263621664,0.0081779352278963,3.9236560696851166,2.7439608301632807,1.8476307876988625,1.3485882724280638,,
GISS-E2-1-H,1.2180064317808328,9.386032769404608,81.44717150717901,5000.0,0.9685734764166212,0.719057775018849,0.8707868562624571,0.3866424970614941,1.6138701690421775,0.89566754819766,1.0192574039108315,0.4525656593945197,3.981360780545189,2.945060604759421,1.7430342144042503,1.4657669111001017,,
GISS-E2-2-G,1.0084946404875574,5.220262909178999,113.05840309512577,5000.0,0.7659243998246834,0.8331119642016409,0.7450457557823634,0.2798708267952678,0.8381444759980731,1.5744327213194391,0.9146569652452824,0.3435840001912904,3.670818162754085,2.623952946603956,1.7724059842899065,1.2751280557212503,,
GISS-E2-2-H,1.9087102671309293,10.935997344291973,199.6977778878597,5000.0,0.7224859812017899,0.9686934461035333,0.9262957650573428,0.0133140969597175,1.2402353931082355,1.1319668251586008,0.9769665255745772,0.0140424123034752,3.3632111561448887,2.6307892893223834,1.4973604150531534,1.2850621464182062,,
IPSL-CM6A-LR,1.006108921288026,6.245664634407357,158.2411213877219,5000.0,0.6555188211944599,1.5466414478254862,1.608760414178704,0.1532651886287368,1.0079395794531707,1.7904697550332689,1.306917918253846,0.1245089197235813,4.229836172463867,3.964185871827387,1.7648188879309918,1.9138929771699589,,
MIROC6,3.0899672251411263,20.47418845449292,188.59845812575423,5000.0,1.3979553367235271,0.0,0.7671521765658592,0.0182670382407171,1.835162412852544,0.0,1.4034143318797556,0.0334173897319538,3.2719941344642534,2.183374551530103,1.826072696119,1.1204894013688766,,
MRI-ESM2-0,1.0201009033968578,5.677524271309978,278.22069689356283,5000.0,0.4799515807603013,1.2124864264183666,0.0,0.681789076645506,0.6714236214704626,1.6371574291072943,0.0,1.2640444800694146,3.5726255306471715,2.3742270838241737,1.77281135999899,1.2669491142024532,,
TaiESM1,3.402137912290033,23.31766276364694,151.84474074126481,5000.0,2.00397477588956,0.0,2.8510269127739027,0.2129812562394991,2.517218758040761,0.0,1.8222844528661128,0.1361307500319313,4.475633960938803,5.067982944902961,1.7891789495001102,2.401155503464208,,
HadGEM3-GC31-LL,4.177077843287692,38.8024637440316,82.41852278768124,5000.0,1.8730043940700605,0.5585473909015546,1.3856967992203977,1.2790521917958713,1.6761566889555948,0.3771712500009459,0.87272310394208,0.8055574636212106,3.731608506519832,5.096300775987882,3.4101589805754746,4.91569405826132,3.710095700266665,4.370967532476367
