Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CMCC-CM2-SR5,CMCC-ESM2,CNRM-CM6-1,CNRM-CM6-1-HR,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg,FGOALS-f3-L,FGOALS-g3,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-H,GISS-E2-2-G,GISS-E2-2-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,ICON-ESM-LR,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM5A2-INCA,IPSL-CM6A-LR,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1,UKESM1-0-LL
2015,2.082287443511036,2.233854128905735,2.9947455148127258,2.6872726104308935,,2.5799934233935042,1.0336925773291548,,2.5066112340537208,,1.9671480697760693,2.8603581826457076,1.5355887120769394,1.5263702650299045,2.2420156426576225,,2.3061406761724914,,2.2804375785626565,2.0784143576852663,2.872113056010398,2.6686825144545954,2.248925524335063,2.6232879363821,2.1552902008106423,1.9016686658732251,,,1.7489853427051691,2.071677002720591,,3.677250012760261,2.9996130330055766,2.8978523366748736,,2.991663790492097,2.5702409081256627,2.249265323052211,1.899202354378287,,2.4295061897177073,2.9685195299716347,2.0272996419474882,2.951708642167222,,0.6861837247887093,1.7304434398426582,,1.9283169343420568,2.0287915449390956
2016,2.0595613506068875,2.278623977575431,3.027519904488933,2.4878003529894737,,3.1083250844750054,0.970583408782324,,2.0573538138335463,,0.6334278369590693,2.8077537192582094,1.5634589982618479,1.275123214765749,2.244376776922339,,2.357118347227395,,1.4102140147423177,2.388165646419766,3.066845480720275,2.5886866825998998,2.8482413663347987,2.8492118260960337,2.286858124415815,2.6298063424754217,,,2.0646717745634957,1.8151165008574042,,3.2938521176100664,2.8604588891332785,2.5580848598470967,,3.100830875111631,2.5669896077884142,2.162306778506937,2.0334336839336626,,2.5932094125894105,2.905474569425889,1.9025465150517071,2.9490046578434295,,3.4340963309657244,1.923658724815713,,1.211499327793346,1.9860509542896143
2017,2.2707992658829093,2.3872002059055677,2.7766355506409104,2.3303699386964043,,2.8118826438623516,1.0707463424867176,,1.461753388636636,,1.5045148382005886,2.2523038523939727,1.761081336405548,1.473914399850761,2.4686842318359608,,2.3164623871287597,,1.588051237394915,2.529195771704723,2.9077500836342938,2.429562793760711,3.0640571881220464,1.6031208602434242,2.527654813369311,2.371809088851661,,,1.977261393773337,1.8843840347370482,,2.5032226455891338,3.173709562008267,2.12629219696381,,2.921205307893353,2.2639426746893396,2.6059374643791164,2.078496765814869,,2.4599022176128678,2.968490924986675,2.2488147220212698,3.107724104697968,,2.51540801157811,1.411535267832115,,2.3724654686815496,2.187585758770525
2018,2.131580332074203,2.4515091092377177,1.7602463876746004,3.005599464457492,,2.7889193472283162,2.538400380196197,,2.1816624170952474,,2.0164417424895817,1.7422522612063769,1.8910725196499376,1.7374458219026372,2.397861032789085,,2.4232736227820943,,2.6511621188426284,2.2818572687012195,2.7503848254741783,2.525429948002756,2.0846025154324628,2.116315203166064,2.5769384063053216,2.4578618526923814,,,2.1390994622480997,2.055622318874325,,3.4997054901530222,2.826040669832936,2.3136147442278165,,3.1672867381477237,2.7297084325092653,2.67691475125148,2.1650153614792464,,2.7800747354989563,2.9912505183161815,2.1050502366051806,3.211713718089235,,3.445034204267152,1.750859995685286,,2.093521928620548,2.1758757432806686
2019,2.427999083069637,2.5302186011332317,2.7474759384770917,2.209498078079821,,2.325171384369405,1.6793335276990335,,2.3970012439006307,,2.1856792596631904,1.3091000504192334,1.6263716335020222,1.8515895157286573,2.520044806603781,,2.6054316665714348,,2.6526490142108043,2.495725384801119,3.5662977248863883,2.252941669996132,3.48041641352844,1.835205726611385,2.435051286871801,2.540935602820592,,,2.0075299066156727,2.3751182358997363,,4.035624084135402,3.267623016128524,3.1134329672641323,,3.0578743346762134,3.356092634287588,2.7981664925447216,2.211601324975565,,2.7398880431242434,2.9968345481829903,2.3366114990707003,2.971082845888148,,2.803393270679316,1.96540181136008,,2.030848152950364,2.2414753476247564
2020,2.3581310350959708,2.744837320257228,3.015873822669998,3.2881389644996535,,2.632906596953286,1.3736204302746688,,2.672823652147213,,1.6854011832174467,2.2076060007614298,2.074881765913846,1.7266805054222374,2.539213166175461,,2.4491677139297217,,2.16807236758458,2.870727818465806,3.691347307011513,2.714736608501833,3.168605655479498,2.583199269359384,2.44038559422767,2.699097584841508,,,1.8765251112821644,2.184056113895813,,3.3990743405016763,3.276408758663002,2.8932436942596347,,3.4643813204348466,3.3217419533028023,2.7499521128698907,2.379762029149149,,2.7346017464960397,3.1973573855776376,2.6595290921160513,2.8378899444681807,,2.7758130372885,2.402992763616428,,2.100640970056149,2.0942145979607103
2021,2.5931578896008762,2.7799670615929184,3.291361373172048,3.11821542036782,,2.5636319801211327,2.485455884643412,,2.17331596667876,,2.309650363970958,3.708348740327233,2.0401861595267143,1.4248102975290111,2.7057203654247615,,2.59240422529072,,2.4785501054839534,2.7300898668530698,2.83013915056697,2.6331735896847297,3.51170739951039,2.5621535143002747,2.8098114073569254,2.8480419508369788,,,2.384216836226455,2.0028160391538274,,4.069929455660511,3.2608593371941317,2.8720468334603693,,3.6555537830214244,3.2576261478731645,2.827637889659546,2.4152893317645554,,2.502748729590177,3.4201120347366527,2.448205541733353,2.9666099156127044,,1.8662881123536283,2.6958596717650725,,2.9829250092067627,2.5466020100781885
2022,2.509125783348407,3.0017324229482947,3.2579489415934537,3.08086181772473,,2.5024677696338506,1.8986880358329916,,2.3735273330183295,,2.017705694838117,3.1787883473997347,2.02216634678304,2.236895327144448,2.7677732797254158,,2.768986588878609,,2.7644234974467157,2.783052967599496,3.4469771861058747,2.529862658071392,2.1266920727608687,2.18560254279302,3.0469976259197575,2.8716174144045064,,,2.4266852716222322,2.5924466655262397,,3.898223631976065,3.677748350294264,3.242622136808536,,3.4259498348811412,2.3504311227960333,3.123231732226956,2.510757662550915,,2.6619650908966888,3.470719775261168,2.678278992097688,3.438697995295551,,3.738382266297801,2.704116376317935,,3.1157075473150817,2.6951348151337644
2023,2.7681361450733597,3.04609949184304,3.0789561635184164,2.6967138599763625,,2.3987971064047695,2.1726033519564685,,3.374413746287904,,2.9738417408153053,3.0509691490450446,2.430950815129702,2.208903684284752,2.8385912831560463,,2.929715334652951,,3.2405006349525887,2.7924636422219122,4.205254682263481,2.7594518921181197,3.1219388314841066,2.5989863267514988,3.026264178493352,2.760517675347436,,,2.4446669616562327,2.6676686794563387,,4.334246098841362,3.5084561601923,2.8082608065299333,,3.645132170786399,3.22832992364992,3.1965877266471807,2.674959502556946,,2.8218600295259364,3.3673829035841374,2.6927606535571065,3.3993633019330742,,2.8221326309091457,3.167598126512253,,2.434035673975784,2.718393595804585
2024,2.6771758542053,3.107058037598865,2.6913344486812254,2.8931097118652214,,1.2670084590469135,2.124922517888407,,3.260125242213481,,2.664435590260748,2.6383253980525603,2.3977139442779043,2.2006090122598145,2.8778528554569465,,2.9796315184821136,,2.652689919059496,2.6244469396393106,2.9339933559607614,2.9351226212438903,3.028656196815535,3.4370209970328816,3.14858808553403,2.9783480630648613,,,2.271688862608196,2.374305930673688,,2.8022802913216847,3.4909261550625037,2.9745420910277067,,3.7745483970548768,3.057243745229932,3.174568508747723,2.6688928257173576,,2.923935511778062,3.431532078169284,2.6012671082298677,3.492960077602559,,2.509516391986237,3.678286758823506,,2.705665607900353,2.885005616266135
