,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,GregoryF2x,GregoryT2x,GregoryF2x_1-20,GregoryT2x_1-20
ACCESS-CM2,2.570509621641802,25.283368689642266,139.03490786189238,5000.0,2.8795985304157434,2.6828708246907995,1.7951546105656218,2.6191489781312107,4.557980203079814,1.6224671370823271,1.118593472255232,1.6320393422148838,4.4655400773161285,4.988386471901689,3.385791844116592,4.713203342877756,4.076413579103927,3.743299671065484
ACCESS-ESM1-5,2.6341629082711244,14.25760136778986,324.13563290009495,5000.0,2.4020039898250944,1.4718878011720449,4.711374889142628,0.8127911365762839,3.3959299342495544,1.49782191428779,2.1539270854846384,0.3715885246041397,3.7096337293130612,4.6990289083580254,2.8615994903655317,3.84010853702939,3.5387257379177246,3.052002479449785
AWI-CM-1-1-MR,1.1674343816183457,5.986519603809217,87.70121343434414,5000.0,1.5409446379784804,2.4414514306134363,1.899632305859388,0.5399839586190706,2.642955997316026,3.3647400426256735,2.0330826205013923,0.5779181572306014,4.309348408836847,3.211006166535188,3.793199966692242,3.1340838857227165,4.042449516169992,3.012359930555744
BCC-CSM2-MR,1.1102835077169055,7.177461454063294,184.4438804734978,5000.0,1.321304229655873,2.2084488903496067,2.646606484879106,0.12223732624697126,2.5452936735951464,2.7599198047361804,2.3303834135532164,0.10763210897824392,3.871614500431393,3.1492984655657783,3.1717375240349743,2.9986329177863937,3.434703936891219,2.83476625130548
BCC-ESM1,2.7174427554032405,19.25316801400609,337.09205438295936,5000.0,2.599549227184225,1.4201762164296856,2.9177499459615768,0.02473777731709712,3.430106577398764,1.3350908624246771,2.176327288975644,0.01845171822154157,3.479988223510313,3.481106583446292,3.0326482109420514,3.2418223177053616,3.4235201535999717,2.850852943640899
CAMS-CSM1-0,1.8744125161753689,10.320364809810332,131.09363125331748,5000.0,2.2626499914807634,1.1572090032514522,1.1958119910849851,0.056516173838566726,4.694482238096447,2.2075339721735503,1.924811658422085,0.09096997780995776,4.45889892325102,2.3360935798278835,4.140149461769378,2.2982214876859666,4.3634783379950965,2.2250344184284248
CAS-ESM2-0,1.4251288488311866,8.927627393634774,81.04746912588115,5000.0,1.9349909241007968,2.054292497039617,2.0895407804963018,1.026532532599162,3.988004493199565,2.188820507549521,1.7666224564441109,0.8678918551325855,4.405669656162892,3.552678367117939,3.3522081976659464,3.4245746780602646,3.8703782841223378,2.9800991762658646
CESM2,1.3792975761395123,6.932334386364797,291.549309109702,5000.0,1.3071015944013415,3.1667648828479313,7.544182798733687,0.1369387037513424,2.3468658333074095,3.5289268225393124,3.2847032210233524,0.0596224950130182,4.610059185941546,6.077493989867152,3.2868795242691573,5.1643016441244205,4.284264057421105,3.745202183775572
CESM2-FV2,1.1517077695333646,6.143877069563552,381.16377641548735,5000.0,1.1137360318973677,2.8871425774113977,8.677963947723747,0.3459867368701796,4.931292337077868,2.6873888265503347,3.0422293982403183,0.1212923940049082,5.391101477936715,6.512414646951346,2.8258593925047504,5.2336052068404415,3.902990233946732,3.3967085288568737
CESM2-WACCM,1.1282064753912264,5.747076228383825,287.90166131551774,5000.0,0.8323868778444814,3.3440780282595464,6.384127091293747,0.4051534733424381,1.7590922858945357,3.9289116721698014,3.12533018811145,0.19834166252456686,4.505837904350177,5.4828727353701066,3.2865121909935486,4.714294280555106,4.1172115787854695,3.5868693796480766
CESM2-WACCM-FV2,1.0269550628515298,5.538339650173394,427.2350154482898,5000.0,0.6533206553232791,3.3547556503566915,7.466950731167121,0.26254525465444595,-0.0008440447498978068,3.3670893464225924,2.9836251786763786,0.10490716499030216,3.227388822669688,5.868786145750767,2.9169419275039847,4.768636235686414,3.4487578727649097,3.857271338280878
