,ERF,ERFland,ERFreg,ERFreg150,ERFtrop,FARF,IRF,Model,RA,Run,SARF
0,7.947338514527991,8.356590497588135,8.114362,6.725706,8.86933851452799,8.273199762080658,4.6506289799753215,ACCESS-CM2,3.2967095345526696,r1i1p1f1,7.4711667320413095
1,7.607362652672367,8.033900241482817,7.5418701,7.399658199999999,8.433362652672367,7.93410469510199,4.83048455142024,CanESM5,2.776878101252129,r1i1p2f1,7.6977062331379145
2,8.912767832985665,9.423941281602284,8.4664135,6.422771900000001,9.743767832985665,9.27553927634854,4.63993316104612,CESM2,4.2728346719395445,r1i1p1f1,7.471944073025541
3,7.999113798403339,8.433425144092368,7.8942785,7.4484414999999995,8.757113798403338,8.399870848649746,6.005093225707481,CNRM-CM6-1,1.9940205726958609,r1i1p1f2,8.392827227106078
4,7.9263129381103,8.284108044977446,5.5093169,5.9769120000000004,8.5413129381103,8.213500401042694,6.034396345310003,CNRM-ESM2-1,1.8919165928002968,r1i1p1f2,8.392393384230713
5,8.08787798237281,8.493291689733976,7.3313227,6.2938614,8.95187798237281,8.452462026276555,,EC-Earth3,,r1i1p1f1,
6,8.236141393946994,8.618815552132867,8.6366882,6.368388700000001,9.172141393946994,8.687244604628084,5.626499805910337,GFDL-CM4,2.6096415880366584,r1i1p1f1,7.6674014311521095
7,7.743826983327879,8.086295559833742,7.4527636,7.8206315,8.081826983327879,8.407713746057285,4.4050846351595006,GFDL-ESM4,3.3387423481683784,r1i1p1f1,6.874740639925728
8,7.349846380808317,7.750774930891451,7.868429700000001,7.8310337,8.393846380808316,7.892671322350693,5.051679473961436,GISS-E2-1-G,2.2981669068468777,r1i1p1f1,7.940258349728881
9,,,7.866753599999999,7.7132421,,,,GISS-E2-1-G,,r1i1p3f1,
10,8.089091209294018,8.556835992626919,7.7431054,6.9688916,9.330091209294018,8.42358704396227,4.7662902393310995,HadGEM3-GC31-LL,3.3228009699629166,r1i1p1f3,7.59183561029824
11,8.041436671648231,8.536224269172399,7.777400999999999,6.829724799999999,9.030436671648232,8.477089118546466,5.312440643922893,IPSL-CM6A-LR,2.7289960277253376,r1i1p1f1,8.072454360583432
12,7.943249682068367,8.433453574312214,,,8.932249682068367,,5.299625718863488,IPSL-CM6A-LR,2.64362396320488,r2i1p1f1,8.042461376244049
13,8.043620132511764,8.535388195159076,,,9.032620132511765,,5.28734480760598,IPSL-CM6A-LR,2.756275324905784,r3i1p1f1,8.054106550340645
14,7.9765331931240775,8.478456778732648,,,8.965533193124077,,5.3004332610702125,IPSL-CM6A-LR,2.676099932053865,r4i1p1f1,8.0552518991173
15,7.323934862461697,7.757020114882482,7.7876768,7.2604012,8.172934862461696,7.764780163787308,4.8246379217640385,MIROC6,2.4992969406976586,r1i1p1f1,7.626806270604808
16,,,,,,,,MIROC6,,r11i1p1f1,
17,8.345835043496496,8.818186404417279,9.419805499999999,8.5939531,9.344835043496497,9.166646117144838,4.938528430965837,MPI-ESM1-2-LR,3.407306612530661,r1i1p1f1,7.862605435140054
18,7.650561396449387,7.989301977572713,7.643611,6.7999558,8.302561396449386,8.095137826621075,5.311487830296787,MRI-ESM2-0,2.3390735661525985,r1i1p1f1,7.8923322664941296
19,8.151879002144954,8.622256051719253,9.2811184,6.9820375,8.971879002144954,8.891688178018194,4.7037154489903665,NorESM2-LM,3.4481635531545876,r1i1p1f1,7.518776336095536
20,8.378076082141586,8.868398972104817,8.7023497,7.341928,9.160076082141586,9.217623431676955,4.760167014658143,NorESM2-MM,3.617909067483442,r1i1p1f1,7.604565504609738
21,7.940786425492853,8.421321334184944,7.8198152,7.2538834,9.145786425492853,8.316713234133962,4.816586577168926,UKESM1-0-LL,3.1241998483239257,r1i1p1f4,7.331287917362431
