,tas,rlut,rsut,rsdt
0,286.45240746651695,239.48102029658943,100.18112409397169,340.2230413882566
1,286.39134294404136,239.52570168741588,100.00130902437508,340.2230400846054
2,286.4052178386807,239.50431777261113,100.49280151551847,340.22303807330593
3,286.2834902426914,239.20524620037227,100.20089600683274,340.2230366012971
4,286.39290857012975,239.2934896974483,100.19361683370585,340.2541225691131
5,286.3736484687826,239.5312865526132,100.57897697214618,340.2230322852876
6,286.3730483123663,239.40422600684545,100.35850923325842,340.22303078673775
7,286.41206755743036,239.49163194770608,100.57229266008409,340.2230292739356
8,286.49987750788597,239.41792615343434,99.89429167172217,340.25410582445505
9,286.3575930392966,239.43844991538836,100.64477315099276,340.2230248448182
10,286.3916108543639,239.37744913000085,100.08320810605603,340.22302382552
11,286.4338654799804,239.45321320963106,99.98599132014131,340.2230214819133
12,286.40618674458165,239.48597834464888,100.37018139027356,340.2540891823973
13,286.39682593563,239.53081130288163,100.07432295815113,340.22301815755173
14,286.28305043378936,239.40301926942243,100.45457596907158,340.22301603332875
15,286.3647125714899,239.54504912970557,100.19343160142351,340.22301366976683
16,286.11448273261794,239.12121992070487,100.24907612656797,340.2540715070121
17,286.2832421431902,239.21331316433273,100.21133573070358,340.22301079018956
18,286.3652282919232,239.30074283305294,100.29813502728634,340.2230099108632
19,286.3889167887401,239.5587762000879,100.2123537983644,340.2230072110437
20,286.3600599236972,239.30085831936185,100.06756731751294,340.25405537493185
21,286.4119304018136,239.59672645386468,100.38766191045134,340.22300334079256
22,286.2631736453831,239.230960376731,100.92224330921799,340.2230023473226
23,286.1493986860656,239.1453831529416,100.40040940735105,340.2230000933002
24,286.3235576032091,239.46224410011268,100.30674061929709,340.2540387741534
25,286.1522331439256,238.88520347409062,100.47137773767552,340.2229963293092
26,286.16778086298996,239.1235431376274,100.66241662352174,340.22299434396604
27,286.1667456659745,239.02634596702444,100.59820804357827,340.2229915385831
28,286.19365065700543,239.06398005697065,100.54105343257602,340.2540216691821
29,286.1287521242056,238.90183423118083,100.42305798043662,340.22298955119896
