 model exp member calendar
0 MIROC-ES2L ssp585 r1i1p1f2 gregorian
1 MIROC-ES2L piControl r1i1p1f2 gregorian
2 MIROC-ES2L abrupt-4xCO2 r1i1p1f2 gregorian
3 MIROC-ES2L ssp245 r1i1p1f2 gregorian
4 MIROC-ES2L historical r10i1p1f2 gregorian
5 MIROC-ES2L historical r1i1p1f2 gregorian
6 MIROC-ES2L historical r2i1p1f2 gregorian
7 MIROC-ES2L historical r3i1p1f2 gregorian
8 MIROC-ES2L historical r4i1p1f2 gregorian
9 MIROC-ES2L historical r5i1p1f2 gregorian
10 MIROC-ES2L historical r6i1p1f2 gregorian
11 MIROC-ES2L historical r7i1p1f2 gregorian
12 MIROC-ES2L historical r8i1p1f2 gregorian
13 MIROC-ES2L historical r9i1p1f2 gregorian
14 MIROC-ES2L 1pctCO2 r1i1p1f2 gregorian
15 MIROC-ES2L ssp370 r1i1p1f2 gregorian
16 MIROC-ES2L ssp126 r1i1p1f2 gregorian
17 MIROC-ES2L ssp126 r2i1p1f2 gregorian
18 MIROC-ES2L ssp126 r3i1p1f2 gregorian
