 model exp member calendar
0 GISS-E2-1-G piClim-control r1i1p1f1 noleap
1 GISS-E2-1-G piClim-control r1i1p1f2 noleap
2 GISS-E2-1-G piClim-control r1i1p3f1 noleap
3 GISS-E2-1-G ssp585 r1i1p3f1 noleap
4 GISS-E2-1-G ssp585 r1i1p5f1 noleap
5 GISS-E2-1-G abrupt-2xCO2 r102i1p1f1 noleap
6 GISS-E2-1-G abrupt-2xCO2 r1i1p1f1 noleap
7 GISS-E2-1-G abrupt-2xCO2 r1i1p3f1 noleap
8 GISS-E2-1-G abrupt-2xCO2 r1i1p5f1 noleap
9 GISS-E2-1-G abrupt-0p5xCO2 r1i1p1f1 noleap
10 GISS-E2-1-G hist-aer r1i1p1f1 noleap
11 GISS-E2-1-G hist-aer r2i1p1f1 noleap
12 GISS-E2-1-G hist-aer r3i1p1f1 noleap
13 GISS-E2-1-G hist-aer r4i1p1f1 noleap
14 GISS-E2-1-G hist-aer r5i1p1f1 noleap
15 GISS-E2-1-G piControl r101i1p1f1 noleap
16 GISS-E2-1-G piControl r102i1p1f1 noleap
17 GISS-E2-1-G piControl r1i1p1f1 noleap
18 GISS-E2-1-G piControl r1i1p1f2 noleap
19 GISS-E2-1-G piControl r1i1p1f3 noleap
20 GISS-E2-1-G piControl r1i1p3f1 noleap
21 GISS-E2-1-G piControl r1i1p5f1 noleap
22 GISS-E2-1-G piControl r2i1p1f1 noleap
23 GISS-E2-1-G abrupt-4xCO2 r102i1p1f1 noleap
24 GISS-E2-1-G abrupt-4xCO2 r1i1p1f1 noleap
25 GISS-E2-1-G abrupt-4xCO2 r1i1p1f3 noleap
26 GISS-E2-1-G abrupt-4xCO2 r1i1p3f1 noleap
27 GISS-E2-1-G abrupt-4xCO2 r1i1p5f1 noleap
28 GISS-E2-1-G ssp245 r10i1p1f2 noleap
29 GISS-E2-1-G ssp245 r10i1p5f2 noleap
30 GISS-E2-1-G ssp245 r1i1p3f1 noleap
31 GISS-E2-1-G ssp245 r1i1p5f1 noleap
32 GISS-E2-1-G ssp245 r1i1p5f2 noleap
33 GISS-E2-1-G ssp245 r2i1p3f1 noleap
34 GISS-E2-1-G ssp245 r2i1p5f1 noleap
35 GISS-E2-1-G ssp245 r2i1p5f2 noleap
36 GISS-E2-1-G ssp245 r3i1p3f1 noleap
37 GISS-E2-1-G ssp245 r3i1p5f1 noleap
38 GISS-E2-1-G ssp245 r3i1p5f2 noleap
39 GISS-E2-1-G ssp245 r4i1p3f1 noleap
40 GISS-E2-1-G ssp245 r4i1p5f1 noleap
41 GISS-E2-1-G ssp245 r4i1p5f2 noleap
42 GISS-E2-1-G ssp245 r5i1p3f1 noleap
43 GISS-E2-1-G ssp245 r5i1p5f1 noleap
44 GISS-E2-1-G ssp245 r5i1p5f2 noleap
45 GISS-E2-1-G ssp245 r6i1p1f2 noleap
46 GISS-E2-1-G ssp245 r6i1p5f2 noleap
47 GISS-E2-1-G ssp245 r7i1p1f2 noleap
48 GISS-E2-1-G ssp245 r7i1p5f2 noleap
