	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	rnorm
259	1.3717813314217162	12.224646876264638	81.11361233289333	5000.0	2.437046756402839	0.6731596559401641	2.0087696620110056	1.5392262908906549	3.8821487618915276	0.9670581215295361	1.8386843227351242	1.4088978461418415	4.048394526149014	3.329101182622332	2.0066364161184094
260	1.1780657781714348	10.255679791239073	86.60308135858486	5000.0	2.1953824145075598	0.9653243266125144	1.9984863879202295	1.49900923620436	3.1209126993400056	1.5696551898008528	1.8292717478567435	1.3720860257740242	3.9459628313858133	3.329101182622332	1.9576437780025737
261	2.561655325416643	13.317524365280361	95.93768133654169	5000.0	3.04287755871711	0.0	2.2938355496608014	1.3105611451808352	4.719951920632803	-0.0	2.1099645059490877	1.2055081715062173	4.017712299044054	3.3236371267793734	1.6535946962972339
262	1.7380752349263646	16.04389902668651	82.02236677328231	5000.0	2.7569576094425097	0.2803068304443087	2.1279260074812045	1.4820838061907242	4.947448399821705	0.13521407145963213	1.9573540691420646	1.363281786423956	4.201649163423679	3.3236371267793734	1.9427948040670824
263	2.086026237850524	19.75668759896767	185.44565841790504	5000.0	2.8970230788240676	0.4171706891257968	2.8853025090218356	0.5218676069392458	4.232523727110598	0.6158592689953594	2.5675538796444104	0.46439608833663026	3.9401664820434994	3.360681941955473	1.6339574368540801
264	4.489173626966584	38.93805868278605	240.89624539343578	5000.0	3.3595570637705534	0.0	3.3551535319910886	0.037364883572471363	4.923487365785687	-0.0	2.945122736575027	0.032798549189926085	3.95070432577532	3.3760377396670567	1.53008133059844
265	1.2387962664981618	8.002539307924279	87.54266817359562	5000.0	1.988948949448776	1.1565947197732804	2.028969250502462	1.4836894455201453	3.798950211892807	1.4494057585940132	1.8571735837924421	1.3580633832125821	4.231796468745922	3.329101182622332	1.831660979554171
266	1.9504889835504648	14.773215789629651	115.37304167292633	5000.0	2.767382790134794	0.41728367071946515	2.3120035479028234	1.161532356487582	4.346361118685779	0.5297582441034584	2.1162429710239303	1.0631837858827646	4.027773059847966	3.329101182622332	1.7329561932523063
267	3.832814091515272	37.256595435272295	180.1730799224866	5000.0	3.275690780685913	0.0	2.8882930450530315	0.5096491826757612	4.772235216279798	0.0	2.6260218279167846	0.46337052972473725	3.93081378696066	3.3368165042073525	1.4332710518554523
268	1.4683997768416983	11.85067996688165	248.86606654814392	5000.0	2.3371612332539833	1.0643028266792862	3.3387805835845596	0.012724137497070132	2.9881726286503314	1.7489365113079258	2.929594539323454	0.011164724005013227	3.838934201643362	3.37648439050745	1.6087119349977885
269	1.5694227916292607	10.06352015326701	142.09985224643333	5000.0	2.2994675509293203	0.9806460258178391	2.4460649735038014	0.9474544581637447	3.0211754939848774	1.6173746494815442	2.223950240757421	0.8614209324626829	3.861960658343263	3.3368165042073525	1.6414965006380655
270	1.3864321593868245	7.989458568728318	143.71946979419306	5000.0	1.97338573745024	1.3032405791848702	2.468258358985676	0.9287483327939183	3.641508673242335	1.6358088638823574	2.2441283576595805	0.8444134152991989	4.182929655041736	3.3368165042073525	1.5691262528820176
271	1.3510754897361288	9.778817259337599	93.76570982342845	5000.0	2.228276480662609	0.9442150377199138	2.0654598113140064	1.4202510355481355	3.0262323309483503	1.5916088997464881	1.890574437738449	1.2999963922177038	3.9042060303254957	3.329101182622332	1.8522016602341422
272	2.4470982679653503	12.665169019371584	147.9890008432713	5000.0	2.8967814148629425	0.3232369276840216	2.636034353889559	0.8575106443729847	4.351688783858298	0.48596506128923916	2.3537007393073286	0.7656665910466955	3.9785105877507805	3.3567816704047537	1.5271007495195605
273	2.942041372867985	20.666856921453654	103.41588014209397	5000.0	3.098051592707221	0.0	2.300219856796808	1.259930915740635	4.749189272869918	0.0	2.105457021539362	1.1532508013797962	4.003948547894538	3.329101182622332	1.577717035031688
274	1.056133445287712	7.039666768391537	106.6074958716902	5000.0	1.706900836513743	1.5020888711069662	2.1559950638153214	1.3485785693734762	3.209276027287161	2.0401408559378162	1.9250762677494604	1.204138470754299	4.189315810864368	3.3567816704047537	1.6845700858498347
275	2.393054789259655	23.820038217256453	106.42280961079395	5000.0	3.053516705859227	0.0	2.416310148784305	1.1774473989152145	4.724698061840258	-0.0	2.222621691451836	1.0830646598447533	4.015192206568424	3.3236371267793734	1.6544237196415092
276	2.4129042129096665	23.477941322279356	153.61844261249416	5000.0	3.073686129955984	0.11809918584746586	2.769851413002179	0.6965656364390345	4.867423364504643	0.05007383797738188	2.53532421646307	0.6375864489083716	4.045203933926733	3.329101182622332	1.5739179533756684
277	1.4317622525752987	8.360741007310894	84.84522723748832	5000.0	2.1473085852803298	0.9735856239133526	2.033268392450342	1.5040397636006393	2.9627060056322767	1.651966978696264	1.8611087113734046	1.3766906113736335	3.9262361535377894	3.329101182622332	1.8382741165193925
278	1.6392747782422017	8.499414379173505	83.19171562415647	5000.0	2.288010539032629	0.8084199440734524	2.048946411137724	1.512825471000859	3.244809555299414	1.370439912676782	1.875459250271517	1.384732420629529	3.9377205694386213	3.329101182622332	1.825447353657568
279	2.701685062349393	19.954679749565425	219.64892544558873	5000.0	3.118369349478326	0.1523784752882222	3.378044132837003	0.024841050811153842	4.906077624025926	0.07479022906369406	3.0713011076524337	0.022585361194637166	4.0373771609683455	3.3368165042073525	1.4431163537600986
280	5.19225022427546	31.344698723033304	134.3450385826224	5000.0	3.344861824283079	0.0	2.2212640821606104	1.155237977467257	4.881307764551024	0.0	1.9766437640536134	1.0280155171542775	3.9429835228794574	3.360681941955473	1.9769073543870042
281	1.9017093298683188	11.200342992755008	83.63960098920121	5000.0	2.646229492188559	0.41880400781175103	2.10304227886253	1.490126586381824	4.295682208730344	0.551846449293586	1.9249747451495	1.363955482346415	4.068229442759923	3.329101182622332	1.8367849276508987
282	2.0654277338475655	13.686019960551356	126.71344399391145	5000.0	2.769743620857407	0.4382390869051877	2.405856274786736	1.0997243582601772	4.177698584422833	0.656530744412971	2.148175984230728	0.9819378989700764	3.9821716060183046	3.3567816704047537	1.6597660346792062
283	1.2661492778236578	12.357760194258022	165.8059707542246	5000.0	2.3127410403562068	1.0437473976550722	2.5593917096083127	0.8361953317145217	3.0180875905075086	1.7205189149023796	2.246610369360913	0.7340045277119902	3.8596107012413956	3.3760377396670567	1.7706720943858199
