Experiment,piControl,historical,abrupt-4xCO2
72,287.1286580978196,286.99578612099805,292.78448448224407
73,287.00718029165057,287.07340665857697,292.71745431151277
74,287.0140501721031,286.9675394006526,292.87986592843623
75,287.2070524302519,286.8044854251952,293.03639171109774
76,287.27080875067327,286.98352836743726,292.76480634675016
77,287.3179558487115,287.0948778605729,292.6962315292518
78,287.2342859647644,286.9863038024018,292.81572253419995
79,286.8875916040459,286.9181062900185,292.88326072585073
80,286.8847554796203,286.9580942323004,292.72184226232696
81,286.99181191074285,287.01838441771685,292.8494177227332
82,286.97005472024176,287.1386734112139,292.9099500321068
83,287.07643664288133,287.2421133369619,292.85193484329017
84,286.9905908906324,286.99514434124643,292.997272722372
85,286.95820238006155,287.13361418013886,292.7986540362643
86,286.8932368115858,287.28804542331017,292.5750573294494
87,286.99077433847845,287.10769079913626,292.76190282935795
88,287.0623192745126,287.0318283300014,292.91312443988465
89,287.1301909062457,287.09399674098023,292.9015798126084
90,287.4438363074493,287.1491184766067,292.86552910129905
91,287.31219007856396,287.04828467276144,293.01456809936377
92,286.8155750846303,286.9116017350041,293.01402849124077
93,286.7975339102787,287.1625971652574,292.94382727185314
94,286.80674755610784,287.1688873722256,293.0861291511556
95,286.9231341755363,286.90985889850225,293.0805604878521
96,287.1485863100864,287.08991640983396,293.0576340002665
97,287.09157176208663,286.9816938734884,292.8625793688162
98,287.1082166367641,287.0257588809882,293.0298104162505
99,287.1408600586959,287.00974543246645,293.3070364801909
100,287.0738429693432,287.02199253079954,293.2041025034003
101,287.0353934180278,286.9416980994997,292.8876174360478
102,287.0145906721392,286.95539737125284,293.0223847318991
103,287.05064565003926,287.0246889003096,293.2338231525311
104,287.0880542237488,287.02531976498335,293.19602464178
105,287.07253892464547,287.0061596570694,293.0406680892443
106,287.0051301400733,286.8968662285337,293.2761896376658
107,286.9986879806204,287.00014444747376,293.3268002312028
108,286.9157132549322,286.9872070632378,293.2828544950862
109,286.959417993838,286.8224692229884,293.38540660213135
110,286.8727232328891,286.9807561057354,293.3948280218101
111,286.93870773278803,286.9629392056981,293.3414630664772
112,286.8839644825037,286.996158252884,293.23732717660556
113,286.9700849305937,286.77556228541926,293.2298673619511
114,287.08054836835475,286.66932546030495,293.44940945703803
115,286.86696236436813,286.5691821001199,293.2159409013909
116,286.87744071993177,286.5617392100038,293.2372784669106
117,287.1237650048085,286.6466076906742,293.25446642318957
118,287.0924190551662,286.72421720203835,293.2011224361573
119,287.055418358444,286.8248742782771,293.39948451361244
120,286.87437641355945,286.8038284372877,293.352369641654
121,286.8873290968698,286.8288528492008,293.3718739649106
122,287.1302512715241,286.91171579263613,293.28807135737776
123,287.2212155773852,286.875995649383,293.3250546551731
124,287.0748915591557,286.7562466169081,293.3577867846939
125,287.01643040596156,286.71204681678023,293.2160818328494
126,287.1159520582356,286.709091137945,293.46224655633824
127,287.19150357533505,286.6123632369874,293.60773596348594
128,287.1856476632863,286.84032303315854,293.36463572789194
129,286.9620402818564,286.89342814208294,293.3169349287249
130,287.0691745084198,286.7476064943364,293.47398237958055
131,287.18884273885106,286.7878836346708,293.53000360458196
132,287.0318527821898,286.80780930798005,293.5904399144572
133,287.18313358752323,286.68615049646974,293.608178788128
134,287.19604404859376,286.71799355868313,293.615981809618
135,287.11575783708946,286.8226315601296,293.65201147576386
136,287.1475978193395,286.83559858156565,293.572650202817
137,286.9991023056895,287.03798592270056,293.38899703111525
138,287.01226360530336,287.2071337981304,293.60261815740887
139,287.2047158670936,287.1610337624948,293.78009930731645
140,287.1114941862371,287.19003445816287,293.74850901999304
141,287.1918613598349,286.90023549479605,293.7767181119997
142,287.1853757652413,286.62006178138824,293.73648629993653
143,286.8634661987918,286.87067040721894,293.67731030235
144,286.8406358263211,286.98911084739956,293.78308101190004
145,287.10384612939663,286.9968978628136,293.8228767321837
146,287.1286174324627,287.11582489361257,293.79685999911413
147,287.0611624682016,287.36052595005293,293.69093057926517
148,287.02761110801345,287.3876728120286,293.66566000459443
149,287.0630377212402,287.2827690355508,293.7239305723576
150,287.09220546965076,287.2430976863115,
151,287.1124321270109,287.3165861302335,
152,286.97075220462995,287.3061433482356,
153,286.9195858199493,287.3192074011798,
154,287.08165937629343,287.4357871217485,
155,287.0332343858314,287.710892185139,
156,286.9365045291961,287.67103436289443,
157,286.93500948142497,287.61059772601124,
158,287.1642646381893,287.6747419851071,
159,286.9253041386924,287.6898776346821,
160,286.7730807346504,287.56482746214493,
161,286.97150053715694,287.559327390199,
162,287.0494492058355,287.7370932279054,
163,286.947458183952,287.7829560577942,
164,286.9427454689234,287.7199962533966,
165,287.0509977079417,,
166,287.0559079429472,,
167,286.9944420654056,,
168,286.9687684793876,,
169,287.0711030002056,,
170,287.1123991742018,,
171,286.9344664593354,,
172,286.88075719125794,,
173,287.0314235773412,,
174,287.1059771267157,,
175,287.08176243151144,,
176,286.8799307654821,,
177,286.8843876249154,,
178,287.1169483257344,,
179,287.1054569338468,,
180,286.92846196162026,,
181,286.9309285227962,,
182,286.9407899199398,,
183,287.0081262667175,,
184,287.0677812843716,,
185,287.09327670324006,,
186,286.9907673587136,,
187,286.97457481362693,,
188,286.85751542702945,,
189,286.85753024358564,,
190,286.94039629029373,,
191,286.94155012954326,,
192,286.9460156318207,,
193,286.9276142459375,,
194,286.8509357626065,,
195,286.90609440425845,,
196,286.9672228066341,,
197,286.8645461867023,,
198,286.96707745100576,,
199,287.1723553512956,,
200,286.99167463049116,,
201,286.7801372514355,,
202,286.9099334660428,,
203,286.9674994713261,,
204,287.02879571086453,,
205,287.08417509603765,,
206,286.9577757139358,,
207,287.0217679133105,,
208,287.1259480553964,,
209,287.1074039583774,,
210,286.8268714211058,,
211,286.9271449887877,,
212,286.94946354597386,,
213,286.9549087504476,,
214,286.9494259887884,,
215,287.16654265887786,,
216,287.00219319302147,,
217,286.8635881112727,,
218,286.92924365476256,,
219,287.08910976495525,,
220,287.028340689128,,
221,287.0123593442342,,
222,286.9069055260968,,
223,286.9766075936706,,
224,287.0486939940268,,
225,286.9346165747983,,
226,286.98232396181487,,
227,286.9655686696778,,
228,286.9904797737823,,
229,286.9354330817076,,
230,286.9049795797377,,
231,286.8991251811391,,
232,286.98430190036055,,
233,287.1016474002941,,
234,287.09582438846627,,
235,287.16116367577104,,
236,286.9811247514804,,
237,287.0467123015426,,
238,287.07506494410273,,
239,287.02267502537916,,
240,286.93500516707786,,
241,286.93437050168177,,
242,287.1268805115072,,
243,287.0688306389962,,
244,286.8632020876197,,
245,286.7718211933466,,
246,287.0633081970032,,
247,287.13269384301503,,
248,286.913137687945,,
249,286.8955523536989,,
250,286.9107110171689,,
251,287.00450653997854,,
252,287.0504181673473,,
253,286.96903532815884,,
254,286.97161974958277,,
255,286.9228095050252,,
256,286.9988802906145,,
257,287.0677481511901,,
258,287.12981350210606,,
259,287.1491955770859,,
260,287.039718497453,,
261,286.9658844671156,,
262,287.10553967897437,,
263,286.98014842988346,,
264,287.087666047649,,
265,287.1977908552998,,
266,286.9320007544241,,
267,287.1012856285037,,
268,286.9992355354563,,
269,286.9008490717508,,
270,286.9534457998241,,
271,287.13848423430534,,
272,287.06836489763253,,
273,287.02482869144774,,
274,286.987456467276,,
275,287.09074618207217,,
276,287.0613263922273,,
277,287.04038255028263,,
278,287.0251528701378,,
279,287.0753431587539,,
280,287.2770981093164,,
281,287.10462159397025,,
282,287.0524272863178,,
283,287.0893761988286,,
284,287.1991872266887,,
285,287.2440258267472,,
286,287.11972961248824,,
287,286.9993720336353,,
288,286.9711706423117,,
289,286.99160719388306,,
290,287.0844496212792,,
291,287.0469419687665,,
292,286.96101388226907,,
293,287.03880097897144,,
294,286.9473042025932,,
295,286.965621280089,,
296,287.08511745138395,,
297,287.2737775584267,,
298,287.14389118071205,,
299,286.85488718708166,,
300,286.95735411237797,,
301,286.92875539008463,,
302,287.03304625600794,,
303,287.1210678979089,,
304,287.09395918512,,
305,286.94126359775964,,
306,286.91963290228983,,
307,287.1106117987563,,
308,287.2587752637858,,
309,287.1352496914048,,
310,287.05521041310715,,
311,287.04756663290317,,
312,287.1429219151282,,
313,286.9436986147999,,
314,286.9136621942643,,
315,286.996776686703,,
316,287.0724138382987,,
317,287.0690107798004,,
318,287.0956970168118,,
319,287.19400970620205,,
320,287.17577990554855,,
321,286.9310134614323,,
322,286.99356160497274,,
323,286.9294727044291,,
324,287.0925769561691,,
325,287.12147681244215,,
326,287.1817630090647,,
327,287.2024085436931,,
328,287.0346721269403,,
329,286.989095963901,,
330,286.89758189125865,,
331,286.96296117429716,,
332,287.019054261143,,
333,286.96426026659265,,
334,287.2416033922387,,
335,287.2543257845604,,
336,286.9971325467241,,
337,286.94040292705483,,
338,287.11877535611717,,
339,287.1285173330925,,
340,287.0263176483238,,
341,287.037175775069,,
342,287.03687802652775,,
343,287.0991544823155,,
344,287.0376398884569,,
345,286.99422340438974,,
346,286.9976913550796,,
347,286.9441338059149,,
348,286.82706879069235,,
349,286.9661666477984,,
350,287.14931983230184,,
351,287.11060592444403,,
352,287.12572952922665,,
353,287.1165833685856,,
354,287.20655557302274,,
355,287.11954993684026,,
356,287.14097023728465,,
357,287.0046864560422,,
358,287.0213472153371,,
359,286.99570139402175,,
360,286.97556984843953,,
361,286.9858320580934,,
362,286.99963301476265,,
363,287.1780224528711,,
364,287.0405490739428,,
365,286.91527630394677,,
366,287.09498077449115,,
367,287.13402051102975,,
368,287.2031615927166,,
369,287.09988554578314,,
370,287.1467294686517,,
371,287.0021287269254,,
372,287.1884781690951,,
373,287.2608238814108,,
374,287.11059062475346,,
375,287.1171081266167,,
376,286.9945198978412,,
377,287.14563351675764,,
378,287.1016154795075,,
379,287.105134841666,,
380,287.2327138929133,,
381,287.15865614361405,,
382,287.2009838611937,,
383,287.29817221847804,,
384,287.1081487747013,,
385,287.05615263519707,,
386,287.1583567334314,,
387,287.1536246845242,,
388,287.14602141224015,,
389,287.09749452898546,,
390,287.1448976620385,,
391,287.19935344047104,,
392,287.19140501907117,,
393,287.1915031652907,,
394,287.02114966482816,,
395,286.97215761611756,,
396,287.0580434572434,,
397,287.0616688594919,,
398,287.31366356279983,,
399,287.14446372871123,,
400,286.9141041943085,,
401,286.9766194181866,,
402,287.01150058285504,,
403,286.88895661492865,,
404,286.8475437131265,,
405,286.94381916262944,,
406,287.0333471909751,,
407,286.9022654593592,,
408,286.93647618718666,,
409,286.95362790477594,,
410,287.1427103192103,,
411,286.999498857809,,
412,286.8871091783867,,
413,287.2054933191753,,
414,287.10207634608565,,
415,287.16696789377124,,
416,287.2024234659162,,
417,287.1381034357377,,
418,287.0685485189038,,
419,287.17676351802237,,
420,287.05522989444904,,
421,287.2141286267616,,
422,287.1196081563227,,
423,287.09278250448045,,
424,287.02373149541137,,
425,287.0653744513465,,
426,286.9462062207858,,
427,287.14325426787036,,
428,287.12056857023043,,
429,287.002770618997,,
430,286.9238273202655,,
431,287.10859392896856,,
432,287.13700323603155,,
433,286.98105790859034,,
434,286.86503402849723,,
435,286.914669837247,,
436,286.89740286211844,,
437,286.9901826987715,,
438,287.06028392043135,,
439,287.1770736392504,,
440,287.1181744616835,,
441,287.117021743076,,
442,287.0383833187653,,
443,286.9768699742992,,
444,286.87501013449736,,
445,286.98709807279494,,
446,287.0125756527433,,
447,286.99573764382785,,
448,287.141883438376,,
449,287.12943499176527,,
450,287.0990894333435,,
451,287.1100198341431,,
452,286.9551062408112,,
453,286.8912981352928,,
454,286.9695020603373,,
455,287.0699741835586,,
456,287.01068725924443,,
457,287.0880393110488,,
458,287.1417801980657,,
459,287.1909251520371,,
460,286.9503697648022,,
461,287.05134545891286,,
462,287.1922272518953,,
463,287.10066017009154,,
464,286.95370096651664,,
465,287.0297445435936,,
466,287.0892652966003,,
467,286.9649456384066,,
468,287.02434400889507,,
469,287.0218312376929,,
470,287.05031298902514,,
471,287.121692490455,,
472,287.0820969714399,,
473,287.0242156060409,,
474,286.9502615026365,,
475,287.02189690024346,,
476,287.138640508918,,
477,287.15567567308125,,
478,287.04028317841846,,
479,287.0643947928123,,
480,287.10784850258153,,
481,287.0665305131877,,
482,287.0301232830281,,
483,287.1583258781947,,
484,287.21547439067683,,
485,287.14699856896436,,
486,287.13835347096443,,
487,287.1073786351795,,
488,287.07471465268077,,
489,287.08321852865146,,
490,287.2035236212592,,
491,287.227785604358,,
492,287.1243124658744,,
493,287.07883874343594,,
494,287.25056936279105,,
495,287.23932852717195,,
496,287.05964098690447,,
497,287.071176727881,,
498,287.12312149227324,,
499,287.0479894738433,,
