Experiment,piControl,historical,abrupt-4xCO2
Member,r1i1p1f1,r1i1p1f1,r1i1p1f1
0,287.0183789991083,287.0158139200219,288.22989568045006
1,286.9842332677514,287.0933221451615,288.99974739817196
2,286.9468894937356,287.19829899181246,289.59711354039405
3,286.94201996979797,286.98218764307035,289.9942778038315
4,286.9657952533558,286.91400724978456,290.25546917994706
5,287.03618666871915,286.99796218660805,290.42757429950706
6,286.94001625468695,287.0273127145148,290.55877890916406
7,287.1130661164232,286.9186393555918,290.6605750924444
8,287.14769121903504,286.8957279768447,290.79272162856256
9,286.9683779995542,287.0442731205379,290.992897708846
10,286.9465044031897,287.25837294505527,291.2690052992132
11,287.0035324905328,287.09528079387474,291.36795799256805
12,287.0434714294566,286.880275457374,291.4558927983774
13,287.19326497733465,287.1542820888705,291.616516365132
14,286.97585654496703,287.1733390164262,291.53396053278635
15,286.7895766025352,287.0642495821527,291.58818874200193
16,286.93999178978163,287.0955890824528,291.6363725636436
17,287.0604596714482,287.0947266033245,291.86042421012297
18,286.86598834769615,287.02835682211196,291.85600812016156
19,286.91307141041716,287.0058942627238,291.80365028460494
20,286.93969852434174,287.01912714618464,291.9156440493058
21,287.1605150311055,287.0831959454468,292.03627094629763
22,287.0410810321179,287.20957001669973,292.0491189679099
23,287.00248576572244,287.04390390122927,292.05351347825126
24,286.93311512256804,287.1104146521258,292.1811261539681
25,287.13908392152,287.1908679812992,292.1972415510664
26,287.16613514709263,287.0360665617828,292.2913540023274
27,287.01846873600994,287.14004936865194,292.4107389434037
28,287.00417174736464,287.3847635171605,292.1950429328627
29,287.0566062915938,287.3239798801338,292.0666514721109
30,287.1569665598532,287.12097364364496,292.12681708885134
31,286.99682825662944,287.0885756610408,292.2613978971188
32,286.94938348705506,287.20946680063633,292.15968669415696
33,286.77293044366047,287.1844476080948,292.30999706743074
34,286.9263048446971,286.53402635808385,292.51773629683254
35,286.95110635733647,286.42001161542765,292.40602642838854
36,287.0361320112864,286.53628218223497,292.3082931783401
37,287.2948662695517,286.6073970417353,292.4713159268037
38,287.1239943429061,286.8104973286413,292.63066947952603
39,286.94954730116746,286.7463170434,292.4841250883719
40,287.0200674495155,286.7234994248891,292.4914430545493
41,287.1437224599275,286.74064504115796,292.51148215655957
42,287.110706543934,286.90753692359783,292.5968057036634
43,287.04542934723344,286.9333767815472,292.66037511920615
44,287.03646016510976,286.8045785513035,292.5386312151349
45,287.1723402632456,286.8042840945044,292.5030485906927
46,287.187338503667,286.9012910852028,292.66795826807066
47,287.09340842352316,287.0145330388108,292.66918676060186
48,287.10740212038553,286.987907141521,292.67787918637464
49,287.05136543662996,287.0422001715456,292.8760050900457
50,287.0238110509303,287.1995414435963,292.72523783347157
51,286.9328107247172,287.0870894500244,292.5300528606072
52,287.0676627415215,286.7941866188148,292.5735106194638
53,287.0045357769866,286.5497033463599,292.72617291904214
54,287.03795161969384,286.7876241178986,292.7216470882535
55,287.1147457801763,286.9825104253934,292.71891616285154
56,287.15227630183216,286.8584706658194,292.7387195549432
57,287.0424469783865,286.74927447363825,292.7510623760517
58,287.05857453057035,286.8155922677724,292.654971450489
59,287.06681618308335,287.0574901066146,292.616737657835
60,287.1258534985042,287.14276822480474,292.70102852240683
61,287.02713751990376,286.9952929589579,292.8022087062142
62,286.95945494678887,286.9054071487021,292.8472401713008
63,287.0872972909014,286.81945020797235,292.7699337731652
64,287.1647379202521,286.8149374636818,292.6773225468685
65,287.1125025468263,286.9882127731299,292.8829626774009
66,287.1375637890642,287.08966836958695,292.8930127837535
67,287.0969653597332,287.0167371925099,292.7077833324435
68,287.1730640477198,286.9251490366798,292.64419373522827
69,287.23694962614115,286.98355521372565,292.75703961946243
70,287.2064099935288,286.98376534973113,292.8358949972614
71,287.1854068419052,286.90505846773124,292.8274644394321
