Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585,abrupt-4xCO2
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1
0,287.08730362887803,286.83207590327265,286.8941843324803,286.5814524543868,287.1070154111432,286.9047299249942,288.14913243105224,287.30761356670774,288.0696504154409,288.1647899211202,288.06674983787696,288.2665585849458,288.1977673736733,288.0997013821804,288.1279026480269
1,286.98336055901007,286.8352242485807,286.78867899883375,286.6769611518976,286.95835485828457,286.9291205223554,288.9555354595176,289.0208316439976,288.33586494702075,288.1624341682529,288.22601009424784,288.23865886377973,288.31732986775154,288.2148214610614,288.99007237796764
2,286.8595652434044,286.9003515848396,286.9001369368072,286.75701294496724,286.88131381985903,286.81483408911646,288.180500271203,288.2708277724286,288.13115594836387,288.29860723937486,288.45357729549266,288.1750647732768,288.2861117385715,288.52542011457876,289.28134697766444
3,286.9886850815337,287.0797119059083,286.9250649145844,286.73379815235074,286.74436583404463,286.9072929514365,288.28784688328267,288.397648355255,288.26714550764507,288.29566086964013,288.6373143945174,288.2210877295954,288.4758788232187,288.4404696960155,289.69248048284743
4,286.9625574798671,287.0834805268131,286.78596851040976,286.91874650690534,286.797808345403,286.7709112390586,287.5469301942821,287.58829676300104,288.28030676563844,288.14538422744073,288.5992065246583,288.3955155293782,288.5537874028402,288.21162551691407,290.09980494301703
5,286.90650590065894,286.9078125577501,286.90839561108913,286.86005929215713,286.85544876528553,286.69769158540413,289.0937001716699,289.0449023162978,288.36943039377667,288.4055414508982,288.2986807720791,288.3800597003562,288.21813749677955,288.16086172488093,290.11827366696633
6,286.9987374132382,286.78013233767643,286.85607109210304,286.84525103061264,286.9974564576903,286.9093508890416,288.48415569502095,288.4150625860696,288.3622511460204,288.5708904335775,288.49628045346435,288.3067490361953,288.2398231114948,288.3086461084758,290.2081796454751
7,286.8652126057018,286.89641041506997,286.8097262918148,286.71575744053104,286.8744069198659,286.9488284067374,288.5697365905551,288.56625042869763,288.40834702029673,288.4282965755037,288.3940224854412,288.29968741481497,288.2575269314056,288.4213824323668,290.3529381987733
8,286.7837788058153,286.9139031315334,286.81671750536367,286.7106357591858,286.9722178265452,286.93906494127253,288.5484776069922,287.77118309492056,288.2615084209917,288.6111707366213,288.52804094919674,288.4173330913149,288.2328798134945,288.5633314291471,290.64144873757084
9,287.0048862495478,286.8597633507928,286.90333392836266,286.86437050994,286.90829923066553,286.79095586460255,288.3952177188635,289.31599594897284,288.2999855417322,288.45575019365725,288.62218030404847,288.3380883538559,288.346746512202,288.6965764962792,290.86777975681144
10,286.97392739187757,287.1047857258977,286.8940512088734,287.02277364357036,286.851763887609,286.8544462388896,288.4338602082433,288.4784783965776,288.5461701284723,288.43609271675365,288.5828229276037,288.4966109007369,288.4621619245522,288.6365295049049,290.58928299983387
11,287.047566705756,286.7565969076122,286.8049275844623,286.9040186162987,286.8026830565633,286.7029922061726,288.684427175573,288.5173132289071,288.64070198503634,288.35607329425557,288.6236335130231,288.7406157377654,288.4242219223831,288.51996437366176,290.67831694211173
12,287.1355810757265,286.85271775774544,286.85973154199434,286.8275538375851,286.84002133384394,286.80981434313463,288.700715558057,287.7643797586923,288.5818609873144,288.61992487136956,288.3975429399787,288.5899488044519,288.478331081392,288.69095984283075,290.8043565490415
13,287.0069320576303,286.91508523099156,286.7715650293825,286.8270643094456,286.5883426236232,286.8780337455651,288.3120831376489,289.3282417615158,288.59543675838086,288.7463227464623,288.5199651497348,288.51328057006515,288.60134325278716,288.74054314183826,290.8611977824054
14,286.9079271871839,286.86528237973965,286.84967503540025,286.85049666860476,286.74800447627894,286.9522076471511,288.3444374882143,288.63789799507356,288.5616166709475,288.5125808290796,288.6709912492517,288.5841435325546,288.4871659965092,288.64645520480093,291.14359158429
15,286.9536511393697,286.9619425569886,286.95405200741675,286.8555658966381,286.7569140217343,287.01311518904964,288.3989378679293,288.663743957938,288.49930455640396,288.55385480379465,288.6686846302603,288.6651382680858,288.41324373688826,288.8752254848362,291.0242004531941
16,287.0074193403772,286.8875977003651,286.74951032049347,286.8827419562295,286.81133331659845,286.9249046042005,288.5067467608395,288.62757507262927,288.79190089247356,288.7455917153962,288.65690176124235,288.7010236283756,288.54605547414724,288.6691173213495,291.0269128367859
17,286.7698816357945,286.8861624572286,286.84448561416895,286.9436511672705,286.9446098320405,286.93221873457793,288.50415507755775,289.52995914924367,288.7796306162647,288.58297022462466,288.6058046740125,288.66051014698,288.7766953245552,288.8486490191894,291.2039149441868
18,286.8333666714953,287.06186138130323,286.853267695779,287.0832912521973,286.90249297908986,287.08611421606435,288.577077089638,288.6739664915522,289.0079869883219,288.76221884342687,288.5690635048617,288.81513478881976,288.851142717008,288.968658292754,291.2673039112378
19,286.97969997932705,287.01576606959776,286.8171883110177,287.00223546034687,286.84561970811416,286.91874218726247,288.47469620837234,288.5788296558759,288.79165720508263,288.87586718053285,288.76948043430724,288.7064475593469,288.8041638326761,288.7115587072049,291.34202847051677
20,287.0239838369885,286.7613842049964,286.93368319130315,286.9414279390031,287.0697524508635,287.049923660707,288.6598276413068,287.85133978462704,288.64232338839554,288.82035886435193,288.8689215389263,288.8583951006199,289.07497431986525,288.6952869987598,291.17281485263067
21,287.000127862266,286.7734156738706,286.7855149636369,286.9963112944967,286.75401699293224,287.074052146121,288.72725524441455,289.56867567742233,288.77982427087903,288.81678936513384,288.8106453281518,288.8525163488657,289.0953941975381,288.82392414182397,291.10243284851765
22,287.08872129579987,286.853466189596,286.67708703133343,287.1141556815066,286.84685768237694,286.9903545522715,288.73656732281114,288.62508912066625,288.85483598308355,288.77015828739064,288.955685298116,288.7929683126762,288.7028454141226,288.99603441671917,291.2711690171819
23,286.99595199411124,286.8235733672545,286.73640324007584,287.2182041716151,286.887725520212,286.86975251456437,288.7460382724374,288.9063233066743,288.75176800027907,288.88940427523266,288.91698787065235,288.86603350593055,288.78280608048306,289.01469152270823,291.3463629911123
24,286.79952994383535,286.89443829229054,286.8959813169187,286.99984330680354,286.79146917344474,286.95017257459494,288.18540530279876,288.21397858684173,288.8369150002974,288.9507277176253,289.01916151182314,289.1203664953796,289.0080312272771,288.77953795209936,291.6095890503406
25,286.87990663949074,286.95334711010736,287.0322039761407,286.84898646286285,286.8597750999288,287.0060405048805,289.4101930728715,289.715626858491,288.9321424502279,288.96031563200535,289.0436502754646,289.11705798753513,288.88443651113107,288.9120294362851,291.23812226923627
26,286.9071581858914,286.75854787558114,287.0447892236541,286.9285062869942,286.87235066330607,286.87172477917017,288.60105911862235,288.88263775390317,289.0149036243044,289.1773330085784,288.84514549078625,288.97831758105264,288.92329457516956,288.8663051157105,291.1659619681167
27,286.9032772728455,286.64944300096283,286.88503109371896,286.90882652023697,286.9521288708883,286.96775357010506,288.0270061220856,288.92382155009085,288.91503090539624,289.1648113985456,289.0847842425206,289.0596996851436,289.2489380652906,288.8830486671987,291.4360626568775
