,rlut,rsut,rsdt
0,224.56400635709494,107.20922803090032,340.20821147828633
1,224.76721387443536,107.20452116371992,340.2082095022356
2,224.64379212825585,107.21076130249237,340.20821085948745
3,224.40654313925896,107.24096077620636,340.2082028305049
4,224.56000782864393,107.21286721992222,340.20820251748773
5,224.41945359390135,107.3932030278138,340.20820971174606
6,224.8888860518921,107.01061911334085,340.2081995930238
7,224.711742157204,107.20970462964527,340.20820371789756
8,224.6881226064071,107.27608680836511,340.2082095485753
9,224.72135781648794,107.28682854123277,340.20820224910017
10,224.43791710498041,107.22756865420091,340.20819943039925
11,224.76763841630944,107.19389381001709,340.20820858616236
12,224.6458650884533,107.16413967873892,340.20820891604154
13,224.6873444632305,107.17306600707497,340.20820630965403
14,224.68972413628072,107.3093100845562,340.2082105617768
15,224.6953543514826,107.35625529086373,340.2082041549913
16,224.678597622303,107.30698853371983,340.20820507193235
17,224.59712697081468,107.25594174969473,340.2082104669842
18,224.49101744677498,107.2209005446117,340.20821735492535
19,224.53291302909963,107.2255146147766,340.2082142389993
20,224.81371576418465,107.3718646635006,340.20820601805445
21,224.76141604866424,107.39312385113813,340.2082061489487
22,224.91482944080872,107.14303547351513,340.2082100795862
23,224.42338219692468,107.36906114574073,340.20820637838625
24,224.58964076251064,107.14627467533516,340.2082062795898
25,224.62442186137017,107.40406106704897,340.20820467093915
26,224.88354296266607,107.205107725164,340.2082081188296
27,224.77022920597486,107.3608507061633,340.2082080553478
28,224.4326144702477,107.69968151384245,340.2082079898306
29,224.85249298427757,107.20742071877987,340.20819835485554
