,tas,rlut,rsut,rsdt
0,287.98997951708765,241.81065452926214,97.05372372106795,340.3911685657145
1,288.01794003324625,242.0204831590601,97.48260987727109,340.35036100250596
2,287.98339759128606,241.49637496516266,97.15685895287321,340.299541009095
3,288.2242297740879,241.9767113928677,96.80677408366928,340.2918629473025
4,288.3718586429513,242.73725716305236,96.50669639895621,340.290616836852
5,288.2341406990419,242.17530136193378,96.58683248792654,340.33247102378965
6,288.4467369531737,242.95398629150847,96.53342485741807,340.37225464362484
7,288.1784813736358,242.11903985237768,96.61382849093935,340.45010248155273
8,288.41465765105823,242.5975992894913,96.36691146751092,340.49403832896706
9,288.2887903968148,242.4537709900977,96.59198724667606,340.5433765631281
10,288.3811595193056,242.24920630709565,96.45959350530386,340.46859059139615
11,288.4036849381872,242.4011977890526,96.21901221681482,340.419967813533
12,288.63022474869746,242.90967222237887,95.79756505381765,340.3694468141493
13,288.58633623791724,242.91477015853843,95.96677632480737,340.3817032456883
14,288.4399892640044,242.42395849923912,95.98325674145057,340.31672894426134
15,288.5351648388466,242.59826174170277,95.87319324258272,340.2987531671325
16,288.73669685083246,243.03548078042513,95.93812362675936,340.2813707869729
17,288.45714441089393,242.17011960170802,96.16857086824149,340.3169429268575
18,288.6452418489968,242.80980344288832,95.85586836744642,340.32786275284343
19,288.67766939234315,242.96807139449905,95.95692828399878,340.40282246538226
20,288.74369639012656,242.84180669714132,95.76984197869503,340.4114423541883
21,288.7850806539369,242.8352094255914,95.45976571725369,340.47675035917524
22,289.00737585571505,243.4766107925927,95.12812285262551,340.41142477325116
23,288.8822641207493,243.21203483239364,95.26937053115853,340.4109025494617
24,288.80004938278734,242.8542566747907,95.49551431528903,340.36223076836546
25,288.96260907395043,243.20076530296646,95.10986112014632,340.34893974433686
26,289.07374191409843,243.707266400846,94.88439757746376,340.27744323221714
27,289.0468892382596,242.95285612863583,94.81967955322489,340.26648415725793
28,289.23441208555056,243.49649427255633,94.75726500696231,340.2718159643162
29,289.1851544420036,243.7450357591509,95.08908393089958,340.327929951917
30,289.31244094091346,243.47467108439207,94.51870947110997,340.3670557204333
31,289.32972524201665,244.1628616947476,94.74516164899183,340.4148550686228
32,289.2900690200088,243.45962388919975,94.45689592187809,340.46828758263524
33,289.38058295929574,243.71198342591154,94.64730531445026,340.5054232612221
34,289.51405717340236,243.71568754761793,93.96481761529374,340.4299968707037
35,289.6152660051608,244.29322666716078,93.96096241720856,340.3622311489167
36,289.5103111726163,243.76283559239698,94.25218718825714,340.3291138403157
37,289.62319423251205,243.8904761783558,93.95115145115194,340.33003600437195
38,289.8874952272938,244.56962996362518,93.49860980240197,340.2766243675584
39,289.768469805471,244.37879240647098,93.89278405227329,340.2850703383467
40,289.80279213353634,244.19649044161108,93.63347339801095,340.32588529366996
41,289.9706867691253,244.1683697249508,93.49171626707941,340.4083774593118
42,290.02215863993075,244.66711846183128,93.17219741476173,340.3781599197464
43,290.25670798436454,244.97549810773342,92.76404654628777,340.3865860422838
44,290.2228107892507,244.94892835530837,93.00817732657471,340.3928093918759
45,290.2011777649327,244.80095067125424,93.02730183304716,340.3818346704217
46,290.3262725390068,244.9270477024547,92.94114958097545,340.31498524648737
47,290.3485949093976,245.0581149487791,92.83725902469347,340.2855927431645
48,290.4118076378622,244.93787497725813,92.61961688771699,340.27533940126733
49,290.558927744708,245.57758589417543,92.55282965908079,340.3030891057484
50,290.3694220241917,244.97087798965447,92.60668978141598,340.2841487271723
51,290.48427180096434,245.20146153077783,92.56536128903643,340.3398777897215
52,290.7127138542502,245.76238348266747,92.0262347544273,340.38964297940544
53,290.5929345186383,245.08120077908862,92.19652625195145,340.4496716658025
54,290.9022564104092,245.96476634024407,91.7110221691371,340.4061199641898
55,290.9300429230689,245.70131324930924,91.73626499987654,340.37565458666836
56,291.15333518398006,245.98786762999893,91.55981414543182,340.33154214011057
57,291.0273189459562,245.7144878302015,91.56615019734141,340.34182004068504
58,291.08081615898726,245.6030747515409,91.61426175669925,340.2944387700955
59,291.18510504659173,245.9689529458194,91.3022553936695,340.2711271358309
60,291.2989209408284,246.27233966692754,91.2283031507195,340.261634668775
61,291.29075250235684,246.217526655767,91.328759209783,340.283818276409
62,291.2168577670831,245.873857940908,91.13676321079204,340.2647535137354
63,291.25196019503744,246.08593172730608,91.11298864329812,340.30003351717227
64,291.4212803988516,246.0950253637735,90.78733856726274,340.3371388920454
65,291.58289197831374,246.90370303546436,90.53716562395213,340.3964764884577
66,291.6162381532783,246.645503095532,90.54854713772029,340.3674684581268
67,291.76492919475027,246.78663575864448,90.2367109587705,340.36605881444615
68,291.66442595054974,246.3553041846733,90.45722115270006,340.33742273179536
69,291.9702429262951,247.17653387095626,89.72232290152753,340.35609982675186
70,292.03940558384926,247.2867601073102,89.85983360250744,340.28199613028767
71,291.99436475964336,247.0584473535017,90.15286420210674,340.25852565199057
72,292.13734663088195,247.39667167416826,89.55723279809551,340.25656882623815
73,292.18113983384615,247.12157675028698,89.71122723605691,340.2916098460195
74,292.11372426585746,247.23723381526216,89.50569554865814,340.2926212581462
75,292.3020878774122,247.34090722178107,89.51241485282264,340.3465099193416
76,292.410688562055,247.46269666817662,89.26930537528301,340.38663929809803
77,292.4666277308105,247.86052940265654,89.198207604729,340.47028821505745
78,292.4692614122951,247.70671193338924,88.97025991331493,340.41715513307827
79,292.69672524739786,248.17185809270677,88.55919752375644,340.37323580858236
80,292.7860372034229,248.2600552089796,88.67065912786559,340.3393335335365
81,292.86109992547534,248.2458905716569,88.48011099635897,340.3302698626121
