,model,exp,member,calendar
0,CanESM5,1pctCO2,r1i1p1f1,365_day
1,CanESM5,1pctCO2,r1i1p2f1,365_day
2,CanESM5,1pctCO2,r2i1p1f1,365_day
3,CanESM5,1pctCO2,r2i1p2f1,365_day
4,CanESM5,1pctCO2,r3i1p1f1,365_day
5,CanESM5,1pctCO2,r3i1p2f1,365_day
6,CanESM5,abrupt-0p5xCO2,r1i1p2f1,365_day
7,CanESM5,abrupt-2xCO2,r1i1p2f1,noleap
8,CanESM5,abrupt-4xCO2,r1i1p1f1,365_day
9,CanESM5,abrupt-4xCO2,r1i1p2f1,365_day
10,CanESM5,hist-GHG,r10i1p1f1,365_day
11,CanESM5,hist-GHG,r10i1p2f1,noleap
12,CanESM5,hist-GHG,r11i1p1f1,noleap
13,CanESM5,hist-GHG,r11i1p2f1,noleap
14,CanESM5,hist-GHG,r12i1p1f1,noleap
15,CanESM5,hist-GHG,r12i1p2f1,noleap
16,CanESM5,hist-GHG,r13i1p1f1,noleap
17,CanESM5,hist-GHG,r13i1p2f1,noleap
18,CanESM5,hist-GHG,r14i1p1f1,noleap
19,CanESM5,hist-GHG,r14i1p2f1,noleap
20,CanESM5,hist-GHG,r15i1p1f1,noleap
21,CanESM5,hist-GHG,r15i1p2f1,noleap
22,CanESM5,hist-GHG,r16i1p1f1,noleap
23,CanESM5,hist-GHG,r16i1p2f1,noleap
24,CanESM5,hist-GHG,r17i1p1f1,noleap
25,CanESM5,hist-GHG,r17i1p2f1,noleap
26,CanESM5,hist-GHG,r18i1p1f1,noleap
27,CanESM5,hist-GHG,r18i1p2f1,noleap
28,CanESM5,hist-GHG,r19i1p1f1,noleap
29,CanESM5,hist-GHG,r19i1p2f1,noleap
30,CanESM5,hist-GHG,r1i1p1f1,365_day
31,CanESM5,hist-GHG,r1i1p2f1,noleap
32,CanESM5,hist-GHG,r20i1p1f1,noleap
33,CanESM5,hist-GHG,r20i1p2f1,noleap
34,CanESM5,hist-GHG,r21i1p1f1,noleap
35,CanESM5,hist-GHG,r21i1p2f1,noleap
36,CanESM5,hist-GHG,r22i1p1f1,noleap
37,CanESM5,hist-GHG,r22i1p2f1,noleap
38,CanESM5,hist-GHG,r23i1p1f1,noleap
39,CanESM5,hist-GHG,r23i1p2f1,noleap
40,CanESM5,hist-GHG,r24i1p1f1,noleap
41,CanESM5,hist-GHG,r24i1p2f1,noleap
42,CanESM5,hist-GHG,r25i1p1f1,noleap
43,CanESM5,hist-GHG,r25i1p2f1,noleap
44,CanESM5,hist-GHG,r2i1p1f1,365_day
45,CanESM5,hist-GHG,r2i1p2f1,noleap
46,CanESM5,hist-GHG,r3i1p1f1,365_day
47,CanESM5,hist-GHG,r3i1p2f1,noleap
48,CanESM5,hist-GHG,r4i1p1f1,365_day
49,CanESM5,hist-GHG,r4i1p2f1,noleap
50,CanESM5,hist-GHG,r5i1p1f1,365_day
51,CanESM5,hist-GHG,r5i1p2f1,noleap
52,CanESM5,hist-GHG,r6i1p1f1,365_day
53,CanESM5,hist-GHG,r6i1p2f1,noleap
54,CanESM5,hist-GHG,r7i1p1f1,365_day
55,CanESM5,hist-GHG,r7i1p2f1,noleap
56,CanESM5,hist-GHG,r8i1p1f1,365_day
57,CanESM5,hist-GHG,r8i1p2f1,noleap
58,CanESM5,hist-GHG,r9i1p1f1,365_day
59,CanESM5,hist-GHG,r9i1p2f1,noleap
60,CanESM5,hist-aer,r10i1p1f1,365_day
61,CanESM5,hist-aer,r10i1p2f1,noleap
62,CanESM5,hist-aer,r11i1p1f1,noleap
63,CanESM5,hist-aer,r11i1p2f1,noleap
64,CanESM5,hist-aer,r12i1p1f1,noleap
65,CanESM5,hist-aer,r12i1p2f1,noleap
66,CanESM5,hist-aer,r13i1p1f1,noleap
67,CanESM5,hist-aer,r13i1p2f1,noleap
68,CanESM5,hist-aer,r14i1p1f1,noleap
69,CanESM5,hist-aer,r14i1p2f1,noleap
70,CanESM5,hist-aer,r15i1p1f1,noleap
71,CanESM5,hist-aer,r15i1p2f1,noleap
72,CanESM5,hist-aer,r1i1p1f1,365_day
73,CanESM5,hist-aer,r1i1p2f1,noleap
74,CanESM5,hist-aer,r2i1p1f1,365_day
75,CanESM5,hist-aer,r2i1p2f1,noleap
76,CanESM5,hist-aer,r3i1p1f1,365_day
77,CanESM5,hist-aer,r3i1p2f1,noleap
78,CanESM5,hist-aer,r4i1p1f1,365_day
79,CanESM5,hist-aer,r4i1p2f1,noleap
80,CanESM5,hist-aer,r5i1p1f1,365_day
81,CanESM5,hist-aer,r5i1p2f1,noleap
82,CanESM5,hist-aer,r6i1p1f1,365_day
83,CanESM5,hist-aer,r6i1p2f1,noleap
84,CanESM5,hist-aer,r7i1p1f1,365_day
85,CanESM5,hist-aer,r7i1p2f1,noleap
86,CanESM5,hist-aer,r8i1p1f1,365_day
87,CanESM5,hist-aer,r8i1p2f1,noleap
88,CanESM5,hist-aer,r9i1p1f1,365_day
89,CanESM5,hist-aer,r9i1p2f1,noleap
90,CanESM5,hist-nat,r10i1p1f1,noleap
91,CanESM5,hist-nat,r10i1p2f1,365_day
92,CanESM5,hist-nat,r11i1p1f1,365_day
93,CanESM5,hist-nat,r11i1p2f1,365_day
94,CanESM5,hist-nat,r12i1p1f1,365_day
95,CanESM5,hist-nat,r12i1p2f1,365_day
96,CanESM5,hist-nat,r13i1p1f1,365_day
97,CanESM5,hist-nat,r13i1p2f1,365_day
98,CanESM5,hist-nat,r14i1p1f1,365_day
99,CanESM5,hist-nat,r14i1p2f1,365_day
100,CanESM5,hist-nat,r15i1p1f1,365_day
101,CanESM5,hist-nat,r15i1p2f1,365_day
102,CanESM5,hist-nat,r16i1p1f1,365_day
103,CanESM5,hist-nat,r16i1p2f1,365_day
104,CanESM5,hist-nat,r17i1p1f1,365_day
105,CanESM5,hist-nat,r17i1p2f1,365_day
106,CanESM5,hist-nat,r18i1p1f1,365_day
107,CanESM5,hist-nat,r18i1p2f1,365_day
108,CanESM5,hist-nat,r19i1p1f1,365_day
109,CanESM5,hist-nat,r19i1p2f1,365_day
110,CanESM5,hist-nat,r1i1p1f1,noleap
111,CanESM5,hist-nat,r1i1p2f1,365_day
112,CanESM5,hist-nat,r20i1p1f1,365_day
113,CanESM5,hist-nat,r20i1p2f1,365_day
114,CanESM5,hist-nat,r21i1p1f1,365_day
115,CanESM5,hist-nat,r21i1p2f1,365_day
116,CanESM5,hist-nat,r22i1p1f1,365_day
117,CanESM5,hist-nat,r22i1p2f1,365_day
118,CanESM5,hist-nat,r23i1p1f1,365_day
119,CanESM5,hist-nat,r23i1p2f1,365_day
