,model,exp,member,calendar
0,IPSL-CM6A-LR,1pctCO2,r1i1p1f1,gregorian
1,IPSL-CM6A-LR,abrupt-0p5xCO2,r1i1p1f1,gregorian
2,IPSL-CM6A-LR,abrupt-2xCO2,r1i1p1f1,gregorian
3,IPSL-CM6A-LR,abrupt-4xCO2,r10i1p1f1,gregorian
4,IPSL-CM6A-LR,abrupt-4xCO2,r11i1p1f1,gregorian
5,IPSL-CM6A-LR,abrupt-4xCO2,r12i1p1f1,gregorian
6,IPSL-CM6A-LR,abrupt-4xCO2,r1i1p1f1,gregorian
7,IPSL-CM6A-LR,abrupt-4xCO2,r2i1p1f1,gregorian
8,IPSL-CM6A-LR,abrupt-4xCO2,r3i1p1f1,gregorian
9,IPSL-CM6A-LR,abrupt-4xCO2,r4i1p1f1,gregorian
10,IPSL-CM6A-LR,abrupt-4xCO2,r5i1p1f1,gregorian
11,IPSL-CM6A-LR,abrupt-4xCO2,r6i1p1f1,gregorian
12,IPSL-CM6A-LR,abrupt-4xCO2,r7i1p1f1,gregorian
13,IPSL-CM6A-LR,abrupt-4xCO2,r8i1p1f1,gregorian
14,IPSL-CM6A-LR,abrupt-4xCO2,r9i1p1f1,gregorian
15,IPSL-CM6A-LR,hist-GHG,r10i1p1f1,gregorian
16,IPSL-CM6A-LR,hist-GHG,r1i1p1f1,gregorian
17,IPSL-CM6A-LR,hist-GHG,r2i1p1f1,gregorian
18,IPSL-CM6A-LR,hist-GHG,r3i1p1f1,gregorian
19,IPSL-CM6A-LR,hist-GHG,r4i1p1f1,gregorian
20,IPSL-CM6A-LR,hist-GHG,r5i1p1f1,gregorian
21,IPSL-CM6A-LR,hist-GHG,r6i1p1f1,gregorian
22,IPSL-CM6A-LR,hist-GHG,r7i1p1f1,gregorian
23,IPSL-CM6A-LR,hist-GHG,r8i1p1f1,gregorian
24,IPSL-CM6A-LR,hist-GHG,r9i1p1f1,gregorian
25,IPSL-CM6A-LR,hist-aer,r10i1p1f1,gregorian
26,IPSL-CM6A-LR,hist-aer,r1i1p1f1,gregorian
27,IPSL-CM6A-LR,hist-aer,r2i1p1f1,gregorian
28,IPSL-CM6A-LR,hist-aer,r3i1p1f1,gregorian
29,IPSL-CM6A-LR,hist-aer,r4i1p1f1,gregorian
30,IPSL-CM6A-LR,hist-aer,r5i1p1f1,gregorian
31,IPSL-CM6A-LR,hist-aer,r6i1p1f1,gregorian
32,IPSL-CM6A-LR,hist-aer,r7i1p1f1,gregorian
33,IPSL-CM6A-LR,hist-aer,r8i1p1f1,gregorian
34,IPSL-CM6A-LR,hist-aer,r9i1p1f1,gregorian
35,IPSL-CM6A-LR,hist-nat,r10i1p1f1,gregorian
36,IPSL-CM6A-LR,hist-nat,r1i1p1f1,gregorian
37,IPSL-CM6A-LR,hist-nat,r2i1p1f1,gregorian
38,IPSL-CM6A-LR,hist-nat,r3i1p1f1,gregorian
39,IPSL-CM6A-LR,hist-nat,r4i1p1f1,gregorian
40,IPSL-CM6A-LR,hist-nat,r5i1p1f1,gregorian
41,IPSL-CM6A-LR,hist-nat,r6i1p1f1,gregorian
42,IPSL-CM6A-LR,hist-nat,r7i1p1f1,gregorian
43,IPSL-CM6A-LR,hist-nat,r8i1p1f1,gregorian
44,IPSL-CM6A-LR,hist-nat,r9i1p1f1,gregorian
45,IPSL-CM6A-LR,historical,r10i1p1f1,gregorian
46,IPSL-CM6A-LR,historical,r11i1p1f1,gregorian
47,IPSL-CM6A-LR,historical,r12i1p1f1,gregorian
48,IPSL-CM6A-LR,historical,r13i1p1f1,gregorian
49,IPSL-CM6A-LR,historical,r14i1p1f1,gregorian
50,IPSL-CM6A-LR,historical,r15i1p1f1,gregorian
51,IPSL-CM6A-LR,historical,r16i1p1f1,gregorian
52,IPSL-CM6A-LR,historical,r17i1p1f1,gregorian
53,IPSL-CM6A-LR,historical,r18i1p1f1,gregorian
54,IPSL-CM6A-LR,historical,r19i1p1f1,gregorian
55,IPSL-CM6A-LR,historical,r1i1p1f1,gregorian
56,IPSL-CM6A-LR,historical,r20i1p1f1,gregorian
57,IPSL-CM6A-LR,historical,r21i1p1f1,gregorian
58,IPSL-CM6A-LR,historical,r22i1p1f1,gregorian
59,IPSL-CM6A-LR,historical,r23i1p1f1,gregorian
60,IPSL-CM6A-LR,historical,r24i1p1f1,gregorian
61,IPSL-CM6A-LR,historical,r25i1p1f1,gregorian
62,IPSL-CM6A-LR,historical,r26i1p1f1,gregorian
63,IPSL-CM6A-LR,historical,r27i1p1f1,gregorian
64,IPSL-CM6A-LR,historical,r28i1p1f1,gregorian
65,IPSL-CM6A-LR,historical,r29i1p1f1,gregorian
66,IPSL-CM6A-LR,historical,r2i1p1f1,gregorian
67,IPSL-CM6A-LR,historical,r30i1p1f1,gregorian
68,IPSL-CM6A-LR,historical,r31i1p1f1,gregorian
69,IPSL-CM6A-LR,historical,r32i1p1f1,gregorian
70,IPSL-CM6A-LR,historical,r33i1p1f1,gregorian
71,IPSL-CM6A-LR,historical,r3i1p1f1,gregorian
72,IPSL-CM6A-LR,historical,r4i1p1f1,gregorian
73,IPSL-CM6A-LR,historical,r5i1p1f1,gregorian
74,IPSL-CM6A-LR,historical,r6i1p1f1,gregorian
75,IPSL-CM6A-LR,historical,r7i1p1f1,gregorian
76,IPSL-CM6A-LR,historical,r8i1p1f1,gregorian
77,IPSL-CM6A-LR,historical,r9i1p1f1,gregorian
78,IPSL-CM6A-LR,piClim-4xCO2,r1i1p1f1,noleap
79,IPSL-CM6A-LR,piClim-4xCO2,r2i1p1f1,noleap
80,IPSL-CM6A-LR,piClim-4xCO2,r3i1p1f1,noleap
81,IPSL-CM6A-LR,piClim-4xCO2,r4i1p1f1,noleap
82,IPSL-CM6A-LR,piClim-4xCO2,r5i1p1f1,noleap
83,IPSL-CM6A-LR,piClim-control,r1i1p1f1,noleap
84,IPSL-CM6A-LR,piClim-control,r2i1p1f1,noleap
85,IPSL-CM6A-LR,piClim-control,r3i1p1f1,noleap
86,IPSL-CM6A-LR,piClim-control,r4i1p1f1,noleap
87,IPSL-CM6A-LR,piClim-control,r5i1p1f1,noleap
88,IPSL-CM6A-LR,piClim-histall,r1i1p1f1,gregorian
89,IPSL-CM6A-LR,piClim-histall,r2i1p1f1,gregorian
90,IPSL-CM6A-LR,piClim-histall,r3i1p1f1,gregorian
91,IPSL-CM6A-LR,piControl,r1i1p1f1,gregorian
92,IPSL-CM6A-LR,piControl,r1i2p1f1,proleptic_gregorian
93,IPSL-CM6A-LR,ssp119,r14i1p1f1,gregorian
94,IPSL-CM6A-LR,ssp119,r1i1p1f1,gregorian
95,IPSL-CM6A-LR,ssp119,r2i1p1f1,gregorian
96,IPSL-CM6A-LR,ssp119,r3i1p1f1,gregorian
97,IPSL-CM6A-LR,ssp119,r4i1p1f1,gregorian
98,IPSL-CM6A-LR,ssp119,r6i1p1f1,gregorian
99,IPSL-CM6A-LR,ssp126,r14i1p1f1,gregorian
100,IPSL-CM6A-LR,ssp126,r1i1p1f1,gregorian
101,IPSL-CM6A-LR,ssp126,r2i1p1f1,gregorian
102,IPSL-CM6A-LR,ssp126,r3i1p1f1,gregorian
103,IPSL-CM6A-LR,ssp126,r4i1p1f1,gregorian
104,IPSL-CM6A-LR,ssp126,r6i1p1f1,gregorian
105,IPSL-CM6A-LR,ssp245,r10i1p1f1,gregorian
106,IPSL-CM6A-LR,ssp245,r11i1p1f1,gregorian
107,IPSL-CM6A-LR,ssp245,r14i1p1f1,gregorian
108,IPSL-CM6A-LR,ssp245,r1i1p1f1,gregorian
109,IPSL-CM6A-LR,ssp245,r22i1p1f1,gregorian
110,IPSL-CM6A-LR,ssp245,r25i1p1f1,gregorian
111,IPSL-CM6A-LR,ssp245,r2i1p1f1,gregorian
112,IPSL-CM6A-LR,ssp245,r3i1p1f1,gregorian
113,IPSL-CM6A-LR,ssp245,r4i1p1f1,gregorian
114,IPSL-CM6A-LR,ssp245,r5i1p1f1,gregorian
115,IPSL-CM6A-LR,ssp245,r6i1p1f1,gregorian
116,IPSL-CM6A-LR,ssp370,r10i1p1f1,gregorian
117,IPSL-CM6A-LR,ssp370,r14i1p1f1,gregorian
118,IPSL-CM6A-LR,ssp370,r1i1p1f1,gregorian
119,IPSL-CM6A-LR,ssp370,r2i1p1f1,gregorian
120,IPSL-CM6A-LR,ssp370,r3i1p1f1,gregorian
121,IPSL-CM6A-LR,ssp370,r4i1p1f1,gregorian
122,IPSL-CM6A-LR,ssp370,r5i1p1f1,gregorian
123,IPSL-CM6A-LR,ssp370,r6i1p1f1,gregorian
124,IPSL-CM6A-LR,ssp370,r7i1p1f1,gregorian
125,IPSL-CM6A-LR,ssp370,r8i1p1f1,gregorian
126,IPSL-CM6A-LR,ssp370,r9i1p1f1,gregorian
127,IPSL-CM6A-LR,ssp585,r14i1p1f1,gregorian
128,IPSL-CM6A-LR,ssp585,r1i1p1f1,gregorian
129,IPSL-CM6A-LR,ssp585,r2i1p1f1,gregorian
130,IPSL-CM6A-LR,ssp585,r33i1p1f1,gregorian
131,IPSL-CM6A-LR,ssp585,r3i1p1f1,gregorian
132,IPSL-CM6A-LR,ssp585,r4i1p1f1,gregorian
133,IPSL-CM6A-LR,ssp585,r6i1p1f1,gregorian
