 model exp member calendar
0 GISS-E2-1-G piClim-control r1i1p1f1 noleap
1 GISS-E2-1-G piClim-control r1i1p1f2 noleap
2 GISS-E2-1-G piClim-control r1i1p3f1 noleap
3 GISS-E2-1-G ssp585 r1i1p3f1 noleap
4 GISS-E2-1-G ssp585 r1i1p5f1 noleap
5 GISS-E2-1-G abrupt-2xCO2 r102i1p1f1 noleap
6 GISS-E2-1-G abrupt-2xCO2 r1i1p1f1 noleap
7 GISS-E2-1-G abrupt-2xCO2 r1i1p3f1 noleap
8 GISS-E2-1-G abrupt-2xCO2 r1i1p5f1 noleap
9 GISS-E2-1-G abrupt-0p5xCO2 r1i1p1f1 noleap
10 GISS-E2-1-G piControl r101i1p1f1 noleap
11 GISS-E2-1-G piControl r102i1p1f1 noleap
12 GISS-E2-1-G piControl r1i1p1f1 noleap
13 GISS-E2-1-G piControl r1i1p1f2 noleap
14 GISS-E2-1-G piControl r1i1p1f3 noleap
15 GISS-E2-1-G piControl r1i1p3f1 noleap
16 GISS-E2-1-G piControl r1i1p5f1 noleap
17 GISS-E2-1-G piControl r2i1p1f1 noleap
18 GISS-E2-1-G abrupt-4xCO2 r102i1p1f1 noleap
19 GISS-E2-1-G abrupt-4xCO2 r1i1p1f1 noleap
20 GISS-E2-1-G abrupt-4xCO2 r1i1p1f3 noleap
21 GISS-E2-1-G abrupt-4xCO2 r1i1p3f1 noleap
22 GISS-E2-1-G abrupt-4xCO2 r1i1p5f1 noleap
23 GISS-E2-1-G ssp245 r10i1p1f2 noleap
24 GISS-E2-1-G ssp245 r1i1p3f1 noleap
25 GISS-E2-1-G ssp245 r2i1p3f1 noleap
26 GISS-E2-1-G ssp245 r3i1p3f1 noleap
27 GISS-E2-1-G ssp245 r4i1p3f1 noleap
28 GISS-E2-1-G ssp245 r5i1p3f1 noleap
29 GISS-E2-1-G ssp245 r6i1p1f2 noleap
30 GISS-E2-1-G ssp245 r7i1p1f2 noleap
31 GISS-E2-1-G ssp245 r8i1p1f2 noleap
32 GISS-E2-1-G ssp245 r9i1p1f2 noleap
33 GISS-E2-1-G historical r101i1p1f1 noleap
34 GISS-E2-1-G historical r102i1p1f1 noleap
35 GISS-E2-1-G historical r10i1p1f1 noleap
36 GISS-E2-1-G historical r10i1p1f2 noleap
37 GISS-E2-1-G historical r10i1p3f1 noleap
38 GISS-E2-1-G historical r1i1p1f1 noleap
39 GISS-E2-1-G historical r1i1p1f2 noleap
40 GISS-E2-1-G historical r1i1p1f3 noleap
41 GISS-E2-1-G historical r1i1p3f1 noleap
42 GISS-E2-1-G historical r1i1p5f1 noleap
43 GISS-E2-1-G historical r2i1p1f1 noleap
44 GISS-E2-1-G historical r2i1p1f2 noleap
45 GISS-E2-1-G historical r2i1p1f3 noleap
46 GISS-E2-1-G historical r2i1p3f1 noleap
47 GISS-E2-1-G historical r2i1p5f1 noleap
48 GISS-E2-1-G historical r3i1p1f1 noleap
49 GISS-E2-1-G historical r3i1p1f2 noleap
50 GISS-E2-1-G historical r3i1p1f3 noleap
51 GISS-E2-1-G historical r3i1p3f1 noleap
52 GISS-E2-1-G historical r3i1p5f1 noleap
53 GISS-E2-1-G historical r4i1p1f1 noleap
54 GISS-E2-1-G historical r4i1p1f2 noleap
55 GISS-E2-1-G historical r4i1p1f3 noleap
56 GISS-E2-1-G historical r4i1p3f1 noleap
57 GISS-E2-1-G historical r4i1p5f1 noleap
58 GISS-E2-1-G historical r5i1p1f1 noleap
59 GISS-E2-1-G historical r5i1p1f2 noleap
60 GISS-E2-1-G historical r5i1p1f3 noleap
61 GISS-E2-1-G historical r5i1p3f1 noleap
62 GISS-E2-1-G historical r6i1p1f1 noleap
63 GISS-E2-1-G historical r6i1p1f2 noleap
64 GISS-E2-1-G historical r6i1p3f1 noleap
65 GISS-E2-1-G historical r6i1p5f1 noleap
66 GISS-E2-1-G historical r7i1p1f1 noleap
67 GISS-E2-1-G historical r7i1p1f2 noleap
68 GISS-E2-1-G historical r7i1p5f1 noleap
69 GISS-E2-1-G historical r8i1p1f1 noleap
70 GISS-E2-1-G historical r8i1p1f2 noleap
71 GISS-E2-1-G historical r8i1p3f1 noleap
72 GISS-E2-1-G historical r8i1p5f1 noleap
73 GISS-E2-1-G historical r9i1p1f1 noleap
74 GISS-E2-1-G historical r9i1p1f2 noleap
75 GISS-E2-1-G historical r9i1p3f1 noleap
76 GISS-E2-1-G piClim-4xCO2 r1i1p1f2 noleap
77 GISS-E2-1-G piClim-histall r1i1p1f1 noleap
78 GISS-E2-1-G piClim-histall r1i1p1f2 noleap
79 GISS-E2-1-G ssp370 r10i1p1f2 noleap
80 GISS-E2-1-G ssp370 r1i1p3f1 noleap
81 GISS-E2-1-G ssp370 r1i1p3f2 noleap
82 GISS-E2-1-G ssp370 r1i1p5f1 noleap
83 GISS-E2-1-G ssp370 r2i1p1f2 noleap
84 GISS-E2-1-G ssp370 r3i1p1f2 noleap
85 GISS-E2-1-G ssp370 r4i1p1f2 noleap
86 GISS-E2-1-G ssp370 r5i1p1f2 noleap
87 GISS-E2-1-G ssp370 r6i1p1f2 noleap
88 GISS-E2-1-G ssp370 r7i1p1f2 noleap
89 GISS-E2-1-G ssp370 r8i1p1f2 noleap
90 GISS-E2-1-G ssp370 r9i1p1f2 noleap
91 GISS-E2-1-G ssp126 r1i1p3f1 noleap
92 GISS-E2-1-G ssp126 r1i1p5f1 noleap
