,model,exp,member,calendar
0,CNRM-ESM2-1,1pctCO2,r10i1p1f2,gregorian
1,CNRM-ESM2-1,1pctCO2,r1i1p1f2,gregorian
2,CNRM-ESM2-1,1pctCO2,r2i1p1f2,gregorian
3,CNRM-ESM2-1,1pctCO2,r3i1p1f2,gregorian
4,CNRM-ESM2-1,1pctCO2,r4i1p1f2,gregorian
5,CNRM-ESM2-1,1pctCO2,r5i1p1f2,gregorian
6,CNRM-ESM2-1,1pctCO2,r6i1p1f2,gregorian
7,CNRM-ESM2-1,1pctCO2,r7i1p1f2,gregorian
8,CNRM-ESM2-1,1pctCO2,r8i1p1f2,gregorian
9,CNRM-ESM2-1,1pctCO2,r9i1p1f2,gregorian
10,CNRM-ESM2-1,abrupt-4xCO2,r1i1p1f2,gregorian
11,CNRM-ESM2-1,abrupt-4xCO2,r2i1p1f2,gregorian
12,CNRM-ESM2-1,abrupt-4xCO2,r3i1p1f2,gregorian
13,CNRM-ESM2-1,historical,r10i1p1f2,gregorian
14,CNRM-ESM2-1,historical,r11i1p1f2,gregorian
15,CNRM-ESM2-1,historical,r1i1p1f2,gregorian
16,CNRM-ESM2-1,historical,r2i1p1f2,gregorian
17,CNRM-ESM2-1,historical,r3i1p1f2,gregorian
18,CNRM-ESM2-1,historical,r4i1p1f2,gregorian
19,CNRM-ESM2-1,historical,r5i1p1f2,gregorian
20,CNRM-ESM2-1,historical,r6i1p1f2,gregorian
21,CNRM-ESM2-1,historical,r7i1p1f2,gregorian
22,CNRM-ESM2-1,historical,r8i1p1f2,gregorian
23,CNRM-ESM2-1,historical,r9i1p1f2,gregorian
24,CNRM-ESM2-1,piClim-4xCO2,r1i1p1f2,gregorian
25,CNRM-ESM2-1,piClim-control,r1i1p1f2,gregorian
26,CNRM-ESM2-1,piControl,r1i1p1f2,360_day
27,CNRM-ESM2-1,ssp119,r1i1p1f2,gregorian
28,CNRM-ESM2-1,ssp119,r2i1p1f2,gregorian
29,CNRM-ESM2-1,ssp119,r3i1p1f2,gregorian
30,CNRM-ESM2-1,ssp119,r4i1p1f2,gregorian
31,CNRM-ESM2-1,ssp119,r5i1p1f2,gregorian
32,CNRM-ESM2-1,ssp126,r1i1p1f2,gregorian
33,CNRM-ESM2-1,ssp126,r2i1p1f2,gregorian
34,CNRM-ESM2-1,ssp126,r3i1p1f2,gregorian
35,CNRM-ESM2-1,ssp126,r4i1p1f2,gregorian
36,CNRM-ESM2-1,ssp126,r5i1p1f2,gregorian
37,CNRM-ESM2-1,ssp245,r10i1p1f2,gregorian
38,CNRM-ESM2-1,ssp245,r1i1p1f2,gregorian
39,CNRM-ESM2-1,ssp245,r2i1p1f2,gregorian
40,CNRM-ESM2-1,ssp245,r3i1p1f2,gregorian
41,CNRM-ESM2-1,ssp245,r4i1p1f2,gregorian
42,CNRM-ESM2-1,ssp245,r5i1p1f2,gregorian
43,CNRM-ESM2-1,ssp245,r6i1p1f2,gregorian
44,CNRM-ESM2-1,ssp245,r7i1p1f2,gregorian
45,CNRM-ESM2-1,ssp245,r8i1p1f2,gregorian
46,CNRM-ESM2-1,ssp245,r9i1p1f2,gregorian
47,CNRM-ESM2-1,ssp370,r1i1p1f2,gregorian
48,CNRM-ESM2-1,ssp370,r2i1p1f2,gregorian
49,CNRM-ESM2-1,ssp370,r3i1p1f2,gregorian
50,CNRM-ESM2-1,ssp370,r4i1p1f2,gregorian
51,CNRM-ESM2-1,ssp370,r5i1p1f2,gregorian
52,CNRM-ESM2-1,ssp585,r1i1p1f2,gregorian
53,CNRM-ESM2-1,ssp585,r2i1p1f2,gregorian
54,CNRM-ESM2-1,ssp585,r3i1p1f2,proleptic_gregorian
55,CNRM-ESM2-1,ssp585,r4i1p1f2,proleptic_gregorian
56,CNRM-ESM2-1,ssp585,r5i1p1f2,proleptic_gregorian
