,model,exp,member,calendar
0,MIROC6,1pctCO2,r1i1p1f1,gregorian
1,MIROC6,abrupt-0p5xCO2,r1i1p1f1,gregorian
2,MIROC6,abrupt-2xCO2,r1i1p1f1,gregorian
3,MIROC6,abrupt-4xCO2,r1i1p1f1,gregorian
4,MIROC6,hist-GHG,r1i1p1f1,gregorian
5,MIROC6,hist-GHG,r2i1p1f1,gregorian
6,MIROC6,hist-GHG,r3i1p1f1,gregorian
7,MIROC6,hist-aer,r10i1p1f1,gregorian
8,MIROC6,hist-aer,r1i1p1f1,gregorian
9,MIROC6,hist-aer,r2i1p1f1,gregorian
10,MIROC6,hist-aer,r3i1p1f1,gregorian
11,MIROC6,hist-aer,r4i1p1f1,gregorian
12,MIROC6,hist-aer,r5i1p1f1,gregorian
13,MIROC6,hist-aer,r6i1p1f1,gregorian
14,MIROC6,hist-aer,r7i1p1f1,gregorian
15,MIROC6,hist-aer,r8i1p1f1,gregorian
16,MIROC6,hist-aer,r9i1p1f1,gregorian
17,MIROC6,hist-nat,r10i1p1f1,gregorian
18,MIROC6,hist-nat,r11i1p1f1,gregorian
19,MIROC6,hist-nat,r12i1p1f1,gregorian
20,MIROC6,hist-nat,r13i1p1f1,gregorian
21,MIROC6,hist-nat,r14i1p1f1,gregorian
22,MIROC6,hist-nat,r15i1p1f1,gregorian
23,MIROC6,hist-nat,r16i1p1f1,gregorian
24,MIROC6,hist-nat,r17i1p1f1,gregorian
25,MIROC6,hist-nat,r18i1p1f1,gregorian
26,MIROC6,hist-nat,r19i1p1f1,gregorian
27,MIROC6,hist-nat,r1i1p1f1,gregorian
28,MIROC6,hist-nat,r20i1p1f1,gregorian
29,MIROC6,hist-nat,r21i1p1f1,gregorian
30,MIROC6,hist-nat,r22i1p1f1,gregorian
31,MIROC6,hist-nat,r23i1p1f1,gregorian
32,MIROC6,hist-nat,r24i1p1f1,gregorian
33,MIROC6,hist-nat,r25i1p1f1,gregorian
34,MIROC6,hist-nat,r26i1p1f1,gregorian
35,MIROC6,hist-nat,r27i1p1f1,gregorian
36,MIROC6,hist-nat,r28i1p1f1,gregorian
37,MIROC6,hist-nat,r29i1p1f1,gregorian
38,MIROC6,hist-nat,r2i1p1f1,gregorian
39,MIROC6,hist-nat,r30i1p1f1,gregorian
40,MIROC6,hist-nat,r31i1p1f1,gregorian
41,MIROC6,hist-nat,r32i1p1f1,gregorian
42,MIROC6,hist-nat,r33i1p1f1,gregorian
43,MIROC6,hist-nat,r34i1p1f1,gregorian
44,MIROC6,hist-nat,r35i1p1f1,gregorian
45,MIROC6,hist-nat,r36i1p1f1,gregorian
46,MIROC6,hist-nat,r37i1p1f1,gregorian
47,MIROC6,hist-nat,r38i1p1f1,gregorian
48,MIROC6,hist-nat,r39i1p1f1,gregorian
49,MIROC6,hist-nat,r3i1p1f1,gregorian
50,MIROC6,hist-nat,r40i1p1f1,gregorian
51,MIROC6,hist-nat,r41i1p1f1,gregorian
52,MIROC6,hist-nat,r42i1p1f1,gregorian
53,MIROC6,hist-nat,r43i1p1f1,gregorian
54,MIROC6,hist-nat,r44i1p1f1,gregorian
55,MIROC6,hist-nat,r45i1p1f1,gregorian
56,MIROC6,hist-nat,r46i1p1f1,gregorian
57,MIROC6,hist-nat,r47i1p1f1,gregorian
58,MIROC6,hist-nat,r48i1p1f1,gregorian
59,MIROC6,hist-nat,r49i1p1f1,gregorian
60,MIROC6,hist-nat,r4i1p1f1,gregorian
61,MIROC6,hist-nat,r50i1p1f1,gregorian
62,MIROC6,hist-nat,r5i1p1f1,gregorian
63,MIROC6,hist-nat,r6i1p1f1,gregorian
64,MIROC6,hist-nat,r7i1p1f1,gregorian
65,MIROC6,hist-nat,r8i1p1f1,gregorian
66,MIROC6,hist-nat,r9i1p1f1,gregorian
67,MIROC6,historical,r10i1p1f1,proleptic_gregorian
68,MIROC6,historical,r11i1p1f1,gregorian
69,MIROC6,historical,r12i1p1f1,gregorian
70,MIROC6,historical,r13i1p1f1,gregorian
71,MIROC6,historical,r14i1p1f1,gregorian
72,MIROC6,historical,r15i1p1f1,gregorian
73,MIROC6,historical,r16i1p1f1,gregorian
74,MIROC6,historical,r17i1p1f1,gregorian
75,MIROC6,historical,r18i1p1f1,gregorian
76,MIROC6,historical,r19i1p1f1,gregorian
77,MIROC6,historical,r1i1p1f1,proleptic_gregorian
78,MIROC6,historical,r20i1p1f1,gregorian
79,MIROC6,historical,r21i1p1f1,gregorian
80,MIROC6,historical,r22i1p1f1,gregorian
81,MIROC6,historical,r23i1p1f1,gregorian
82,MIROC6,historical,r24i1p1f1,gregorian
83,MIROC6,historical,r25i1p1f1,gregorian
84,MIROC6,historical,r26i1p1f1,gregorian
85,MIROC6,historical,r27i1p1f1,gregorian
86,MIROC6,historical,r28i1p1f1,gregorian
87,MIROC6,historical,r29i1p1f1,gregorian
88,MIROC6,historical,r2i1p1f1,proleptic_gregorian
89,MIROC6,historical,r30i1p1f1,gregorian
90,MIROC6,historical,r31i1p1f1,gregorian
91,MIROC6,historical,r32i1p1f1,gregorian
92,MIROC6,historical,r33i1p1f1,gregorian
93,MIROC6,historical,r34i1p1f1,gregorian
94,MIROC6,historical,r35i1p1f1,gregorian
95,MIROC6,historical,r36i1p1f1,gregorian
96,MIROC6,historical,r37i1p1f1,gregorian
97,MIROC6,historical,r38i1p1f1,gregorian
98,MIROC6,historical,r39i1p1f1,gregorian
99,MIROC6,historical,r3i1p1f1,proleptic_gregorian
100,MIROC6,historical,r40i1p1f1,gregorian
101,MIROC6,historical,r41i1p1f1,gregorian
102,MIROC6,historical,r42i1p1f1,gregorian
103,MIROC6,historical,r43i1p1f1,gregorian
104,MIROC6,historical,r44i1p1f1,gregorian
