year,tas,rlut,rsut,rsdt
2015,1.3050297274017453,-1.8042556956785063,1.8286852957288886,0.042382605504542425
2016,1.2544907798528584,-1.7979919664544468,1.6165960876808327,-0.029385517355649426
2017,1.0808453990071598,-2.0286995281280156,1.1267676025033495,-0.048718456390133724
2018,1.112473015389753,-2.2892448677754373,1.0809983176666833,-0.05663234194815914
2019,1.4196114964350954,-1.7897625222429667,1.0697276020551527,-0.05799271907989123
2020,1.3605428647530289,-1.95721195296548,1.2049014784210499,-0.04787335367751666
2021,1.2031687838674543,-2.2214678792082054,0.740497782575801,0.023112666801580417
2022,1.4558413486177528,-1.99795292558386,0.631019239487614,0.10038276727073026
2023,1.6030882566119544,-1.8400057542397121,1.3043545104800103,0.1446522036591773
2024,1.6626863602682533,-1.4646453716588894,0.9869435894512861,0.162646097030688
2025,1.5719877513053575,-1.9138718282455613,0.7945752778393569,0.11963838672090787
2026,1.7867084424374866,-1.4479622009424986,0.6638612149086356,0.07047507115868257
2027,1.8122158509667656,-1.5556500246200358,1.0183120766283054,0.021228632929705782
2028,1.6800109876700162,-1.9232621362174598,0.9450314586678701,0.0011795923768431749
2029,1.813255975342713,-1.827884144275174,0.6738218507694285,-0.03176761288227681
2030,1.909871182222446,-1.4424216015866023,1.013142468602794,-0.04960997416230839
2031,1.658936705369399,-2.1978920630874654,0.8428431197306878,-0.06710148892892676
2032,1.6367819759196323,-2.370528509473104,1.0846615764577479,-0.06321289496054305
2033,1.837542619285955,-2.1385779037962607,0.9283004833166473,-0.020705237843571922
2034,1.9753229597930613,-1.5815494966612391,0.8842300604812579,0.05377588626413399
2035,1.6776603543892747,-2.08194674080562,0.40898917505700183,0.06239096886383777
2036,1.7704948998819532,-2.434961641960342,0.23962665469593958,0.09656794072066077
2037,2.1660081667556597,-1.7955349204132176,0.5500884186261032,0.06147050676656818
2038,2.291623296124385,-1.377144598082083,0.6599346770568673,0.0614941990928628
2039,2.091511671792432,-1.5631118795814984,0.44393917027559837,0.013741487430138477
2040,2.1003534411474334,-1.9149785868061713,0.045755112257552355,-0.03150264311966566
2041,2.1885739860620674,-1.7687084309330317,0.2883282709045005,-0.07103251640876351
2042,2.372296752197201,-1.5713406650598358,0.6829462176069114,-0.08196819223434204
2043,2.276581559194369,-1.262702782708942,0.20791210784476277,-0.07674203835756543
2044,2.234600515908369,-1.653426103384902,-0.13517654181153205,-0.05258545015777827
2045,2.3333668157482066,-1.8159434317283285,0.7034804315195515,0.01773430083005678
2046,2.514338070641088,-1.7865117703798035,0.7437373587418961,0.06580333782028447
2047,2.4151819236029723,-1.5068725626828154,0.3968947270858081,0.11903374148027979
2048,2.335658257471266,-1.8321725759647904,0.2108929440714178,0.12514500338522794
2049,2.6020066056779,-1.653947101291891,0.27108448345660463,0.08075301602212903
2050,2.6043245599835814,-1.3357516683464326,0.618350180712568,0.01412196535085286
2051,2.432072180920386,-1.6227009279313336,-0.17220172716490367,-0.019157964380667636
2052,2.6174490261628875,-1.760306571349446,0.2914837186846455,-0.04981944399509075
2053,2.623218607640297,-2.03654648170712,0.7189672853620266,-0.07187481449511779
2054,2.706466520542847,-2.028806817576566,0.4587048422093716,-0.06349969485404472
2055,2.6995504905758594,-1.610179263180072,0.45367188903422573,-0.022916699040251842
2056,2.7066322556042337,-2.0130790287355182,0.26688488836808233,0.027753868127661008
2057,2.792097137824612,-1.1804114763217513,0.09389679191001221,0.029277529322826013
2058,2.5501886724631504,-2.1061683206868906,0.08696357068883742,0.03805547491197103
2059,2.749972001807123,-1.7680059016741154,0.1921355010440493,0.04381265976934401
2060,2.8560356998714838,-2.043406860677379,0.4288721221108176,0.0022831585055200776
2061,3.0951717680862885,-1.7262368398878891,0.3968558564632474,-0.03359062124997081
2062,2.9380201540178064,-1.579977731128821,0.2878543288384776,-0.0630939999786051
2063,2.910635048784684,-2.057839605082478,0.22654301935355647,-0.07336247477468305
2064,3.0441483768676676,-1.630163073809456,0.40364664606455847,-0.07709876894915624
2065,3.0170188701189886,-1.7996181739935366,0.29170550583448573,-0.06454743973358745
2066,2.981587704687854,-1.8750868572405466,0.15316332301651414,-0.009167605964989889
2067,2.9694321816837714,-1.819639610122607,0.2154765942443646,0.04051334795087769
2068,2.9898746265116074,-2.011819588462231,-0.041654335359083916,0.06870774582915828
2069,3.2397226569462987,-1.4854871672509375,0.147599788530286,0.05739150913439062
2070,3.1458705922946137,-1.6987186788099677,-0.07024628635140573,0.02673326132503462
2071,3.221240845119155,-1.989858318834223,0.37452472573940554,-0.017266869105810656
2072,3.3070836877384977,-1.4625798699346149,0.1811995861133795,-0.03870988052085522
2073,3.139045912473591,-2.2500996922452146,0.0217401401123567,-0.05439363622247129
2074,3.3515885647873347,-2.276600642827873,0.3031287209134774,-0.07741236627299486
2075,3.52569690281274,-1.549932196396071,0.060840222345476036,-0.08684572713281113
2076,3.239617405209117,-1.7107699366842155,-0.20694210342510644,-0.0964612393436255
2077,3.3976012971941145,-2.410255874175988,-0.04941309062405708,-0.083985254914694
2078,3.618418001405871,-1.4753516440798364,0.0001714420066321054,-0.04885098184382741
2079,3.4691900316200304,-1.65280784196554,-0.386287412818092,-0.010982604817968422
2080,3.468008781008507,-1.8454867644235264,-0.49422500081303156,0.015640105316663266
2081,3.6651895587300487,-2.0359198045458697,0.4752688115432733,0.01812997365669844
2082,3.80177853562202,-1.5607578319785773,0.013652881428711794,0.01671622903569414
2083,3.615651460934373,-1.72151928283688,-0.28441200475944584,-0.011214194625381424
2084,3.7450195791938654,-1.9560424109044732,-0.08573609349124922,-0.024767360534610816
2085,3.90898875924546,-1.2552978693869647,-0.5598796374743671,-0.06680573448318228
2086,3.7143839143569153,-2.2027760502819547,-0.3639605932056611,-0.09006080132411398
2087,3.948086178682331,-2.0379655422674148,0.23548717175549427,-0.09199161468529837
2088,3.910025861716065,-1.8276303945809502,0.05979692256612168,-0.0887301042041031
2089,4.06127803563902,-1.7450211707197525,0.17768669412572535,-0.056141462038908685
2090,3.8935477651057226,-1.7532649706482175,-0.24229640023327192,-0.0020268435184220834
2091,3.7975775234862112,-1.9137180269663077,-0.1751794255630017,0.03747062064041984
2092,3.9381504999178105,-2.066291074701468,-0.1716068783602651,0.08937767728707513
2093,4.07639315856585,-1.5438795945929087,-0.18422626052107205,0.0681404478431773
2094,3.7827903723190275,-1.9110238328625542,-0.5503376530317041,0.024884260816065762
2095,3.9980865191200223,-2.183099324790021,-0.3702026479750913,-0.009493214920155424
2096,4.153894199434262,-1.567184755877605,-0.27990240718654036,-0.05031165039883945
2097,4.149768789985842,-2.438089695171982,0.16862443247758563,-0.06378270037760103
2098,4.319439683886458,-1.5428788484416884,-0.1576825452110029,-0.07667075490184061
2099,4.1035907937318825,-2.2181659693396796,-0.35542355322330366,-0.058089155940194814
2100,4.282986780740941,-2.2208200815416603,-0.2153561886302242,-0.015809363432367718
