,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
87,EC-Earth3,ssp119,r107i1p1f1,historical,r107i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
88,EC-Earth3,ssp119,r108i1p1f1,historical,r108i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
89,EC-Earth3,ssp119,r109i1p1f1,historical,r109i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
90,EC-Earth3,ssp119,r110i1p1f1,historical,r110i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
91,EC-Earth3,ssp119,r111i1p1f1,historical,r111i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
92,EC-Earth3,ssp119,r112i1p1f1,historical,r112i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
93,EC-Earth3,ssp119,r113i1p1f1,historical,r113i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
94,EC-Earth3,ssp119,r114i1p1f1,historical,r114i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
95,EC-Earth3,ssp119,r115i1p1f1,historical,r115i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
96,EC-Earth3,ssp119,r116i1p1f1,historical,r116i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
97,EC-Earth3,ssp119,r117i1p1f1,historical,r117i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
98,EC-Earth3,ssp119,r118i1p1f1,historical,r118i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
99,EC-Earth3,ssp119,r119i1p1f1,historical,r119i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
100,EC-Earth3,ssp119,r120i1p1f1,historical,r120i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
101,EC-Earth3,ssp119,r121i1p1f1,historical,r121i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
102,EC-Earth3,ssp119,r122i1p1f1,historical,r122i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
103,EC-Earth3,ssp119,r123i1p1f1,historical,r123i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
104,EC-Earth3,ssp119,r124i1p1f1,historical,r124i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
105,EC-Earth3,ssp119,r125i1p1f1,historical,r125i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
106,EC-Earth3,ssp119,r126i1p1f1,historical,r126i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
107,EC-Earth3,ssp119,r127i1p1f1,historical,r127i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
108,EC-Earth3,ssp119,r128i1p1f1,historical,r128i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
109,EC-Earth3,ssp119,r129i1p1f1,historical,r129i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
110,EC-Earth3,ssp119,r130i1p1f1,historical,r130i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
111,EC-Earth3,ssp119,r131i1p1f1,historical,r131i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
112,EC-Earth3,ssp119,r132i1p1f1,historical,r132i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
113,EC-Earth3,ssp119,r133i1p1f1,historical,r133i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
114,EC-Earth3,ssp119,r134i1p1f1,historical,r134i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
115,EC-Earth3,ssp119,r135i1p1f1,historical,r135i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
116,EC-Earth3,ssp119,r136i1p1f1,historical,r136i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
117,EC-Earth3,ssp119,r137i1p1f1,historical,r137i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
118,EC-Earth3,ssp119,r138i1p1f1,historical,r138i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
119,EC-Earth3,ssp119,r139i1p1f1,historical,r139i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
