,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
0,MPI-ESM1-2-LR,1pctCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
1,MPI-ESM1-2-LR,abrupt-4xCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
2,MPI-ESM1-2-LR,historical,r10i1p1f1,piControl,r1i1p1f1,0.0,164359.0,days since 1850-1-1 00:00:00,standard
3,MPI-ESM1-2-LR,historical,r11i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
4,MPI-ESM1-2-LR,historical,r12i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
5,MPI-ESM1-2-LR,historical,r13i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
6,MPI-ESM1-2-LR,historical,r14i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
7,MPI-ESM1-2-LR,historical,r15i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
8,MPI-ESM1-2-LR,historical,r16i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
9,MPI-ESM1-2-LR,historical,r17i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
10,MPI-ESM1-2-LR,historical,r18i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
11,MPI-ESM1-2-LR,historical,r19i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
12,MPI-ESM1-2-LR,historical,r1i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
13,MPI-ESM1-2-LR,historical,r20i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
14,MPI-ESM1-2-LR,historical,r21i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
15,MPI-ESM1-2-LR,historical,r22i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
16,MPI-ESM1-2-LR,historical,r23i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
17,MPI-ESM1-2-LR,historical,r24i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
18,MPI-ESM1-2-LR,historical,r25i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
19,MPI-ESM1-2-LR,historical,r26i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
20,MPI-ESM1-2-LR,historical,r27i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
21,MPI-ESM1-2-LR,historical,r28i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
22,MPI-ESM1-2-LR,historical,r29i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
23,MPI-ESM1-2-LR,historical,r2i1p1f1,piControl,r1i1p1f1,0.0,18262.0,days since 1850-1-1 00:00:00,standard
24,MPI-ESM1-2-LR,historical,r30i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
25,MPI-ESM1-2-LR,historical,r3i1p1f1,piControl,r1i1p1f1,0.0,36524.0,days since 1850-1-1 00:00:00,standard
26,MPI-ESM1-2-LR,historical,r4i1p1f1,piControl,r1i1p1f1,0.0,54786.0,days since 1850-1-1 00:00:00,standard
27,MPI-ESM1-2-LR,historical,r5i1p1f1,piControl,r1i1p1f1,0.0,73049.0,days since 1850-1-1 00:00:00,standard
28,MPI-ESM1-2-LR,historical,r6i1p1f1,piControl,r1i1p1f1,0.0,91311.0,days since 1850-1-1 00:00:00,standard
29,MPI-ESM1-2-LR,historical,r7i1p1f1,piControl,r1i1p1f1,0.0,109573.0,days since 1850-1-1 00:00:00,standard
30,MPI-ESM1-2-LR,historical,r8i1p1f1,piControl,r1i1p1f1,0.0,127835.0,days since 1850-1-1 00:00:00,standard
31,MPI-ESM1-2-LR,historical,r9i1p1f1,piControl,r1i1p1f1,0.0,146097.0,days since 1850-1-1 00:00:00,standard
32,MPI-ESM1-2-LR,piClim-4xCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
33,MPI-ESM1-2-LR,piClim-control,r1i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,Deviation from PI Climatology with namelist parameter enstdif
34,MPI-ESM1-2-LR,piClim-control,r2i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,Deviation from PI Climatology with namelist parameter enstdif
35,MPI-ESM1-2-LR,piClim-control,r3i1p1f1,piControl,r1i1p1f1,0.0,0.0,days since 1850-1-1 00:00:00,standard
36,MPI-ESM1-2-LR,piControl,r1i1p1f1,piControl-spinup,r1i1p1f1,0.0,18262.0,days since 1850-1-1 00:00:00,standard
37,MPI-ESM1-2-LR,piControl,r2i1p1f1,piControl-spinup,r1i1p1f1,18262.0,18262.0,days since 1850-1-1 00:00:00,standard
38,MPI-ESM1-2-LR,ssp119,r10i1p1f1,historical,r10i1p1f1,60265.0,60265.0,days since 1850-1-1 00:00:00,standard
39,MPI-ESM1-2-LR,ssp119,r11i1p1f1,historical,r11i1p1f1,60265.0,60265.0,days since 1850-1-1 00:00:00,standard
40,MPI-ESM1-2-LR,ssp119,r12i1p1f1,historical,r12i1p1f1,60265.0,60265.0,days since 1850-1-1 00:00:00,standard
41,MPI-ESM1-2-LR,ssp119,r13i1p1f1,historical,r13i1p1f1,60265.0,60265.0,days since 1850-1-1 00:00:00,standard
