,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
0,NorESM2-LM,1pctCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
1,NorESM2-LM,abrupt-4xCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
2,NorESM2-LM,hist-GHG,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
3,NorESM2-LM,hist-GHG,r2i1p1f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
4,NorESM2-LM,hist-GHG,r3i1p1f1,piControl,r1i1p1f1,0.0,452600.0,days since 0421-01-01,Hybrid-restart from year 1661-01-01 of piControl
5,NorESM2-LM,hist-aer,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
6,NorESM2-LM,hist-aer,r2i1p1f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
7,NorESM2-LM,hist-aer,r3i1p1f1,piControl,r1i1p1f1,0.0,452600.0,days since 0421-01-01,Hybrid-restart from year 1661-01-01 of piControl
8,NorESM2-LM,hist-nat,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
9,NorESM2-LM,hist-nat,r2i1p1f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
10,NorESM2-LM,hist-nat,r3i1p1f1,piControl,r1i1p1f1,0.0,452600.0,days since 0421-01-01,Hybrid-restart from year 1661-01-01 of piControl
11,NorESM2-LM,historical,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
12,NorESM2-LM,historical,r2i1p1f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
13,NorESM2-LM,historical,r3i1p1f1,piControl,r1i1p1f1,0.0,452600.0,days since 0421-01-01,Hybrid-restart from year 1661-01-01 of piControl
14,NorESM2-LM,piClim-4xCO2,r1i1p1f1,piControl,r1i1p1f1,0.0,485450.0,days since 0421-01-01,Hybrid-restart from year 1751-01-01 of piControl
15,NorESM2-LM,piClim-4xCO2,r1i1p2f1,piControl,r1i1p1f1,0.0,485450.0,days since 0421-01-01,Hybrid-restart from year 1751-01-01 of piControl
16,NorESM2-LM,piClim-control,r1i1p1f1,piControl,r1i1p1f1,0.0,485450.0,days since 0421-01-01,Hybrid-restart from year 1751-01-01 of piControl
17,NorESM2-LM,piClim-control,r1i1p2f1,piControl,r1i1p1f1,0.0,485450.0,days since 0421-01-01,Hybrid-restart from year 1751-01-01 of piControl
18,NorESM2-LM,piClim-histall,r1i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
19,NorESM2-LM,piClim-histall,r1i1p2f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1600-01-01 of piControl
20,NorESM2-LM,piClim-histall,r2i1p1f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
21,NorESM2-LM,piClim-histall,r2i1p2f1,piControl,r1i1p1f1,0.0,441650.0,days since 0421-01-01,Hybrid-restart from year 1631-01-01 of piControl
22,NorESM2-LM,piClim-histall,r3i1p1f1,piControl,r1i1p1f1,0.0,430335.0,days since 0421-01-01,Hybrid-restart from year 1661-01-01 of piControl
