,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
0,FGOALS-f3-L,1pctCO2,r1i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
1,FGOALS-f3-L,1pctCO2,r2i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
2,FGOALS-f3-L,1pctCO2,r3i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
3,FGOALS-f3-L,abrupt-4xCO2,r1i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
4,FGOALS-f3-L,abrupt-4xCO2,r2i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
5,FGOALS-f3-L,abrupt-4xCO2,r3i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
6,FGOALS-f3-L,historical,r1i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
7,FGOALS-f3-L,historical,r2i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
8,FGOALS-f3-L,historical,r3i1p1f1,piControl,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
9,FGOALS-f3-L,piControl,r1i1p1f1,piControl-spinup,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
10,FGOALS-f3-L,ssp126,r1i1p1f1,historical,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
11,FGOALS-f3-L,ssp245,r1i1p1f1,historical,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
12,FGOALS-f3-L,ssp370,r1i1p1f1,historical,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
13,FGOALS-f3-L,ssp585,r1i1p1f1,historical,r1i1p1f1,2310.0,12345.0,days since 0001-01-01,Spin-up documentation
