,model,exp,member,calendar
0,MIROC-ES2L,1pctCO2,r1i1p1f2,gregorian
1,MIROC-ES2L,abrupt-4xCO2,r1i1p1f2,gregorian
2,MIROC-ES2L,historical,r10i1p1f2,gregorian
3,MIROC-ES2L,historical,r11i1p1f2,gregorian
4,MIROC-ES2L,historical,r12i1p1f2,gregorian
5,MIROC-ES2L,historical,r13i1p1f2,gregorian
6,MIROC-ES2L,historical,r14i1p1f2,gregorian
7,MIROC-ES2L,historical,r15i1p1f2,gregorian
8,MIROC-ES2L,historical,r16i1p1f2,gregorian
9,MIROC-ES2L,historical,r17i1p1f2,gregorian
10,MIROC-ES2L,historical,r18i1p1f2,gregorian
11,MIROC-ES2L,historical,r19i1p1f2,gregorian
12,MIROC-ES2L,historical,r1i1000p1f2,gregorian
13,MIROC-ES2L,historical,r1i1p1f2,gregorian
14,MIROC-ES2L,historical,r20i1p1f2,gregorian
15,MIROC-ES2L,historical,r21i1p1f2,gregorian
16,MIROC-ES2L,historical,r22i1p1f2,gregorian
17,MIROC-ES2L,historical,r23i1p1f2,gregorian
18,MIROC-ES2L,historical,r24i1p1f2,gregorian
19,MIROC-ES2L,historical,r25i1p1f2,gregorian
20,MIROC-ES2L,historical,r26i1p1f2,gregorian
21,MIROC-ES2L,historical,r27i1p1f2,gregorian
22,MIROC-ES2L,historical,r28i1p1f2,gregorian
23,MIROC-ES2L,historical,r29i1p1f2,gregorian
24,MIROC-ES2L,historical,r2i1p1f2,gregorian
25,MIROC-ES2L,historical,r30i1p1f2,gregorian
26,MIROC-ES2L,historical,r3i1p1f2,gregorian
27,MIROC-ES2L,historical,r4i1p1f2,gregorian
28,MIROC-ES2L,historical,r5i1p1f2,gregorian
29,MIROC-ES2L,historical,r6i1p1f2,gregorian
30,MIROC-ES2L,historical,r7i1p1f2,gregorian
31,MIROC-ES2L,historical,r8i1p1f2,gregorian
32,MIROC-ES2L,historical,r9i1p1f2,gregorian
33,MIROC-ES2L,piControl,r1i1p1f2,gregorian
34,MIROC-ES2L,ssp119,r10i1p1f2,gregorian
35,MIROC-ES2L,ssp119,r1i1p1f2,gregorian
36,MIROC-ES2L,ssp119,r2i1p1f2,gregorian
37,MIROC-ES2L,ssp119,r3i1p1f2,gregorian
38,MIROC-ES2L,ssp119,r4i1p1f2,gregorian
39,MIROC-ES2L,ssp119,r5i1p1f2,gregorian
40,MIROC-ES2L,ssp119,r6i1p1f2,gregorian
41,MIROC-ES2L,ssp119,r7i1p1f2,gregorian
42,MIROC-ES2L,ssp119,r8i1p1f2,gregorian
43,MIROC-ES2L,ssp119,r9i1p1f2,gregorian
44,MIROC-ES2L,ssp126,r10i1p1f2,gregorian
45,MIROC-ES2L,ssp126,r1i1p1f2,gregorian
46,MIROC-ES2L,ssp126,r2i1p1f2,gregorian
47,MIROC-ES2L,ssp126,r3i1p1f2,gregorian
48,MIROC-ES2L,ssp126,r4i1p1f2,gregorian
49,MIROC-ES2L,ssp126,r5i1p1f2,gregorian
50,MIROC-ES2L,ssp126,r6i1p1f2,gregorian
