	piControl (ens.mem.)	historical (ens.mem.)	ssp126 (ens.mem.)	ssp245 (ens.mem.)	ssp370 (ens.mem.)	ssp585 (ens.mem.)	abrupt-4xCO2 (ens.mem.)	piControl (yrs)	historical (yrs)	ssp126 (yrs)	ssp245 (yrs)	ssp370 (yrs)	ssp585 (yrs)	abrupt-4xCO2 (yrs)
IPSL-CM6A-LR	Problem when loading more than 1	32.0	6.0	11.0	11.0	6.0	12.0	need manual check	165.0	86.0	86.0	86.0	86.0	300.0
MRI-ESM2-0	Problem when loading more than 1	6.0	1.0	5.0	5.0	2.0	14.0	need manual check	165.0	86.0	86.0	86.0	86.0	151.0
MPI-ESM1-2-LR	Problem when loading more than 1	10.0	10.0	10.0	10.0	10.0	1.0	need manual check	165.0	86.0	86.0	86.0	86.0	165.0
TaiESM1	1	1.0					1.0	500	165.0					150.0
AWI-CM-1-1-MR	1	5.0	1.0	1.0	5.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	151.0
AWI-ESM-1-1-LR	1	1.0						100	165.0					
BCC-CSM2-MR	1	3.0	1.0	1.0	1.0	1.0	1.0	600	165.0	86.0	86.0	86.0	86.0	151.0
BCC-ESM1	1	3.0			3.0		1.0	451	165.0			41.0		151.0
CAMS-CSM1-0	1	3.0	2.0	2.0	2.0	2.0	2.0	250	165.0	85.0	85.0	85.0	85.0	155.0
FGOALS-f3-L	1		1.0	1.0	1.0	1.0		561		86.0	86.0	86.0	86.0	
FGOALS-g3	1	3.0	1.0	1.0	1.0	1.0	1.0	700	167.0	86.0	86.0	86.0	86.0	152.0
IITM-ESM	1							200						
CanESM5	2	50.0	50.0	50.0	50.0	50.0	2.0	1000	165.0	286.0	86.0	86.0	286.0	151.0
CanESM5-CanOE	1	3.0	3.0	3.0	3.0	3.0		501	165.0	86.0	86.0	86.0	86.0	
CNRM-CM6-1	1	29.0	6.0	10.0	6.0	6.0	6.0	500	165.0	86.0	86.0	86.0	86.0	150.0
CNRM-CM6-1-HR	1	1.0	1.0	1.0	1.0	1.0	1.0	300	165.0	86.0	86.0	86.0	86.0	150.0
CNRM-ESM2-1	1	9.0	5.0	5.0	5.0	5.0	3.0	500	165.0	86.0	86.0	86.0	86.0	150.0
ACCESS-ESM1-5	1	3.0	3.0	3.0	3.0	3.0	1.0	900	165.0	86.0	86.0	86.0	86.0	150.0
ACCESS-CM2	1	2.0	3.0	3.0	3.0	3.0	1.0	500	165.0	86.0	86.0	86.0	86.0	150.0
E3SM-1-0	1	5.0					1.0	500	165.0					150.0
E3SM-1-1	1	1.0						165	165.0					
E3SM-1-1-ECA	1	1.0						165	165.0					
EC-Earth3	1	5.0	2.0	6.0	2.0	2.0	1.0	20	165.0	86.0	86.0	86.0	86.0	165.0
EC-Earth3-LR	1							201						
EC-Earth3-Veg	1	5.0	3.0	4.0	3.0	3.0	1.0	500	165.0	86.0	87.0	86.0	86.0	151.0
EC-Earth3-Veg-LR	1	3.0						501	165.0					
FIO-ESM-2-0	1							400						
MPI-ESM-1-2-HAM	1	2.0			1.0			780	165.0			41.0		
INM-CM4-8	1	1.0	1.0	1.0	1.0	1.0	1.0	531	165.0	86.0	86.0	86.0	86.0	150.0
INM-CM5-0	1	10.0	1.0	1.0	5.0	1.0	1.0	1201	165.0	86.0	86.0	86.0	86.0	150.0
MIROC-ES2L	1	10.0	3.0	1.0	1.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	150.0
MIROC6	1	10.0	3.0	3.0	3.0	3.0	1.0	800	165.0	86.0	86.0	86.0	86.0	250.0
HadGEM3-GC31-LL	1	4.0	1.0	4.0		3.0	1.0	500	165.0	86.0	86.0		86.0	150.0
HadGEM3-GC31-MM	1	2.0					1.0	500	165.0					150.0
UKESM1-0-LL	1	1.0	5.0	5.0	5.0	5.0	1.0	750	165.0	86.0	86.0	86.0	86.0	150.0
MPI-ESM1-2-HR	1	10.0	1.0	2.0	10.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	165.0
GISS-E2-1-G	8	40.0	1.0	10.0	6.0	1.0	5.0	6045	165.0	86.0	86.0	86.0	86.0	1150.0
GISS-E2-1-G-CC	1	1.0						165	165.0					
GISS-E2-1-H	2	23.0					2.0	1581	165.0					151.0
GISS-E2-2-G	1						1.0	151						151.0
CESM2	1	11.0	3.0	3.0	3.0	3.0	1.0	1200	165.0	86.0	86.0	86.0	86.0	999.0
CESM2-FV2	1	3.0					1.0	500	165.0					150.0
CESM2-WACCM	1	3.0	1.0	5.0	3.0	5.0	1.0	499	165.0	86.0	86.0	86.0	86.0	150.0
CESM2-WACCM-FV2	1	3.0					1.0	500	165.0					150.0
NorCPM1	3	30.0					1.0	500	180.0					80.0
NorESM1-F	1							200						
NorESM2-LM	1	3.0	1.0	3.0	3.0	1.0	1.0	501	165.0	86.0	86.0	86.0	86.0	500.0
NorESM2-MM	1	1.0	1.0	1.0	1.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	150.0
KACE-1-0-G	1	3.0	3.0	3.0	3.0	3.0	1.0	150	165.0	86.0	86.0	86.0	86.0	151.0
GFDL-CM4	1	1.0		1.0		1.0	1.0	500	165.0		86.0		86.0	150.0
GFDL-ESM4	1	2.0	1.0	3.0	1.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	150.0
NESM3	1	5.0	2.0	2.0		2.0	1.0	200	165.0	86.0	86.0		86.0	150.0
SAM0-UNICON	1	1.0					1.0	700	165.0					150.0
CIESM	1	3.0	1.0	1.0		1.0	1.0	500	165.0	86.0	86.0		86.0	150.0
MCM-UA-1-0	1	2.0	1.0	1.0	1.0	1.0	1.0	500	165.0	86.0	86.0	86.0	86.0	500.0
