Year	tas
1850	-0.007547201798047354
1851	0.006403543769920361
1852	-0.01645076049396721
1853	-0.01782955111099227
1854	-0.02335483457426335
1855	-0.019742312626306102
1856	0.019067608380794354
1857	0.0018772385491843124
1858	-0.009961841447591269
1859	0.012110231491078594
1860	0.013843704401949708
1861	-0.044009065342436315
1862	-0.013100343651217372
1863	-0.02896298123272345
1864	-0.05882611811188099
1865	-0.017310601348128785
1866	-0.033546011794612696
1867	0.005543089972661619
1868	-0.02364893267451862
1869	0.014909617144439835
1870	-0.020333010091235337
1871	0.0036810001227536304
1872	-0.029718665809355116
1873	-0.061293623825406485
1874	0.009713457028453831
1875	-0.0196563536510439
1876	0.028091487524648073
1877	-0.00114972327793339
1878	-0.011325807512378105
1879	0.021098033967575702
1880	0.0240629888706394
1881	-0.0029513985465996484
1882	0.01813574955627928
1883	-0.01942981393011678
1884	-0.09680942762605582
1885	0.019497066460587575
1886	-0.022685287681099453
1887	-0.07263292723115455
1888	-0.03707155574562648
1889	-0.03955929341634601
1890	0.02822531211012347
1891	-0.035320682633255274
1892	-0.014480909468431946
1893	-0.02786578537194373
1894	0.05463191800964751
1895	-0.003415403688279639
1896	0.04410781035232958
1897	0.002230988605958828
1898	0.029022804780140632
1899	0.03218918369304902
1900	-0.03173863677375266
1901	-0.027288173861791165
1902	0.0965981328670864
1903	-0.08004830962249798
1904	-0.03199406279549066
1905	0.005127470926254318
1906	0.008827006519481984
1907	0.047385760782674424
1908	0.04230475909440656
1909	0.07714096853152341
1910	-0.03039641173330665
1911	0.04565004704221565
1912	-0.02588555582178742
1913	-0.0212745365205933
1914	0.02702414377927198
1915	0.039901920872239316
1916	-0.007697844459414682
1917	0.012085891311244268
1918	-0.030324788219843413
1919	-0.016651028898024833
1920	0.0504876157142462
1921	0.04905244984939827
1922	0.04810597739503919
1923	0.028877804959847708
1924	0.025248435943012737
1925	-0.015456006186127524
1926	0.049575333988855164
1927	0.029299260059815424
1928	0.05464622466183755
1929	0.06343635924832824
1930	0.07598040101606784
1931	0.02494138347799435
1932	-0.011509917940486503
1933	0.022410418804327037
1934	0.10756713782558336
1935	-0.006166685177163345
1936	0.0425979163940724
1937	0.01721479882036192
1938	0.0499144121576478
1939	-0.005772348379821324
1940	0.037887748478738104
1941	-0.04126182558690061
1942	0.027663539982142993
1943	0.032725219386747995
1944	0.048810155152693824
1945	-0.029305013706164118
1946	-0.0007539036652701725
1947	0.0034792251776707417
1948	0.06187114539562799
1949	0.03613924261867396
1950	0.05297741004295631
1951	-0.008747317282200129
1952	0.0380689812897117
1953	0.050727108619014416
1954	0.05286737974012112
1955	-0.022395329583730472
1956	0.0783368596745504
1957	0.060328203794881574
1958	0.02108563264454233
1959	0.009706775800395917
1960	0.007251886422125153
1961	0.020530551768160876
1962	-0.001784928699635202
1963	0.0026384030317672114
1964	0.026968198425777246
1965	-0.012589561931690696
1966	0.057297986515948196
1967	-0.025332441151192597
1968	0.07231164034629955
1969	-0.005073204324105518
1970	0.06607137508314054
1971	0.05690879101172186
1972	0.0639309291688619
1973	0.11495951653029124
1974	0.06530942950990948
1975	0.01990328021759069
1976	0.0026709198418757296
1977	0.08917951668041724
1978	0.059954805659970134
1979	0.06977457120012787
1980	0.08188564744506266
1981	0.08554815102371549
1982	0.09088884990529777
1983	0.010640640043277472
1984	0.0827281874545065
1985	0.0540843929261996
1986	0.012938253775814701
1987	0.15411178423920546
1988	0.13770195334649316
1989	0.1164027713696214
1990	0.02948762295892493
1991	0.04456128802553394
1992	0.020470805526599634
1993	0.02524331506009503
1994	0.04918853300540604
1995	0.10043971291054277
1996	0.0800683932791344
1997	0.0939952007728948
1998	0.14043375457453067
1999	0.12930219328268322
2000	0.10629119836238488
2001	0.08824130970106125
2002	0.14256415776327458
2003	0.17227102496406133
2004	0.09179454859196312
2005	0.12361518328953025
2006	0.173071765938289
2007	0.06862060741218556
2008	0.15152724034913945
