year,tas
1850,-0.06024933584046721
1851,-0.12589303278286934
1852,-0.20776370350921525
1853,-0.11930687709292442
1854,-0.08766016122797282
1855,-0.06782982658501169
1856,-0.14007040898468404
1857,-0.1523240241011763
1858,-0.06173474081532504
1859,-0.12740800166540112
1860,-0.15503927383599603
1861,-0.08510678723587262
1862,-0.11473762526384235
1863,-0.07098235725243285
1864,-0.12610383792508628
1865,-0.13918935018472212
1866,-0.14497256127503988
1867,-0.11229202862119791
1868,-0.10650761021440758
1869,-0.10531194665816201
1870,-0.04965144059036675
1871,-0.09778827373327204
1872,-0.09367137454279373
1873,-0.18735656978509496
1874,-0.13890799599278125
1875,-0.10335044272835603
1876,-0.11472725147791607
1877,-0.03856795400974988
1878,-0.12806953542366273
1879,-0.08459210658315897
1880,-0.08885124635457942
1881,-0.095340487694898
1882,-0.14913742675832964
1883,-0.14963263342349364
1884,-0.2108773779339117
1885,-0.18885538754216213
1886,-0.04409380976818511
1887,-0.09638627651816023
1888,-0.10907456727949238
1889,-0.07435067937728945
1890,-0.08752060136873752
1891,-0.033902745972284265
1892,-0.08766258086041034
1893,-0.08786873177751886
1894,-0.04274424544263411
1895,-0.1351598272751744
1896,-0.11215943561512631
1897,-0.14455976004927606
1898,-0.10306936479952356
1899,-0.12437990767369911
1900,-0.09122863428757455
1901,-0.07370433307687563
1902,-0.1407079515266787
1903,-0.17151065665376564
1904,-0.13539727993565975
1905,-0.12313607183818931
1906,-0.12526461968388958
1907,-0.17690953072388993
1908,-0.14874558390511083
1909,-0.12187898751943749
1910,-0.08829661008246603
1911,-0.14014073043858843
1912,-0.19150176676163255
1913,-0.15544750290285947
1914,-0.1438668417002873
1915,-0.1169118719940343
1916,-0.16230632831377534
1917,-0.14440243032703393
1918,-0.1216837788189764
1919,-0.10178972396312247
1920,-0.13230698147037856
1921,-0.10015508478193169
1922,-0.06259703871103284
1923,-0.09277740417059022
1924,-0.05435267310741665
1925,-0.10047969177799132
1926,-0.15908690036775397
1927,-0.07148413581433033
1928,-0.08526993539447858
1929,-0.10889604486635562
1930,-0.0763604950158765
1931,-0.10501021636571295
1932,-0.04678805524360996
1933,-0.1032919175603979
1934,-0.11786584184034155
1935,-0.011610640220624191
1936,-0.1171669952988168
1937,-0.14662529689786652
1938,-0.10783301323175465
1939,-0.06939501907322665
1940,-0.01542932434267641
1941,-0.1325436029253524
1942,-0.14688086762885177
1943,-0.0960908134974261
1944,-0.12641316381638035
1945,-0.13759340768359607
1946,-0.11152792174596016
1947,-0.09238666291179243
1948,-0.13962938641736855
1949,-0.09794194520208066
1950,-0.0858423299633273
1951,-0.13631068348951203
1952,-0.09705387969779622
1953,-0.1349745638043487
1954,-0.15240188643485908
1955,-0.06812896441124394
1956,-0.09485378079301654
1957,-0.08323625388101163
1958,-0.08096357129181797
1959,-0.14116422312821442
1960,-0.0998993832386077
1961,-0.029982683961350176
1962,0.0015300008551548672
1963,-0.060607206648057854
1964,-0.14979534946343165
1965,-0.12812442800748158
1966,-0.07792828013816688
1967,-0.11160458532356188
1968,-0.11014375068322124
1969,-0.11152826342055278
1970,-0.08332477455917342
1971,-0.0891323403729416
1972,-0.13243076617169436
1973,-0.12555591335808458
1974,-0.09739995670270218
1975,-0.06716727588951699
1976,-0.05457250907386424
1977,-0.10420998260178749
1978,-0.08847119942646486
1979,-0.045096174871559924
1980,-0.10130963950393834
1981,-0.03995561659382929
1982,-0.04286433205533058
1983,-0.13068410854867807
1984,-0.09948445694817565
1985,-0.06465625263246011
1986,-0.08300016222585782
1987,-0.0914753368251695
1988,-0.06777226545170834
1989,-0.04489214108838269
1990,-0.05318812383779914
1991,-0.061857551772277475
1992,-0.13120204941390057
1993,-0.06315478128749419
1994,-0.09217654506034023
1995,-0.0759360358615595
1996,0.009691259682142572
1997,-0.04608613962102481
1998,0.03527717050508272
1999,-0.062299930724577735
2000,-0.035893333617593726
2001,0.022712054487669775
2002,0.014412934156212032
2003,-0.09620715288878046
2004,-0.028816603410177777
2005,-0.057611719736542
2006,-0.029104653098102062
2007,0.015011625170700427
2008,-0.04462030771617265
2009,-0.03936717246585886
2010,-0.07355543748053606
2011,0.05681438580302256
2012,-0.009824350463418341
2013,-0.021949132361271495
2014,-0.03125319115389402
