year,tas
1850,-0.06979398544530113
1851,-0.0828048413420106
1852,0.01408592207565107
1853,-0.0201584405768358
1854,-0.055488933406479646
1855,0.044419179419946886
1856,-0.009608142372258044
1857,0.029442239003572013
1858,0.017878250749049585
1859,0.03299105709544392
1860,-0.052869227423855136
1861,0.046940516641654995
1862,0.031028735017059716
1863,0.005839776862103463
1864,0.045372359730265543
1865,-0.044923413420349334
1866,-0.02251832726892644
1867,0.0037339803616873724
1868,0.02765090217070565
1869,-0.057798988655861194
1870,-0.009325452830694303
1871,0.03426451800618224
1872,-0.03203339264968008
1873,0.011876404644738159
1874,0.00540734696068057
1875,-0.019197011451240087
1876,0.025727794460749465
1877,0.029608538902039072
1878,0.0038272052921684008
1879,-0.008560506742298912
1880,0.012607237019722106
1881,0.01849805021930706
1882,0.029835372297782214
1883,0.03363685921448223
1884,-0.06552943637086628
1885,0.0018837790292423051
1886,-0.05216402236732165
1887,-0.045789945419585365
1888,-0.006834461398682379
1889,0.03506173747859975
1890,-0.06553565456442811
1891,-0.07914097616122717
1892,0.0010934384050074186
1893,0.0035043042325924034
1894,0.045284122832811136
1895,0.0963009852578125
1896,-0.012983503246744021
1897,0.00531479090858511
1898,0.018832322212176678
1899,0.0034705258722169674
1900,0.05446176189269636
1901,0.025445439586974317
1902,-0.035192820927875346
1903,0.006881304179103154
1904,-0.04746344702772376
1905,0.043356080773776284
1906,0.03222661266585192
1907,0.08952884203762324
1908,-0.010978598421559127
1909,0.016950767203582018
1910,0.021951803965123418
1911,0.025620852953807116
1912,-0.03737513616067645
1913,-0.04069075074903594
1914,-0.03754735659254038
1915,0.03485689346092613
1916,0.010192596186584524
1917,0.04046527183214721
1918,-0.003231134284021664
1919,0.05863844780077443
1920,0.002872463123196667
1921,-0.010397915774888133
1922,0.048174179286149865
1923,0.0680335141534556
1924,0.02703404686212707
1925,0.01559637200347197
1926,-0.03305232635915445
1927,0.00458379040020418
1928,0.02604222557306457
1929,0.041136156892150666
1930,0.010573931132228154
1931,0.05820810814429933
1932,0.08909037464025005
1933,0.08307449967895764
1934,-0.020708175032098097
1935,0.0021877842733033503
1936,0.0690267346502651
1937,0.03132061683970733
1938,-0.0330032474047357
1939,0.05551679219280459
1940,-0.03470668246461628
1941,0.01459547905068348
1942,0.03122714107973934
1943,0.03740682523545047
1944,-0.02774167061784283
1945,0.008049834787016152
1946,0.026559874652150484
1947,0.00835659915458109
1948,0.08165809364635379
1949,0.1058375193974257
1950,0.0421229197880848
1951,0.06936667246361594
1952,0.044418893867316456
1953,0.02822270641581781
1954,0.0005483632545519868
1955,0.026512467893837766
1956,-0.02441216949188174
1957,0.059004240689148446
1958,-0.008486595676345132
1959,0.009831225251502929
1960,0.007938797998747305
1961,-0.03675557175728272
1962,0.04090865461790827
1963,0.056930299523685335
1964,-0.012252748998946572
1965,-0.02428190884529613
1966,0.07688846117827097
1967,0.003415092572765843
1968,0.02505849227611634
1969,-0.01324499678941038
1970,0.09067003223998427
1971,0.07879050058858184
1972,-0.012202136512883044
1973,0.0455571924496212
1974,0.03638093295165845
1975,0.023057125561820158
1976,0.05991757110530216
1977,0.033596810118865506
1978,0.035247184021784506
1979,0.04570651955799576
1980,0.08063975708461157
1981,0.04076058165668428
1982,0.00555182470031923
1983,0.053677710964223024
1984,0.008781199888971969
1985,0.0471698583315856
1986,-0.005091034353597479
1987,0.08131401166519936
1988,0.11368971052434063
1989,0.1399583455960851
1990,0.06669818198844268
1991,0.09112236127458573
1992,0.012079933292739042
1993,0.04217417259735612
1994,0.06268808861295838
1995,0.06947628491542446
1996,0.08365999674259683
1997,0.09838571208797475
1998,0.14260300727738695
1999,0.049197396056285925
2000,0.07373786492797763
2001,0.1711338492615937
2002,0.11453410945529185
2003,0.12375593629593595
2004,0.11042357923270174
2005,0.16650847134519609
2006,0.15567473111082109
2007,0.08137094994117433
2008,0.077827053633996
2009,0.15100320058326133
2010,0.10448278975815128
2011,0.10685705733624218
2012,0.15084444498484118
2013,0.2279303229344123
2014,0.15608692744007158
2015,0.13654915587545702
2016,0.17756091700596244
2017,0.1407415186214962
2018,0.13032749959864987
2019,0.20179339683221542
2020,0.09109978205890457
2021,0.18249667232981892
2022,0.18058886384307016
2023,0.1515571155286466
2024,0.15013253492458034
2025,0.13853798226131175
2026,0.2316382504815806
2027,0.20071064988223952
2028,0.19308660980499326
2029,0.16217455720249063
2030,0.22881717211578234
2031,0.2022560098726558
2032,0.16082794548094625
2033,0.12824385969599916
2034,0.22788274895657423
2035,0.21240715967468304
2036,0.186795319355042
2037,0.21204956054680224
2038,0.180425908336872
2039,0.26482055664058635
2040,0.1735139192686006
2041,0.27218030955680206
2042,0.25805409888698705
2043,0.25479156076090703
2044,0.16625223653932153
2045,0.2270162169573382
2046,0.2590592559395759
2047,0.2535428483518558
2048,0.2912290565209332
2049,0.2104208415827884
2050,0.27443994809505057
2051,0.29349587636454544
2052,0.27640801960376393
2053,0.34870643929264133
2054,0.2506923393353304
2055,0.23550453499569812
2056,0.25493406727389356
2057,0.26483970328558826
2058,0.3137942463077934
2059,0.3222204422623349
2060,0.28129291663782396
2061,0.26311349529106565
2062,0.3146811790988977
2063,0.26839245103809617
2064,0.27468144176162923
2065,0.3286372438195144
2066,0.31305262735446604
2067,0.3002854104237258
2068,0.2676611480724773
2069,0.3358108813141598
2070,0.251240067155436
2071,0.2549399681613522
2072,0.2090854084463558
2073,0.31413545791411934
2074,0.2995014849100812
2075,0.35617613910000046
2076,0.3027079183454475
2077,0.3276797443546684
2078,0.35743956683433
2079,0.29353166136019126
2080,0.3369698198672495
2081,0.3078660604398351
2082,0.369726445446247
2083,0.372800025417348
2084,0.3768107682536197
2085,0.27262904337004557
2086,0.3259853916951556
2087,0.37124237478593614
2088,0.3294846750906686
2089,0.35802884872646246
2090,0.3797721632865887
2091,0.3071308794413312
2092,0.28656453642418
2093,0.4405974589308812
2094,0.3382808821168055
2095,0.3311280634631544
2096,0.3700897302690578
2097,0.2743223091020468
2098,0.3305290828338343
2099,0.3533011324111044
2100,0.2878687042914976
