,year,ACCESS1-0,ACCESS1-3,CanESM2,CCSM4,CNRM-CM5,CSIRO-Mk3-6-0,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,GISS-E2-H,GISS-E2-R,HadGEM2-ES,inmcm4,IPSL-CM5A-LR,IPSL-CM5B-LR,MIROC-ESM,MIROC5,MPI-ESM-LR,MPI-ESM-MR,MRI-CGCM3,NorESM1-M
0,1850,,,0.14873725094363804,0.18158740367921256,-0.1602405877622696,0.010120171331968571,,,,-0.0060515964760186405,-0.15487701318702352,,,-0.2846199606135989,,0.08079846988959787,0.042541937425846915,0.15667713983644396,0.011371597408475972,0.0876035856954383,0.07292236192881385
1,1851,,,-0.026669284032634445,-0.07262844749956403,-0.034762427465122495,0.035820877546744,,,,-0.016689099692828044,-0.08053294239531184,,,-0.18555356286842567,,0.00032224142860495797,0.05030297753870465,0.017796955290049155,-0.026511542710407728,-0.036384598381585184,0.09917601440505289
2,1852,,,0.019901294902334665,-0.08658947580589041,-0.056404493010086376,-0.16737147916122835,,,,0.23799267977602093,-0.10393373155536563,,,-0.1753509820362291,,0.0509368655925775,0.012237088684300235,-0.025223129205963295,-0.04863298647993534,0.07164628227699152,0.028203270408132232
3,1853,,,0.023085313266872305,0.005081106422164791,-0.2957913704045533,-0.15464746642167618,,,,0.166085592213633,-0.0803181315358027,,,-0.2345856502057922,,0.03479847296828223,-0.1373315899770627,-0.06406350519941545,-0.04779458055004003,-0.021127591862621087,0.11061616749729816
4,1854,,,-0.30095709744593313,0.24630345605450585,-0.026275664886468892,-0.009596465339797314,,,,0.09186037670299727,-0.06860164945650687,,,-0.23088634914750306,,0.002353479372394128,-0.002053449406361891,-0.2267148611389684,-0.06763484281570459,0.00992600128614838,0.1772597031401243
5,1855,,,-0.17792868097481043,0.16268188799452385,-0.03661602769957066,-0.046676752833699195,,,,0.23639830654908917,-0.18667741507949492,,,-0.11950738676658934,,-0.04741253880744475,0.11568499162122481,-0.18996525886549193,-0.02229075247792813,-0.016605076784159265,0.07894352268045525
6,1856,,,-0.1415691074840304,-0.000646662838020895,-0.1474320908501332,-0.16148626838434982,,,,0.07591700096507756,-0.16127165871599541,,,-0.1698669773599698,,0.05896760191094576,0.036370982064541826,-0.1414048954347812,0.04439778093390731,0.06331866884419139,0.23047551285655077
7,1857,,,-0.042931471230077595,0.1607804698443753,-0.04139519939105919,-0.02281291308957384,,,,0.18593099256157644,-0.04552087069170657,,,-0.13194558718916963,,-0.04669391411912194,-0.041103532487430455,-0.19560933781761003,0.1411287840926232,0.016740382288843572,0.060766250423488585
8,1858,,,-0.16909468593976232,0.1687820285083096,-0.023236133724860136,-0.05031049994476647,,,,0.1675422247263264,-0.09968187900825305,,,0.01684180911218769,,-0.011862132305774875,-0.08286735368259737,-0.252119748410799,0.08403690583823675,-0.1196577776620229,-0.04326366127716652
9,1859,,,0.05723097539735786,0.08128543586283385,-0.026704630824326864,-0.08411600197441932,,,,0.06524140660027516,-0.14603981821629639,,,0.05334640127126285,,-0.01237198356293577,-0.010664106355500996,-0.30895498661007,0.08359251431345341,-0.08179240476002037,-0.03585066920546094
10,1860,,,-0.008214796065317415,0.15822229089721065,-0.10878711387513834,0.03190711563032552,0.20530206444182006,,,0.1443421135990782,-0.1761461119941532,-0.02310222655079907,,-0.04709032866325761,,-0.011566008164147101,-0.004084615492601189,-0.0860443689227901,0.09333095236956909,-0.06686110681755361,0.14255553955737765
11,1861,,,-0.13278015661602377,0.17057154899167684,-0.07572189433386253,0.0618219265671906,0.2544630511485258,-0.0005735647546694991,0.10243226230959304,0.07299728929153444,-0.13119497057902474,-0.11364703471051477,,-0.08965368293044124,,0.061796666352031335,0.02949836457340637,-0.1473111391457558,0.23773363095564254,-0.07685538202247,0.13053193040088093
12,1862,,,-0.062265337449282886,0.1784458900821945,0.010069199403750978,-0.036922429622049203,0.11370688368447887,0.10121588353251987,-0.018117433999122252,0.12041474551380588,-0.09367314830876279,0.04486704051092509,,-0.05764016101974306,,-0.04177472230600266,-0.06530696313824039,0.05095929784108344,0.11165817477410275,-0.13986207077335341,0.04896186945218286
13,1863,,,0.07155036204115915,0.04627723161706453,-0.003830546715208577,-0.08232324075327992,0.3418135949475326,-0.039777891415887404,-0.11512682600019583,0.16851381714839786,-0.08279421141311996,0.0846520094505491,,-0.020639198809213923,,0.052866165539290785,-0.1529763412365612,0.0967685072493549,0.15400417890285284,-0.12966982629013746,0.18257103647600348
14,1864,,,0.14227696701266265,-0.08826743585325408,-0.01106166480060014,-0.1339710743902467,0.19695121658460807,0.13318675127714805,0.00606965979476435,0.06777344699346993,-0.04643266909549977,0.24442774507280518,,-0.14148585195605207,,0.18419075144497582,0.1182570771209838,0.16831327524735756,0.03709788355614864,-0.10579760948641795,-0.007585535958302747
15,1865,,,0.11871834457656516,-0.03629484376231759,-0.26788925007668307,-0.10646782715779554,0.0439161982259874,0.3110971806128467,0.040416910744182584,0.11163163114154531,-0.08548991076438656,0.1909641518596473,,-0.2807945108609641,,0.0560026238392629,0.2522394925664611,0.04211168711638941,-0.11454275370671194,-0.11832247020955251,-0.11095541600830536
16,1866,,,0.2668358150975723,0.2950839689099748,-0.22763059675987907,-0.0753855734727381,0.23707345091798354,0.21937562885996365,-0.1598099523085202,0.16346615318727964,-0.06574502533768141,0.26227073320238703,,-0.14372009656999357,,0.11012915732760908,0.21121250512618972,0.03283927641716654,-0.20293658469509596,-0.03086304155718364,-0.025833882335377194
17,1867,,,0.041722678706182,0.204590518315093,-0.03716059794274887,0.06463454057749013,0.18554291784833848,-0.009930497331955168,-0.11242740845851987,0.173311511703445,-0.18583853867333266,0.20625115208441075,,1.2770984759546966e-05,,0.05512515967456469,0.1279518971382843,-0.15943966294376352,-0.11347164144552542,0.0045874845293045335,0.03819552139908904
18,1868,,,-0.11279410473039762,0.09050180446960862,0.030092562213598045,0.11352543930659037,0.09583611541827716,-0.08721112824189126,0.08039452510584918,0.17250508522531638,0.09583028203187298,0.06598768615951917,,0.05013719625342625,,0.0586662733953878,-0.08809172729433828,-0.09680363577981238,0.054384827673222474,-0.0807502052354758,-0.017851984095929974
19,1869,,,0.15701053520732425,-0.14689444551526137,-0.07189758296404558,0.08122096672990227,0.018172444358016515,-0.12471283417183834,-0.06532691616149584,0.11976535929367044,-0.04541503006183789,-0.10447863352993854,,-0.01949909266831093,,-0.15773082804939714,-0.10792178068667584,0.05710050206025019,0.2124284401646167,-0.04728150006702855,0.027022534229603892
20,1870,,,-0.10114963764804928,-0.03263642693586429,0.11073113069140651,0.06907762689557484,0.1989908573320837,-0.00945665280924396,-0.12001030776845296,0.19686307081779775,-0.16923024222255476,0.1016320729009374,,0.006310206168287397,,-0.03838307577755722,0.10862129977094957,0.1358034357982544,0.061256344955349165,-0.1346342506525139,0.06869809374831799
21,1871,,,-0.07303085558137581,-0.07858901044239296,0.12718768209152204,0.07296501202941841,0.016707649641582452,-0.015620933185859817,-0.1345779749787689,0.2004203415579663,-0.010359744909892832,0.04080582749001381,,-0.11836613562634084,,0.04988057221542387,0.05718125896417236,0.1648827806746962,-0.0035264801016694908,-0.10500732456595882,0.12928371399135255
22,1872,,,-0.0753081199815346,0.03481798635955667,0.01188618565936117,-0.03239182494894802,0.07449569030297028,-0.03753048032690229,0.15396030161274019,0.2559265172765969,0.05141415778598442,0.017226943285572116,,-0.02922455804372004,,0.03115894323645574,-0.12607747699620178,0.03933036712740122,0.14019572946477318,-0.13386600593708609,0.0029949606947945115
23,1873,,,0.060886510016507564,-0.038908601070493876,0.054407902272568615,0.12159590072101398,0.020861256535583822,-0.12416199899710578,-0.038032057802264346,0.1581924299817541,-0.09173602424444965,0.09088692176284782,,-0.13141372841308496,,-0.03144621347161822,-0.13019704638016402,-0.14219567927046234,0.07811718721945109,-0.06438344281452557,0.0028960822594771493
24,1874,,,-0.16279740715060723,0.11872024363409583,-0.08593414909743788,0.24757000499742907,0.02346487999420916,0.0013197010561154417,-0.1364214750102017,0.10651037280646253,-0.058938734594345274,0.1380145913980677,,-0.05675356413281596,,-0.015608372054269098,0.10468421486605559,-0.0707200359984228,-0.09322042642850402,-0.16154635440558066,0.039301713554766686
25,1875,,,-0.03468198846159387,-0.013054725232083411,-0.10702770802148198,0.2529041797787271,-0.1012522724520222,0.005821578453600625,-0.26273101428181267,0.030148752329657982,-0.026164169675904528,0.1264076213518857,,-0.2609759050021238,,-0.03937310781304691,0.13567543349370045,-0.13353153088944733,-0.09475881971686605,-0.11163117429417627,0.21411090789947498
26,1876,,,0.10782950849709622,-0.04727993055708442,0.08611080631570853,0.08393501165945241,-0.14757342603818244,-0.06689826668591997,0.06316109701422692,0.13247938832640935,0.09281753726976957,0.11093821323689948,,-0.11324097196461301,,0.045411895746411045,0.10509416471908661,-0.31176366269357697,0.07626265447982011,-0.1636835815960955,-0.02198626609891531
27,1877,,,0.02640464978531838,0.06010637468109896,-0.02888870152228029,0.043505839278259545,0.1883232993857285,-0.18946041087885657,0.06871168612881118,0.015621436280347983,-0.03110424556460077,-0.05019464883463931,,-0.19477856955327966,,0.10765722384928303,-0.09303034522162051,-0.1663882858654835,0.06517586727089716,0.06297164170168666,-0.1559294067746381
28,1878,,,0.07853214856506727,0.19174329671499135,-0.10806437945256983,-0.13666861449749151,0.11781209189864866,-0.06448950461651927,0.24410055088022609,0.10320757443339001,0.0389521453870411,-0.05747184345897163,,-0.17760111416077404,,0.20465135695125808,-0.19323744185092923,-0.0922702704959402,0.12201616972703089,0.06451638220475067,0.09632698165348302
29,1879,,,-0.07388378302365879,0.16967060443658016,0.005715705790816844,-0.15076142562830208,-0.025819773533660998,-0.1608690619648401,0.07586615668546377,0.03450291657176077,0.06589909019537428,0.19521639758857814,,-0.03180682738459026,,-0.06112616227806367,0.16154274565074772,-0.23170291173432944,0.09745475668673007,-0.16220938442419605,0.16783139575142866
30,1880,,,-0.11444716613382666,-0.11829745005205493,-0.08502177097831293,-0.030868389491000528,0.04110926450138846,-0.2516759560435343,-0.023223418038211804,0.1634260630739981,0.12939845733122585,0.31132725373774617,,-0.059960504170196216,,0.11630569298605833,0.1986746182792219,-0.17957665064197287,0.06389572281704545,-0.04541579056369182,0.0945022507987571
31,1881,,,0.0008864092073473245,-0.13275062690685674,0.025588978931788298,-0.028669086055826853,0.19619762215212372,-0.11729315339216234,0.18488054141640609,0.12310734585641371,0.07958303701530814,0.33773030707485224,,-0.17510477417881337,,0.19666976354311924,0.2700392482220131,-0.08527347176240359,0.12131531027849138,-0.14094847724789952,0.05827367873228675
32,1882,,,-0.20825142300042487,0.08060780100016524,-0.3412385044734384,-0.08691920377919923,0.0418478057381436,-0.345681530917714,0.10783698976474244,0.1433081994074732,0.1014280055694052,0.13934627373506392,,-0.09226955001291248,,0.10256346309808972,0.2357214319447113,0.042515068731344446,0.13096651912147186,-0.22269792512356956,0.2513158309421638
33,1883,,,0.06449244686550078,-0.08574486607206215,-0.12018189052199507,-0.1365644733119308,-0.06659811564856355,-0.3500247135377985,-0.11628890357053832,-0.1584387674249364,-0.04953270521414664,-0.05226846538329347,,-0.11021673985406039,,0.08228839491343697,0.0733161055311527,0.12327864775588765,0.02994418980585671,-0.08585745891671276,-0.024876791946324556
34,1884,,,0.1168264848220312,-0.08042467448181301,0.06601425194407795,-0.03605150303610977,-0.11278744398838036,-0.10673663553190199,-0.17563057450133757,-0.08711885465417879,-0.11830114756603688,0.013256575434518358,,-0.20244617181634983,,0.08479286845956813,-0.10010199332167502,0.05880529022180592,-0.12610557475231626,-0.022048613576672593,-0.06079982653269536
35,1885,,,0.009891504281706487,-0.18487681038875925,-0.0905017065234649,0.14166230819210224,0.13293728592825443,0.014781490227936955,-0.01589488215948942,0.1103310416953944,-0.014168106635645883,-0.006360939882631644,,-0.19222628483844195,,0.10085962394710293,0.11435079822830344,0.19496802927585577,-0.08171301910694984,-0.15706314748557404,-0.02854105195028586
36,1886,,,0.04400058830711623,0.005807573356529261,0.0824721974645023,-0.032265486427044715,0.04819129009360129,-0.16062495071319122,-0.032064596850255145,0.02587894969761187,-0.08163239947171891,-0.11074257378865138,,-0.17183692426286545,,0.14067086494483988,0.142112551382521,0.26840140689274905,-0.03433965641830522,-0.09040174844442905,0.11009951825781815
37,1887,,,-0.025460627317144324,0.3733401323869447,-0.08189277980633722,-0.16344812887658622,0.07914512596989909,-0.16052655141508132,0.18472006238696703,0.10872134435711289,-0.0331024606786305,0.20457912481191845,,-0.08408212018558374,,-0.09967042718907843,0.13218567970055461,0.13373997519533617,-0.02458835151340305,0.01088877073981831,0.1882263956897312
38,1888,,,0.06847153331478822,0.1551844689656474,-0.1416671363432827,-0.1350826079983184,-0.11680956999140119,0.011784323511254302,0.10474298295661649,0.10543751831332951,-0.15676903471830228,0.050479267881528456,,-0.17051408848756933,,-0.07449146995913429,0.09318842807730501,-0.012243276811285925,0.11712460866035168,-0.001285025614886845,0.144918705843061
39,1889,,,0.05993479394510967,0.1804933590356888,-0.09038466474516596,0.05368650804557716,0.009446603540567977,-0.07115790422443699,0.011902234277268525,0.051964211729697216,-0.08001952594822233,-0.05334867437608056,,0.02425104063491705,,-0.021907121069120496,-0.16483529193210875,-0.0975598735700004,0.12174499930819332,-0.09368947988615793,-0.09579596278009384
40,1890,,,0.087900693308051,-0.14113980394293107,-0.05718533945571784,0.06743994358036284,0.1746494286203158,-0.11342952754423119,-0.2358964753884152,0.03572117656966618,-0.05018196477068796,-0.15780813349197526,,-0.056190772656084645,,-0.13123320942254474,-0.43944744550988235,-0.08136667243616871,0.12831742142831304,-0.03397549281301333,-0.17821359276365548
41,1891,,,0.010117754063571599,-0.2828884569687069,-0.04980785764447103,-0.0972696424650512,0.08587383961086759,-0.2045724792541212,-0.20926980958953792,0.17267660189659084,-0.02922699897875125,-0.2385839957524255,,-0.0037289761970556584,,-0.02787460830081842,-0.16427617841824446,0.08223151653830832,0.17654213263279467,-0.04202757254599522,-0.29371246227080156
42,1892,,,-0.040232100583473714,0.02759550981332798,-0.19691697590933466,-0.12453857403453705,0.12343413310379053,-0.04515351738251672,-0.07960908106561695,0.049323946743518816,0.010158000504066456,-0.1634544443851851,,-0.14433799702649158,,0.08151994675233715,0.22320002899664737,0.009810285356161741,0.04764501521267159,-0.007084091092983226,-0.3271591951901046
43,1893,,,-0.15845003612734188,0.17410773825363826,-0.3781380899976413,-0.16631992723885383,-0.10330311996166391,-0.09559532161950286,0.010944351125043467,-0.025518477657547667,-0.08972143491026648,-0.017103751365813602,,-0.03414207802884658,,0.010902854880944432,0.13286739167701428,-0.12992328136260656,-0.08852066429944909,-0.1360455186883108,-0.08694485611276728
44,1894,,,0.10410255390612481,0.060411284021576916,-0.11820664209452023,-0.005553129436332897,0.024192987788965115,-0.10989577166144822,-0.036471411392376564,0.05468101290141873,-0.10399705639916847,0.15839527120976774,,0.008819557576662713,,0.01228486294079243,0.03735983253564267,-0.019698874730128796,0.02329741536098262,-0.09336207240845965,0.07854644749850531
45,1895,,,-0.23022324519931486,-0.06728416935027001,-0.0581554400532007,0.06729387281139765,-0.12295018665931218,-0.02928630849163435,-0.2043786217364389,0.1593153659407609,-0.09257743344766896,0.16076164996535017,,0.028033822688514183,,-0.02999643203892856,-0.03654260476222172,0.00786336997419182,0.012589219765587259,-0.006331284354812519,0.01033641795224934
