	tau1	tau2	tau3	tau4	a_1	a_2	a_3	a_4	b_1	b_2	b_3	b_4	F2x	T2x	rnorm
0	1.7085314078706622	14.014995633904974	162.00734190565962	5000.0	2.7570740122630477	2.5039776199391133	4.99210790217665	2.20763696081912	3.1156905815601155	2.2766529230479167	2.65149790697803	1.1725597474419542	4.608200579514008	6.2303982475989645	1.3697367930233955
1	4.293117739573543	40.971806362978654	153.29390588002317	5000.0	4.427299503523525	1.1342918644410707	4.400035944638105	2.7125495582061916	5.138890786614504	0.661124802093822	2.2402557096773856	1.3810806802520554	4.710675989318883	6.337088435404446	1.334073280578998
2	3.128786542556089	26.746773306830345	252.57035298899464	5000.0	3.8235992678645974	1.9483530912526807	5.6273877633398754	1.3966037103431153	4.2238662898063914	1.5206364029454162	2.7980404986436915	0.6944170024240188	4.618480096909758	6.3979719164001345	1.2381839801168946
3	4.7154313310969975	28.874008608822976	96.16686941081464	5000.0	4.572201167570738	0.0	4.651482535531764	2.9284517761145166	4.939968880287176	-0.0	2.631825427035438	1.6569284711598256	4.614361389241219	6.07606773960851	1.4339303645921126
4	3.0479709224457423	21.04978532327044	205.85795710514859	5000.0	3.6687070552521672	1.816030072533721	5.431121843342655	1.721567995379085	3.951215507254108	1.555958435418927	2.7852017598492522	0.8828588915395947	4.587617297030941	6.318713483253814	1.2172433080029628
5	1.864445935332892	12.693278113598248	91.3679425606664	5000.0	2.9037199317687086	1.858845987119331	4.251409111195267	3.250941133950371	3.0711272074517653	1.9118277561684776	2.349781180029491	1.7968160894759526	4.564776116562843	6.132458082016839	1.4974359661770429
6	1.8288655793127657	11.471820044757447	87.76747430875747	5000.0	2.7923043533892606	1.8910358870308974	4.277190498995803	3.288270820695958	3.009671640780287	1.955522004387018	2.3718938434859576	1.823493556612549	4.580290522632906	6.12440078005596	1.4811677298649972
7	4.308756967642086	21.96211844276146	81.3149808237278	5000.0	4.394960743756522	0.0	4.52082845590099	3.191322130215524	4.895438527072341	0.0	2.582241730319296	1.8228440339905871	4.650262145691112	6.053555664936518	1.4184598247038895
8	1.7181694815803512	14.457122285786708	87.71739260706815	5000.0	2.9747538070579127	1.8238124129358195	4.116131982637664	3.350217961402283	3.2260507990930365	1.8142425982308907	2.275012640362012	1.8516870310057252	4.583496534345832	6.132458082016839	1.651059959493338
9	4.008933359028305	34.84899666534364	190.08474312883746	5000.0	4.2731537518313925	1.4146425002061604	4.792644920963681	2.217480942198554	4.919050750357148	0.9070327800604197	2.428844239218782	1.1237877833339303	4.68935777648514	6.348961057599895	1.285251757602091
