year,tas,rlut,rsut,rsdt
2015,1.0950613932715214,-2.154531563996102,1.6306620247288777,0.04238262615598387
2016,0.7768918758461041,-2.3438771710223705,1.507338770445159,-0.02938549670420798
2017,0.765398840198884,-2.834255655977472,0.7624543263961243,-0.04871843573869228
2018,1.0223856471969839,-2.453591103508984,1.2405127326651808,-0.05663232129671769
2019,1.0215051636579915,-2.667157183523585,1.449588987044919,-0.057992698428449785
2020,1.149431468894477,-2.035880464722851,1.2134356466768423,-0.047873333026075215
2021,1.1020675184633433,-2.1649785038366076,1.055271707732544,0.023112687453021863
2022,1.2230040715252812,-1.9635795321987928,1.1426148839681076,0.1003827879221717
2023,1.3235961418384932,-1.8225999744623493,1.2225132398367435,0.14465222431061875
2024,1.428646024714169,-1.3209760295082447,0.6393686056573813,0.16264611768212944
2025,1.1008408663209934,-2.3261077089211426,1.0391408297779918,0.11963840737234932
2026,1.0707819888471022,-2.1567682424002896,0.3504928684474322,0.07047509181012401
2027,1.4301814306795677,-2.159567426823344,0.9808106935366396,0.021228653581147228
2028,1.5918095632707718,-1.6670790759785348,1.0643567442778021,0.0011796130282846207
2029,1.4178424308773856,-1.6905791818236082,0.5651695861266717,-0.03176759223083536
2030,1.3600411100749739,-2.48978444240538,0.756047085310783,-0.049609953510866944
2031,1.6967892815977166,-1.781499845638706,1.0805842796088143,-0.06710146827748531
2032,1.7024517551901113,-1.5176771121110164,1.0245171086642273,-0.06321287430910161
2033,1.4280939512129862,-2.0080077238634146,0.841472761418558,-0.020705217192130476
2034,1.4694896783915397,-2.0796492707002017,0.3559132526493869,0.05377590691557543
2035,1.7310221985744079,-2.0688334465513947,1.075382536100264,0.062390989515279216
2036,1.896334971781414,-1.524078900822559,0.8623433887380827,0.09656796137210222
2037,1.9041642430347565,-1.5352720460244598,0.7018354627598598,0.061470527418009624
2038,1.5908480521837305,-1.8294011555366296,0.27298086448485037,0.061494219744304246
2039,1.6537114125889048,-1.8019788379274075,-0.10228360622031119,0.013741508081579923
2040,1.9112532070055863,-2.2290918882626727,0.4412652275899376,-0.03150262246822422
2041,2.0561671794272343,-1.4045656235106776,0.6483397704898834,-0.07103249575732207
2042,1.947531353125214,-1.6039517561996774,0.49782317386495833,-0.0819681715829006
2043,1.9828893212339835,-1.8447588878291015,0.18841539482691871,-0.07674201770612399
2044,2.220892560241282,-1.0808872356580537,0.2788739083666911,-0.05258542950633682
