,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,rnorm
0,3.473898103015668,17.520392984673475,118.99002416068603,5000.0,3.248544935043815,0.0,2.2110774152912653,1.1570114080327978,4.738357010646006,0.0,2.02910983392639,1.061791509319499,3.9146291769459474,3.308316879183939,1.1477052114579631
1,1.1213716535347895,9.731490579947664,132.54510768664784,5000.0,2.0305014511838837,1.359949243008838,2.104831308719059,1.1555860938207634,2.7918147621402776,1.951013594220666,1.9014473630128286,1.0439250507761555,3.844100385074964,3.325434048366272,1.4160260358713217
2,1.4711423314465373,13.479122942534557,222.16577507346324,5000.0,2.431199154698643,1.0623590053764564,2.776755635882681,0.4348025168603548,3.404144808255079,1.4838966058792982,2.447185216332527,0.3831962299939997,3.859211430230452,3.3525581564090676,1.3603486614990683
3,5.482574714893227,46.53354920196625,136.28455267561193,5000.0,3.4463271135061664,0.0,2.023441746794533,1.2110913127949572,4.882723256730493,0.0,1.803025240515938,1.0791653424162666,3.8824569198313488,3.340430086547828,1.7929289745215005
4,1.1989100389878873,8.538728961957558,195.53417775581414,5000.0,1.888785560567236,1.5451680835926214,2.6523486510537957,0.5816516188390349,2.5802160158822707,2.1996140743536774,2.3773780929858797,0.5213514504694912,3.8392798168456594,3.333976957026344,1.1657951746260549
5,2.771967467477984,18.172867955480395,133.17413852946973,5000.0,3.166122154574784,0.06758403408974689,2.408648327345146,0.9674440724093839,4.722190342576635,0.047155742804669484,2.217394573910191,0.8906261708560121,3.9386834150737537,3.3048992942095303,1.1570068229771835
6,1.167254795514908,8.655808327604506,223.03112461415844,5000.0,1.8783519377885953,1.5761878390381816,2.8755900211028007,0.35297682336152625,2.556328242823963,2.2425293371114265,2.55973347433801,0.314205635641164,3.8363983449572814,3.341553310645552,1.1487516541196352
7,1.5551834345104414,15.078587405096243,98.29431825416468,5000.0,2.6046196308004395,0.6917240042529815,1.9145210347918706,1.4183065167999542,4.056530203058576,0.832930581613831,1.7468548024973853,1.2940968029398947,3.965206195054843,3.3145855933226227,1.6175477418076754
8,2.8527220902906825,17.54992993345667,126.24957977675713,5000.0,3.1993212361380086,0.00653795618716541,2.3768737632489754,1.0150650291988532,4.705050789945255,0.0024334774201759447,2.200306114374421,0.9396602481660422,3.9237253149529474,3.2988989923865013,1.1530918921236797
9,4.377442791897336,28.67918612367871,167.5150024049391,5000.0,3.3804575705304507,0.0,2.4800202917776235,0.7846937180020388,4.830417825804916,0.0,2.2462484464667414,0.7107268641543598,3.8936965682130085,3.3225857901550566,1.230619651502687
10,1.7641813375599573,14.761713139877696,188.27988885455292,5000.0,2.625654895201363,0.8228359917764745,2.5596918326235873,0.6791460935305255,3.8450012822029365,1.0838477404645661,2.2741661417208503,0.6033894516145946,3.903202308001474,3.3436644065659755,1.3292150296455874
