,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,rnorm
0,2.5538660085836624,22.542015531481393,102.52330929165768,5000.0,3.2023226565947183,2.283696402688198,3.072612610742495,2.328334690765223,3.0692050487083784,1.3183592605010674,2.0252257397337297,1.5346559894881215,3.9737230192156487,5.443483180395317,1.4774077072170717
1,1.3340600896135693,7.014058865201133,191.851868679548,5000.0,1.0352864382504692,3.990301755663011,5.605961542056027,0.3099504666591763,2.8596907495327026,2.6829935815197756,3.6399305652786587,0.2012497176178174,4.691932306974477,5.470750101314342,1.8508205676175218
2,4.217672220201218,22.2446077202349,258.13293906846616,5000.0,3.6529969246294294,2.081375258246304,5.038976663338851,0.19233603736586205,3.111490859130748,1.196034928581993,3.2493984082188945,0.12402843978357492,3.8404763178576053,5.482842441790224,1.628313913047967
3,4.319058663711457,27.627020096245882,81.47247388633542,5000.0,4.006172065695553,0.9434938772531795,3.463317099078323,2.589249045668837,3.0210701262821154,0.5879443329453731,2.2125031454914335,1.6541141033628,3.737815854040861,5.501116043847946,1.7391481765243781
4,1.6833920092036392,15.09341541907072,150.68595020451957,5000.0,2.4494528923986474,2.9805992554275362,3.942724335359129,1.5093572528255754,3.2630619160572394,1.7100429356662077,2.6022397012977647,0.9961917275118548,4.2857681402665335,5.441066868005444,1.2074284976681715
5,2.3771990088426183,17.63109638716037,242.35296622126356,5000.0,2.7949444789419085,2.8926163932252646,4.886734344987456,0.3664781853024653,3.0228936706255616,1.7186908289350948,3.1730582257220106,0.2379619063218481,4.076302315802257,5.470386701228548,1.2408447047314755
6,5.3086665699131235,27.2380516079252,107.2934014359513,5000.0,4.336855434058787,0.7855173652331799,3.708036077344968,2.1110913259917483,3.1205574588015774,0.46582479966419454,2.407614421509893,1.3707239669635285,3.6823603234695965,5.4707501013143425,1.8891578546018823
7,1.5028232625910165,11.986738131467456,189.99044254447125,5000.0,2.039237539576933,3.307526404775172,4.815785536235089,0.7554544427006178,3.23323525922941,1.9710789115840526,3.1470589705550593,0.4936805559255273,4.422526848647025,5.4590019616439065,1.221326112625478
8,5.1508518820380385,44.283926682965564,199.8239218144578,5000.0,4.33407125780787,1.987951261183836,3.1433494793636045,1.5848289216917981,3.093110014170531,1.2866088259419515,1.9799277572901528,0.9982494129953041,3.67894800519897,5.5251004600235545,1.8510865043742428
9,1.6428507997070443,16.12329142870596,130.12568817679738,5000.0,2.5389273529303633,2.8815550809592394,3.606721752075994,1.8549295500452898,3.2575111890171637,1.6513090778982038,2.380474447735258,1.2242730933403134,4.256783903995469,5.441066868005444,1.2647248520712056
10,1.2162917430025122,8.967713060047233,123.09649771551352,5000.0,1.6219181853135656,3.3433792442443497,4.255435085681154,1.781499572456824,3.5065469453472016,2.0198101442244893,2.7185392625497027,1.1380919780060914,4.691494165063743,5.501116043847946,1.3607730955546655
11,1.5338498743756563,9.075656318065061,161.8836565352256,5000.0,1.640017426919113,3.4577682587483043,4.812799418524034,1.030915098437232,3.436358478005477,2.050519036141232,3.1249332655279045,0.6693694469464191,4.640590113310516,5.470750101314342,1.460060835496383
12,3.091743015692228,23.948379524428944,126.86527970429219,5000.0,3.399308785598939,2.234620737504697,3.2353630289229334,2.0714808504305258,3.105971179477391,1.2937566835031646,2.100788491326746,1.3450555908827653,3.9227859725950336,5.470386701228547,1.4825650760439546
13,5.111327136055784,30.075830193318886,200.47697834856268,5000.0,4.1882546168145165,1.592870867370168,4.112240816267968,1.072318583127795,3.0092150144676952,1.015761239827037,2.6517901660096137,0.6914876828999289,3.684127051602138,5.482842441790224,1.8284822441843451
14,3.3824529474132845,33.312493235548295,140.4901096195642,5000.0,3.680052330414712,2.473165270382917,2.642365280943155,2.2387687119049677,3.1234701596340546,1.5015015686564905,1.6716091090117842,1.4162864607633452,3.8564336490328373,5.517175796822875,1.597494440803625
15,3.9920926145836004,33.989041906317595,320.13732606141514,5000.0,3.845054420287747,2.5095992312421984,4.227591006579264,0.5560890525285808,2.9608789961834714,1.6231668735041829,2.598579191833641,0.34181202449773,3.7622185430095123,5.569166855318895,1.614865463936727
16,3.6758595401364276,34.426850761971046,281.8188360253374,5000.0,3.75895583015945,2.6621080299250943,3.6440515610125543,1.3004520249962928,3.049509230457824,1.7228722921438646,2.1079967012493186,0.752280403536183,3.816329313693595,5.682783723046696,1.5844203051484427
17,4.300343168979055,40.75430802524193,266.19036055879184,5000.0,4.031095159355566,2.5393550401428864,3.2259047407659356,1.556349391753996,3.0576233375094692,1.657307170048561,1.8723003014457742,0.903298041790312,3.745264425397058,5.676352166009192,1.6994160933744913
18,1.7409691462688435,13.22251058397995,235.96880949564712,5000.0,2.220498849138839,3.2560505283014396,5.322096953197825,0.08832003015253063,3.168266901472925,1.9283507381176448,3.5079097512296182,0.05821365107127541,4.331370520945732,5.443483180395317,1.202838148668616
19,2.2132797580880252,20.854833882984714,222.71599063700504,5000.0,2.931001290575592,2.930171793438483,4.174636611595021,0.9114918748646983,3.063599283149682,1.7541787574175243,2.7058533988626103,0.5907971440647053,4.057214291747261,5.473650785236897,1.2897933983868561
20,4.301480595727204,22.761064261764822,221.91380236624042,5000.0,3.7190975081533164,1.9733859053714493,4.590279470273905,0.6580105186584233,3.06696954188678,1.1464835863897413,2.980563911041265,0.42725991253900997,3.8106384759283984,5.470386701228548,1.6496445862636917
21,2.853107101935225,14.37207348065319,109.5194958198412,5000.0,2.9025046105880064,2.189499924646314,3.77187880321255,2.0776168641818136,2.977607358113255,1.2344492586928912,2.44906727264217,1.3489891199111268,4.005056504679722,5.470750101314342,1.4101536731917987
22,3.6065667735974203,24.542928989530246,142.15818629769217,5000.0,3.579676256882264,2.0686652967608867,3.4513693852832072,1.8410624635307358,3.1582491573302462,1.17859893995543,2.24104591018158,1.1954401409125968,3.8866670741899263,5.470386701228548,1.5405756548112346
23,5.022021916323572,42.50961344453242,209.46873433688384,5000.0,4.27907682747235,2.038378142629494,3.237637703422574,1.495108246522692,3.068243298409327,1.3199399475890994,2.0393178674976062,0.9417363029080059,3.6846187082020196,5.5251004600235545,1.8242695119417163
24,1.0860889642640477,9.305962142402782,93.4545873353822,5000.0,1.747463796012011,3.0579017508971376,3.8751790075499772,2.3172205452895476,3.4292544548309563,1.8345754555025742,2.478541211407156,1.482080339057843,4.612225730399265,5.498882549874336,1.3094879372670118
25,1.5595743859841171,8.951244315861695,115.14966225982151,5000.0,1.7536471554319517,3.1566496621719042,4.180408433825577,1.9115268362664597,3.298430488645703,1.9044641165298068,2.670609287188703,1.221158506986364,4.5473311996752885,5.501116043847946,1.3895167924515086
26,1.2221583292316154,9.404956054310524,167.48596777546038,5000.0,1.6043358045451435,3.5395626351109155,4.828805938097245,0.9687958248753793,3.5822496839165967,2.100099463303423,3.1353262408277125,0.6290356271664557,4.723355507607094,5.470750101314342,1.3857436698230843
27,5.3507586314559115,36.79368359875574,206.74653383472864,5000.0,4.344397851309429,1.6286388144158603,3.8500204504226714,1.1445273335818535,3.0799406547944064,1.0411290262751511,2.4813472626345074,0.7376505664747626,3.6700337550894138,5.483792224864907,1.8812354213180718
28,1.4689918027353333,8.071581638438543,102.09700583470583,5000.0,1.613111390315174,3.1606155196790957,4.116815830052558,2.1703113910593506,3.3351383876410603,1.947939388080646,2.5900111084964683,1.3654073545642138,4.6192481193911945,5.53042706555309,1.4338382912164418
29,2.362394132895918,18.305872156819586,251.50746701191568,5000.0,2.8293895039747383,2.906441423480082,4.902748684842458,0.32710527128316974,3.014584997991776,1.7442426426870914,3.16155140950155,0.21093476291737015,4.0656569065488934,5.482842441790224,1.240784034090772
30,5.418805816825058,37.69192283120059,206.1489858247591,5000.0,4.375441427921002,1.6078951371866559,3.828559144988912,1.155688739633245,3.093551189724817,1.027934938634426,2.467515400654456,0.7448441190050437,3.6669228240093714,5.483792224864907,1.8957995767601103
31,1.2749081448299213,11.68666149596025,129.64242078731542,5000.0,2.015707980874551,3.1566133314386935,4.023412259646997,1.7496678889442958,3.2996479881355443,1.8822683456921288,2.609623187823519,1.1348511162462547,4.463195318948723,5.472700730452268,1.219923989294339
32,2.0377912772211673,19.748353069035073,84.87250877634717,5000.0,2.9557514698878076,2.2754369718830914,3.1221269878291196,2.582466889633703,3.108575869534517,1.313208814510522,2.0303499665689753,1.6794036832816523,4.065769166947833,5.46789115961686,1.4995264008663394
33,1.1030237131499045,10.918462605491415,87.75042973313208,5000.0,1.992626899275385,2.865410268670913,3.6756460284902177,2.464081903312156,3.2911539565302594,1.726154492654894,2.3509211167816106,1.5760119813156777,4.472120773641221,5.498882549874336,1.3111270496728462
34,2.6258479099167107,19.94865184067089,178.49146560699916,5000.0,3.0437040696781104,2.638204530685664,3.91989350821813,1.3389712938751903,3.0145693591998097,1.5597339353263937,2.545268365767441,0.8694219038925928,3.9944967820931185,5.470386701228547,1.3262573312644832
35,3.03842722419785,16.497235090466724,185.81304656311707,5000.0,2.981908610490819,2.5010827437252416,4.450257243033056,0.9537177635415179,2.968527723342763,1.4284202839207558,2.933261253148693,0.6286161022748731,3.9794126813435424,5.443483180395317,1.3926024158424946
