,tau1,tau2,tau3,tau4,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,F2x,T2x,rnorm
0,2.7630746912151425,16.044186988747878,84.25227673509777,5000.0,2.551851510452514,1.706777561585604,1.42591395347728,2.101773984394463,2.6984285618782375,1.4056939740360281,1.0752568366495106,1.584911095302103,3.3821452339329396,3.893158504954931,1.6217895994197504
1,4.581009768930337,41.93515170721596,376.3212237070539,5000.0,3.387612143786063,2.0097547582684845,0.20567720162367217,3.5469726764277056,3.2842847578539383,1.4622780264164488,0.10138540276543107,1.748425448025995,3.298186817530907,4.575008390052963,1.891495350705827
2,1.6550568031297508,9.482216649474434,302.1706977305033,5000.0,1.5502806467965944,2.762097633049614,3.164346243242962,0.37283714341585195,2.9296668651133415,2.3273776853225687,2.3288075403905575,0.27439031135691216,3.93012120109169,3.924780833252511,1.8329614567389059
3,1.9491677892669235,12.400619266529946,439.5308726203988,5000.0,1.9255107013213706,2.5480890601523747,3.6164030001879133,0.008735331972728735,2.5186963657198222,2.2043706869005013,2.4304997125214114,0.005870811922065401,3.5797187885319,4.049369046817193,1.6877750887133043
4,2.719980447575522,27.122435503492728,793.3657213854401,5000.0,2.7648384363148,2.320181383704666,1.9471150641538266,3.3888854901806433,2.749749390951981,1.965926888726746,0.7134660432392663,1.2417626293291977,3.3354524761235957,5.210510187176968,1.5661435496832954
5,3.665875726093856,27.181504298898904,616.4626728843605,5000.0,2.9961592766486707,1.9778637365812803,2.159486605791803,2.535118134237781,2.944512282595242,1.6836488293338638,0.9295808829608105,1.0912766707208368,3.3245093328053765,4.834313876629768,1.743180990578774
6,5.20584914730402,27.90985037963185,157.8672289674451,5000.0,3.469892177250095,1.1888243326805883,1.3058330851632507,2.29984037853173,3.2442014213803496,1.0028064533408116,0.8292451667685412,1.4604711275163826,3.2683620845030426,4.132194986812832,2.0585775885479927
7,5.031567693005823,36.03988075874062,119.04600722689463,5000.0,3.487150541114008,1.4165991255141221,0.7654203181667043,3.8977635587351496,3.3151328485618023,1.2019803217313605,0.3374122337638218,1.7182103451160504,3.2863678745865177,4.783466771764992,1.993439878595532
8,3.5675968466386343,19.056281526647467,151.82207757818466,5000.0,2.8203504363124945,1.708053746324519,1.4859337696192987,2.1844048201188686,2.771465399945936,1.48983891399873,0.9648071582729706,1.418319880809103,3.3222156765133697,4.09937138618759,1.7796106972187873
9,4.638003700531417,40.44564765075854,115.39074809389984,5000.0,3.402859012895941,1.8364713745949246,0.30092141710604414,3.736864086046456,3.256717192319043,1.3981564804185587,0.1429549770161223,1.7752253218483673,3.286526985801046,4.638557945321683,1.9042188810728415
10,1.056941360612508,8.261181224777754,151.49092841345788,5000.0,1.331159955142703,2.818887122888264,2.209799229839066,1.4138962963193564,2.9868728658523316,2.5065853389261323,1.6744647752933848,1.071373142019314,4.119648061045581,3.8868713020946943,1.748343963408393
11,1.2705150203684195,7.206423269841879,139.57673355955478,5000.0,1.2096079186878173,2.855627988374173,2.2571828379527434,1.4632892956482861,2.1844582158264303,2.575870159888769,1.702486413148428,1.103690007942058,3.7832523984028423,3.8928540203315096,1.8815910970551835
12,2.117717928498733,16.541106090646323,296.7777651770848,5000.0,2.272327905331289,2.3510559222163465,2.1333069990118254,1.3799343080147701,2.5051413113471632,2.008698516806175,1.4151771878168617,0.915410465672749,3.4222137408214746,4.068312567287116,1.5442118394180036
